fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-12-31	USD	63058000000	13572000000	578000000	7578000000	None	2026000000	28241000000	30275000000	None	6142000000	2051000000	4091000000	7186000000	None	7000000000	None	10783000000	68260000000	22062000000	2353000000	21401000000	3632000000	None	46198000000	375000000	28895000000	3501000000	3700000000	28895000000	None	1558000000	-5202000000	None	None	7000000	654273192
2022-12-31	USD	64716000000	15269000000	440000000	8965000000	2279000000	2138000000	29081000000	29615000000	None	6150000000	2059000000	4091000000	8737000000	None	8525000000	892000000	11153000000	70515000000	21496000000	2149000000	21866000000	3274000000	4739000000	49019000000	545000000	31844000000	3059000000	34903000000	31844000000	4694000000	1258000000	-5799000000	None	-8511000000	6000000	650642461
2021-12-31	USD	66467000000	17336000000	273000000	12400000000	1795000000	1505000000	29786000000	28989000000	None	6079000000	1988000000	4091000000	12158000000	None	12127000000	1605000000	11744000000	73807000000	19006000000	1772000000	21461000000	2489000000	3995000000	54801000000	563000000	35008000000	2315000000	37323000000	35008000000	4255000000	1328000000	-7340000000	None	-8638000000	6000000	647727595
2020-12-31	USD	62008000000	11095000000	245000000	6900000000	1614000000	1342000000	29055000000	31217000000	None	6120000000	2029000000	4091000000	6619000000	None	6655000000	1275000000	11175000000	68875000000	16569000000	1196000000	21114000000	2797000000	4448000000	52306000000	472000000	29324000000	2697000000	32021000000	29324000000	4135000000	1502000000	-6867000000	None	-6664000000	6000000	621479522
2019-12-31	USD	59995000000	8206000000	280000000	3826000000	1851000000	1750000000	59116000000	34995000000	18659000000	6184000000	2084000000	4100000000	3546000000	None	3546000000	779000000	8057000000	60113000000	18311000000	2062000000	18845000000	2861000000	4569000000	41802000000	558000000	20896000000	2749000000	23645000000	20896000000	3679000000	1453000000	-118000000	None	2264000000	4000000	428202506
2018-12-31	USD	60580000000	8637000000	275000000	4760000000	1522000000	1706000000	49029000000	34098000000	17443000000	6228000000	2137000000	4091000000	4485000000	None	4485000000	649000000	8694000000	60749000000	18096000000	1773000000	18150000000	3294000000	5004000000	42653000000	613000000	20566000000	3213000000	23779000000	20566000000	3726000000	1393000000	-169000000	None	758000000	5000000	460610870
2017-12-31	USD	52785000000	9146000000	295000000	5066000000	1359000000	1752000000	48544000000	34156000000	15646000000	6303000000	2203000000	4100000000	4771000000	None	4771000000	969000000	9483000000	53565000000	15358000000	1688000000	None	2554000000	2554000000	38207000000	None	21818000000	2476000000	24294000000	-236000000	3953000000	2498000000	-780000000	None	3361000000	5000000	475507887
2016-12-31	USD	51274000000	10324000000	322000000	6359000000	1094000000	1594000000	48712000000	31159000000	14194000000	6264000000	2173000000	4091000000	None	None	6037000000	1277000000	9791000000	51558000000	13872000000	1592000000	None	1855000000	1855000000	33617000000	None	22489000000	1855000000	None	-229000000	3724000000	3286000000	-284000000	None	1640000000	5000000	507294153
2015-12-31	USD	48415000000	9985000000	507000000	6371000000	863000000	1425000000	44770000000	27510000000	13144000000	6340000000	2249000000	4091000000	None	None	5864000000	1443000000	10920000000	42780000000	13605000000	1563000000	None	2231000000	2231000000	29175000000	None	20561000000	2231000000	None	20561000000	6064000000	2728000000	5635000000	None	-1230000000	6000000	624622381
2014-12-31	USD	43225000000	11750000000	994000000	7303000000	1004000000	1771000000	31659000000	23084000000	12259000000	6331000000	2240000000	4091000000	None	None	6309000000	2034000000	8391000000	41204000000	13404000000	1377000000	None	1708000000	1708000000	27800000000	None	17720000000	1677000000	None	17751000000	6114000000	3041000000	2021000000	None	-8562000000	7000000	697474535
