fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-09-30	USD	352583000000	143566000000	29965000000	61555000000	6331000000	60985000000	209017000000	43715000000	70884000000	None	None	None	264965000000	100544000000	31590000000	14695000000	64758000000	290437000000	145308000000	62611000000	20161000000	15972000000	5985000000	145129000000	859000000	105100000000	9822000000	95281000000	111088000000	58829000000	49848000000	62146000000	None	-214000000	73812000000	15550061000
2022-09-30	USD	352755000000	135405000000	23646000000	48304000000	4946000000	60932000000	217350000000	42117000000	72340000000	None	None	None	292870000000	120805000000	24658000000	21223000000	54428000000	302083000000	153982000000	64115000000	20312000000	21239000000	9982000000	148101000000	812000000	110087000000	11128000000	98959000000	233256000000	60845000000	49142000000	50672000000	None	-3068000000	64849000000	15943425000
2021-09-30	USD	351002000000	134836000000	34940000000	62639000000	6580000000	51506000000	216166000000	39440000000	70283000000	None	None	None	318994000000	127877000000	27699000000	14111000000	48849000000	287912000000	125481000000	54763000000	19512000000	15692000000	6000000000	162431000000	769000000	118700000000	9613000000	109106000000	241783000000	47493000000	53325000000	63090000000	None	5562000000	57365000000	16426786000
2020-09-30	USD	323888000000	143713000000	38016000000	90943000000	4061000000	37445000000	180175000000	36766000000	66760000000	None	None	None	345644000000	100887000000	52927000000	11264000000	42522000000	258549000000	105392000000	42296000000	16843000000	13793000000	4996000000	153157000000	637000000	125873000000	8773000000	98667000000	216860000000	42684000000	54490000000	65339000000	None	14966000000	50779000000	16976763000
2019-09-30	USD	338516000000	162819000000	48844000000	100557000000	4106000000	45804000000	175697000000	37378000000	58579000000	None	None	None	362952000000	105341000000	51713000000	12352000000	32978000000	248028000000	105718000000	46236000000	13622000000	16240000000	5980000000	142310000000	None	117760000000	10260000000	91807000000	209135000000	37720000000	50503000000	90488000000	None	45898000000	45174000000	4443236000
2018-09-30	USD	365725000000	131339000000	25913000000	25913000000	3956000000	48995000000	234386000000	41304000000	49099000000	None	None	None	448287000000	170799000000	40388000000	12087000000	22283000000	258578000000	115929000000	55888000000	14766000000	20748000000	11964000000	142649000000	None	111984000000	8784000000	93735000000	220132000000	33327000000	48914000000	107147000000	None	70400000000	40201000000	4754986000
2017-09-30	USD	375319000000	128645000000	20289000000	74181000000	4855000000	35673000000	246674000000	33783000000	41293000000	8015000000	2298000000	5717000000	268895000000	194714000000	53892000000	13936000000	18177000000	241272000000	100814000000	44242000000	10384000000	18473000000	11977000000	140458000000	None	112596000000	6496000000	97207000000	219794000000	30551000000	40415000000	134047000000	None	98330000000	35867000000	5126201000
2016-09-30	USD	321686000000	106869000000	20484000000	67155000000	2132000000	29299000000	385247000000	27010000000	34235000000	8620000000	3206000000	5414000000	237585000000	170430000000	46671000000	8283000000	8757000000	193437000000	79006000000	37294000000	11010000000	11600000000	8100000000	150505000000	None	85200000000	3500000000	75427000000	164694000000	22027000000	36074000000	128249000000	None	96364000000	31251000000	5336166000
2015-09-30	USD	290345000000	89378000000	21120000000	41601000000	2349000000	30343000000	365166000000	22471000000	26786000000	9009000000	3893000000	5116000000	205666000000	164065000000	20481000000	15085000000	5422000000	170990000000	80610000000	35490000000	12564000000	10999000000	8499000000	123941000000	None	57400000000	2500000000	53329000000	119787000000	25181000000	33427000000	119355000000	None	92284000000	27416000000	5578753000
2014-09-30	USD	231839000000	68531000000	13844000000	25077000000	2111000000	27219000000	293470000000	20624000000	18391000000	8758000000	4142000000	4616000000	155239000000	130162000000	11233000000	9806000000	3764000000	120292000000	63448000000	30196000000	11522000000	6308000000	6308000000	52683000000	None	28987000000	0	28987000000	35295000000	18453000000	24826000000	111547000000	None	87152000000	23313000000	5866161000
2013-09-30	USD	207000000000	73286000000	14259000000	40546000000	1764000000	13102000000	239929000000	16597000000	11922000000	5756000000	4179000000	1577000000	146761000000	106215000000	26287000000	6882000000	5146000000	83451000000	43658000000	22367000000	10060000000	None	0	39322000000	None	16960000000	None	15900000000	16960000000	13856000000	20208000000	123549000000	None	104256000000	19764000000	899213000
2012-09-30	USD	176064000000	57653000000	10746000000	29129000000	791000000	10930000000	213533000000	15452000000	6435000000	5359000000	4224000000	1135000000	110505000000	92122000000	18383000000	6458000000	5478000000	57854000000	38542000000	21175000000	8601000000	None	None	35976000000	None	0	None	None	None	11414000000	16664000000	118210000000	None	101289000000	16422000000	939208000
2011-09-30	USD	116371000000	44988000000	9815000000	25952000000	776000000	5369000000	123607000000	7777000000	3991000000	4432000000	3536000000	896000000	71755000000	55618000000	16137000000	4529000000	3556000000	39756000000	27970000000	14632000000	5777000000	None	None	21886000000	None	None	None	None	None	9247000000	10100000000	76615000000	None	62841000000	13331000000	929277000
2010-09-30	USD	75183000000	41678000000	11261000000	25620000000	1051000000	5510000000	57101000000	2174000000	2466000000	1083000000	342000000	741000000	39750000000	25391000000	14359000000	3447000000	2263000000	27392000000	20722000000	12015000000	4123000000	None	None	10970000000	None	None	None	None	None	5723000000	5531000000	47791000000	None	37169000000	10668000000	915970050
2009-09-30	USD	47501000000	31555000000	5263000000	23464000000	455000000	3361000000	23520000000	1780000000	1713000000	453000000	247000000	206000000	None	10528000000	18201000000	1444000000	2011000000	15861000000	11506000000	5601000000	None	None	None	4355000000	None	None	None	None	None	3376000000	3502000000	31640000000	None	23353000000	8210000000	899805500
2008-09-30	USD	36171000000	30006000000	11875000000	11875000000	509000000	None	4882000000	2455000000	1292000000	492000000	285000000	207000000	None	None	12615000000	3920000000	839000000	13874000000	11361000000	5520000000	None	None	None	4450000000	None	None	None	None	None	3719000000	1745000000	22297000000	None	15129000000	7177000000	888325973
