fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-12-31	USD	5046000000	6981000000	1935000000	316000000	2369000000	759000000	None	1530000000	15000000	-865000000	12000000	865000000	449000000	-6000000	1300000000	629000000	1528000000	26000000	865000000	1502000000	1503000000	2369000000	3022000000	1502000000
2022-12-31	USD	4962000000	6986000000	2024000000	466000000	2425000000	750000000	None	1432000000	3000000	-711000000	696000000	711000000	669000000	-10000000	1200000000	628000000	1691000000	16000000	739000000	1675000000	1674000000	2425000000	3030000000	1675000000
2021-12-31	USD	4387000000	6340000000	1953000000	439000000	2001000000	680000000	None	1365000000	1000000	-669000000	656000000	669000000	476000000	-21000000	1200000000	644000000	1117000000	21000000	814000000	1158000000	1096000000	2001000000	2430000000	1096000000
2020-12-31	USD	3913000000	5840000000	1927000000	448000000	1863000000	678000000	None	1420000000	2000000	-706000000	2000000	706000000	425000000	-5000000	1200000000	650000000	1076000000	20000000	801000000	1056000000	1057000000	1863000000	2432000000	1056000000
2019-12-31	USD	4375000000	5763000000	1388000000	524000000	1559000000	614000000	None	864000000	6000000	-663000000	6000000	663000000	668000000	1000000	1100000000	216000000	839000000	-21000000	665000000	860000000	860000000	1559000000	1718000000	860000000
2018-12-31	USD	4383000000	5370000000	1040000000	434000000	1383000000	563000000	None	603000000	5000000	-621000000	5000000	621000000	5317000000	1000000	1100000000	445000000	540000000	-19000000	727000000	622000000	621000000	1383000000	1606000000	559000000
2017-12-31	USD	6000450000	4255000000	2020821000	399000000	967000000	426000000	None	457120000	18761000	0	18761000	0	3665666000	1000000	914000000	1242408000	418550000	-26000000	3525000	366000000	368000000	418550000	2385961000	444550000
2016-12-31	USD	5244936000	3921000000	1857305000	417000000	949000000	371000000	None	416784000	796000	0	796000	0	3181016000	-9000000	833000000	1108551000	339973000	-17000000	52291000	357000000	355000000	339973000	2101634000	356973000
2015-12-31	USD	4983667000	6659382000	1675715000	1321426000	946180000	310921000	None	354289000	1906000	-18725000	526251000	18725000	3014256000	57028000	774900000	1036178000	1469535000	-51457000	22882000	525286000	1503245000	1488260000	2090438000	1520992000
2014-12-31	USD	4662860000	6588881000	1926021000	1350466000	940682000	257296000	None	575555000	616000	-63148000	None	63148000	2962145000	11993000	733600000	267719000	379269000	-11244000	107777000	346314000	429945000	442417000	710136000	390513000
2013-12-31	USD	3876129000	5423949000	1547820000	1046796000	880704000	213519000	None	603079000	1355000	-64928000	None	64928000	2466493000	-3902000	536200000	239359000	281111000	191000000	102055000	60001000	128290000	346039000	585398000	90111000
2012-12-31	USD	2766264000	3933712000	1167448000	728989000	834681000	212572000	None	1085675000	4556000	-491184000	-425945000	65239000	1992216000	-5392000	438900000	203839000	88523000	-100061000	623158000	200888000	243789000	153762000	357601000	188584000
2011-12-31	USD	2513539000	3481575000	968036000	588385000	692305000	173493000	None	820346000	666000	-404704000	-332997000	71707000	1853550000	-5577000	387800000	178273000	179424000	8347000	404704000	171460000	233059000	251131000	429404000	171077000
2010-12-31	USD	2093799000	3034830000	941031000	581377000	575365000	165356000	None	944208000	2204000	-406222000	None	406222000	1562394000	-603000	379300000	175311000	-337786000	-26846000	544589000	-311259000	-365694000	575365000	243747000	-310940000
2009-12-31	USD	1876995000	2598672000	721677000	549368000	433991000	153072000	None	802236000	2967000	-445882000	None	445882000	1359147000	2446000	379600000	176196000	-190732000	-76400000	536961000	-114123000	169773000	255150000	431346000	-114332000
