fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2022-12-31	USD	174175700000	139078300000	2720100000	2816100000	135254100000	483200000	35097500000	455500000	1145200000	30927500000	20445000000	10482500000	180500000	None	96000000	529800000	3714400000	147297000000	137687500000	121400000	12700000	16000000	16000000	9609500000	67800000	6888400000	16000000	3422400000	6904400000	2300900000	826000000	26878700000	None	4746800000	3600000	358887000
2021-12-31	USD	196780300000	161761800000	2834900000	2949900000	157954400000	434500000	35019000000	505300000	1039500000	31235300000	20707300000	10528000000	213600000	None	115000000	427800000	3277900000	169381000000	160398400000	48800000	15200000	1498800000	749400000	8982600000	75900000	6912100000	749400000	2695700000	7661500000	1650600000	896500000	27399300000	None	5151900000	3600000	358586000
2021-01-12	USD	1100000000000	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
2020-12-31	USD	124659600000	89283900000	1633200000	1734100000	86786500000	461300000	35855400000	579200000	961200000	32839400000	22040600000	10798800000	201700000	None	100900000	306700000	1957100000	98308100000	88197900000	69300000	37300000	7700000	0	10194000000	83800000	6912200000	0	3443800000	6912200000	1346800000	1059400000	26351500000	None	4995900000	3600000	358049000
2019-12-31	USD	75215300000	39567800000	1551400000	1634600000	37081300000	491800000	18473100000	544000000	867500000	15860200000	5117700000	10742500000	166300000	1007500000	83200000	364400000	2068000000	49056000000	38522500000	61900000	42600000	0	0	10533500000	91500000	7514000000	42300000	3743200000	7514000000	1384800000	1155100000	26159300000	None	5008700000	3600000	357458000
2018-12-31	USD	77475700000	41886700000	1374500000	1447400000	39457000000	553300000	18414900000	448700000	761100000	16305400000	5500100000	10805300000	145700000	1031600000	72900000	430500000	1659600000	51510400000	41272600000	116000000	44400000	574200000	574200000	10237800000	None	8257900000	574200000	3826800000	8832100000	1126900000	745100000	25965300000	None	4855300000	3600000	351017000
2017-12-31	USD	75791200000	46906500000	1903600000	1993700000	44185300000	359700000	11711800000	399700000	676600000	9915300000	2346300000	7569000000	90100000	878.15	90100000	367800000	1394400000	53379400000	45672900000	31300000	3900000	0	0	7706500000	None	4483100000	44185300000	2233100000	4483100000	1456300000	615700000	22411800000	None	4497200000	3400000	339157000
2016-12-31	USD	69369400000	40031500000	1868600000	1951900000	37573500000	364400000	12235400000	425200000	597200000	10010800000	2441800000	7569000000	83300000	234100000	83300000	171700000	1726600000	49028700000	38945600000	26200000	None	None	37542700000	10083100000	None	4481200000	37542700000	2231200000	4481200000	1376700000	560900000	20340700000	None	2524500000	3400000	338087000
2015-12-31	USD	67359400000	37904500000	1692600000	1765100000	35585000000	357800000	12362200000	491700000	788600000	10106900000	2537900000	7569000000	72500000	214600000	72500000	228600000	1681000000	46807600000	36824500000	28700000	None	None	35553000000	9995200000	None	4491400000	1612.10	2241400000	4491400000	1242800000	395500000	20551800000	None	2907600000	3400000	336851000
2014-12-31	USD	72241500000	42545300000	1366100000	1440800000	40603800000	341200000	5290600000	508900000	741000000	10206400000	2637400000	7569000000	74700000	432000000	74700000	196500000	1805600000	51318000000	41531200000	36900000	None	None	0	9945900000	None	4220400000	2300000	2107900000	4220400000	927500000	376200000	20923500000	None	3317300000	3400000	335204000
