fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2022-12-31	USD	3663300000	5019400000	1356100000	753100000	3015900000	468100000	188600000	844800000	None	-2800000	None	2800000	None	-1862400000	None	134900000	3490300000	799300000	162700000	2691000000	2504200000	3015900000	3628000000	2691000000
2021-12-31	USD	3220300000	4689700000	1469400000	837000000	2645200000	484600000	192600000	842900000	None	-3100000	None	3100000	30400000	342600000	None	147800000	3373100000	736700000	166900000	2636900000	2555000000	2645200000	3524000000	2636400000
2020-12-31	USD	3294100000	4883600000	1589500000	856500000	2637400000	553500000	198500000	1023600000	None	-3300000	None	3300000	None	-122400000	None	153200000	2720900000	615700000	166200000	2106400000	2236700000	2637400000	2877400000	2105200000
2019-12-31	USD	3288200000	4868000000	1579800000	898700000	2587800000	461400000	None	1041500000	None	-3600000	636700000	3600000	None	-534900000	None	158600000	2690300000	573800000	178000000	2115800000	2114600000	2587800000	2852500000	2116500000
2018-12-31	USD	3090300000	4309400000	1219100000	672200000	2607600000	428200000	None	873900000	None	-157700000	740200000	157700000	None	-570000000	None	118700000	2776300000	814100000	157700000	1963700000	1949400000	2607600000	2726300000	1962200000
2017-12-31	USD	2481800000	3644700000	1162900000	146300000	2310600000	903600000	None	1132600000	None	-117000000	543900000	117000000	86500000	-328200000	None	113000000	2526300000	-1537100000	117000000	4063400000	4091800000	2310600000	2423600000	4063400000
2016-12-31	USD	2385500000	3595200000	1209700000	135800000	2200500000	917600000	None	1235600000	None	-123500000	128500000	123500000	48400000	-41400000	None	129200000	2287600000	753500000	123500000	1534100000	1600800000	2200500000	2329700000	1534100000
2015-12-31	USD	2157700000	3326800000	1169100000	123800000	1988700000	916100000	None	1169700000	None	None	10900000	117400000	-72100000	-42800000	None	129200000	1956800000	709800000	117400000	1247000000	1160000000	1988700000	2117900000	1247000000
2014-12-31	USD	1946600000	3112500000	1165900000	114200000	1768400000	919100000	None	1180300000	None	None	None	119400000	0	1800000	None	132600000	1771600000	644500000	119400000	1126900000	981300000	1768400000	1901000000	1127100000
2013-12-31	USD	1836400000	2936300000	1099900000	97900000	1637000000	658300000	None	1176000000	None	None	None	151400000	-27100000	0	None	135100000	1599700000	622900000	151400000	978100000	919500000	1637000000	1772100000	976800000
2012-12-31	USD	1857700000	2914600000	1056900000	82600000	1692000000	633600000	None	1070000000	None	None	None	132200000	-100000	64300000	None	136900000	1683000000	786700000	132200000	2498600000	994000000	1692000000	1828900000	896300000
2011-12-31	USD	2252500000	3280600000	1028100000	84900000	2021100000	611100000	None	1095600000	None	None	None	116900000	9700000	0	None	128500000	1934400000	122100000	116900000	1810100000	2028000000	2021100000	2149600000	1812300000
2010-12-31	USD	2018700000	3003700000	985000000	82600000	1831100000	558700000	None	1022000000	None	None	None	140300000	-2600000	0	None	129900000	1721200000	769800000	140300000	958500000	973500000	1831100000	1961000000	951400000
2009-12-31	USD	1740400000	2612800000	872400000	89200000	1589100000	444200000	0	855500000	None	None	None	134000000	0	2300000	None	126300000	1437500000	611700000	133900000	685100000	859900000	1589100000	1715400000	825800000
