fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-07-31	USD	1364210000	29043000	None	39876000	149604000	159478000	516636000	90014000	-26549000	1237741000	-1892049000	66615000	10570000	None	None	None	4709000	4709000	None	None	None	None	60777000	None	None	None	1237741000
2022-07-31	USD	1176683000	308390000	None	36355000	143754000	137985000	444052000	127634000	10851000	1090130000	-442310000	-382693000	None	None	None	None	1925000	1925000	None	None	None	None	37733000	None	351680000	None	1090130000
2021-07-31	USD	990891000	226605000	None	53658000	138046000	121971000	467996000	120774000	24602000	936495000	-465466000	40922000	None	0	0	None	6145000	6145000	None	None	None	None	48185000	None	570542000	4195000	936495000
2020-07-31	USD	917885000	133484000	None	52260000	-6819000	101390000	603674000	-8777000	-1348000	699907000	-601208000	-27414000	0	0	0	None	103451000	103451000	None	None	None	None	79916000	None	291399000	2136000	699907000
2019-07-31	USD	646646000	101737000	None	22459000	86137000	84895000	374628000	65023000	4719000	591693000	-356267000	-370304000	0	364997000	364997000	None	None	None	None	None	None	None	-323416000	None	-88201000	-8276000	591693000
2018-07-31	USD	535069000	142161000	None	49584000	53916000	78598000	296697000	49251000	3959000	418007000	-288476000	-182038000	-231000000	0	0	None	235000	235000	None	None	0	None	50312000	None	64420000	-135000	417867000
2017-07-31	USD	492058000	37232000	None	3183000	22060000	57000000	332990000	26199000	-1294000	394261000	-335791000	-106975000	-7000000	0	0	None	None	None	None	None	0	None	35458000	None	54251000	4959000	394227000
2016-07-31	USD	660309000	151587000	None	53957000	65945000	48575000	173917000	66862000	2509000	270360000	-172876000	-448496000	238000000	442855000	457894000	None	344708000	344708000	None	None	93468000	None	-441285000	None	-300163000	-11289000	270360000
2015-07-31	USD	531145000	131017000	None	-8001000	12760000	46573000	79153000	21223000	1731000	219783000	-81915000	120362000	0	233484000	237306000	None	702573000	702573000	None	None	698939000	None	-230593000	None	297344000	-6179000	219783000
2014-07-31	USD	539180000	89292000	None	9083000	-12991000	53726000	95810000	-3603000	-4012000	178687000	-92103000	-76823000	-16291000	572000	572000	None	5879000	5879000	None	None	0	None	12179000	None	95037000	1369000	178687000
2013-07-31	USD	199326000	99352000	None	16047000	-58385000	56728000	130265000	-31923000	1777000	180025000	-208021000	-65891000	16291000	15009000	15009000	None	37733000	37733000	None	None	0	None	8381000	None	-76481000	-1895000	180025000
2012-07-31	USD	229673000	113547000	None	-4773000	-5263000	48167000	54832000	-9120000	-218000	182119000	-48087000	-114873000	None	203285000	203285000	None	138651000	138651000	None	None	125000000	None	-187677000	None	66103000	-610000	182119000
2011-07-31	USD	242932000	89039000	None	3128000	551000	45694000	70170000	3409000	-2666000	166373000	-84480000	-354075000	None	739638000	739638000	None	407082000	407082000	None	None	400000000	None	-730599000	None	-194179000	1444000	166375000
