fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-07-31	USD	1542920000	3956092000	2413172000	2132527000	1486569000	268222000	None	280745000	None	65928000	65929000	1000	3871364000	1831000	139900000	12423000	1554328000	316587000	1000	1237741000	1266100000	1486569000	1566752000	1237741000
2022-07-31	USD	1331171000	3481864000	2150693000	1894700000	1374997000	246624000	None	2371609000	None	-16688000	-16683000	5000	3485101000	-596000	121300000	8020000	1340954000	250824000	16764000	1090130000	1021625000	1374997000	1348979000	1090130000
2021-07-31	USD	1113489000	2689665000	1576176000	1349420000	1136426000	220365000	None	1774970000	None	-20247000	-20182000	65000	2693991000	5667000	105500000	7512000	1121846000	185351000	65000	936495000	956723000	1136426000	1129423000	936495000
2020-07-31	USD	1007802000	2205583000	1197781000	1197781000	816099000	199403000	None	1588644000	1359000	-18871000	1359000	20230000	2207496000	3611000	82100000	9782000	800839000	100932000	20230000	699907000	711348000	821069000	830851000	699907000
2019-07-31	USD	898342000	2041957000	1143615000	255504000	716475000	189367000	None	1511347000	2225000	-17585000	2225000	19810000	2045030000	6061000	66800000	10500000	704951000	113258000	19810000	591693000	567092000	724761000	735261000	591693000
2018-07-31	USD	762366000	1805695000	1043329000	196461000	584345000	182790000	None	1408522000	1293000	-20368000	1293000	20368000	-3240000	-2759000	58800000	14000000	562371000	144504000	20368000	418007000	410615000	582739000	596739000	417867000
2017-07-31	USD	632028000	1447981000	815953000	137552000	461299000	156964000	None	1144017000	1406000	-23779000	1406000	23779000	-184000	1174000	39600000	6800000	440066000	45839000	23779000	394261000	402745000	463845000	470645000	394227000
2016-07-31	USD	544586000	1268449000	723863000	140959000	406470000	144916000	None	1008016000	1449000	-23606000	22157000	23606000	54000	11552000	34200000	5800000	395865000	125505000	23606000	270360000	229959000	419471000	425271000	270360000
2015-07-31	USD	483376000	1146079000	662703000	662703000	344401000	143875000	None	944057000	817000	-18121000	17304000	18121000	918000	4972000	34900000	6800000	332069000	112286000	18121000	219783000	171050000	350190000	356990000	219783000
2014-07-31	USD	468573000	1163489000	694916000	694916000	274934000	169535000	None	1060638000	491000	-8768000	None	8768000	-1461000	3378000	37000000	6900000	270035000	91348000	8768000	178687000	205788000	278803000	285703000	178687000
2013-07-31	USD	420922000	1035157000	773194000	625464000	282992000	142930000	None	917197000	638000	-10267000	None	10267000	-962000	3509000	42000000	4800000	276872000	96847000	10267000	180025000	170907000	287139000	291939000	180025000
2012-07-31	USD	261669000	912707000	651038000	514575000	286353000	120992000	None	770122000	357000	-11341000	None	11341000	-143000	2687000	34800000	4500000	278056000	95937000	11341000	182119000	167301000	289397000	293897000	182119000
2011-07-31	USD	245830000	866286000	620456000	499351000	265290000	116405000	None	127335000	493000	-4078000	None	4078000	-1882000	2172000	40200000	4700000	263877000	97502000	4078000	166375000	175891000	267955000	272655000	166375000
