fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-06-30	USD	23415000000	9139000000	4029000000	66000000	2979000000	1452000000	14276000000	3179000000	3729000000	8088000000	5602000000	2486000000	98000000	None	None	679000000	1212000000	17830000000	6240000000	1670000000	895000000	997000000	1000000000	10758000000	33000000	997000000	997000000	None	8114000000	1440000000	1943000000	5585000000	13631000000	13991000000	6000000	358200000
2022-06-30	USD	20910000000	9298000000	3957000000	1883000000	2920000000	1629000000	11612000000	2650000000	3490000000	5949000000	3428000000	2521000000	215000000	None	24000000	792000000	1064000000	15320000000	5815000000	1822000000	674000000	268000000	5144000000	8663000000	10000000	268000000	268000000	None	5412000000	2077000000	1651000000	5590000000	13362000000	13912000000	6000000	357900000
2021-06-30	USD	21971000000	9768000000	4958000000	1490000000	2505000000	1702000000	12203000000	2280000000	3338000000	6711000000	4095000000	2616000000	67000000	None	15000000	603000000	1022000000	15914000000	5298000000	1692000000	693000000	32000000	5537000000	9725000000	27000000	32000000	32000000	None	5569000000	1181000000	2037000000	6057000000	11058000000	12244000000	6000000	362900000
2020-06-30	USD	17781000000	8892000000	5022000000	775000000	2062000000	1194000000	8889000000	2055000000	3079000000	3739000000	2338000000	1401000000	102000000	None	15000000	614000000	813000000	13846000000	5179000000	1177000000	501000000	1222000000	4914000000	8640000000	5000000	1222000000	1222000000	None	6136000000	1041000000	1448000000	3935000000	10330000000	10134000000	6000000	360600000
2019-06-30	USD	13156000000	7212000000	2987000000	1566000000	2006000000	1831000000	5944000000	2068000000	2763000000	3071000000	1203000000	1868000000	30000000	177000000	None	388000000	805000000	8745000000	4605000000	1490000000	675000000	516000000	2896000000	4140000000	None	516000000	516000000	None	3412000000	1359000000	1244000000	4386000000	9444000000	9984000000	6000000	362000000
2018-06-30	USD	12567000000	6168000000	2181000000	2715000000	1618000000	1487000000	6399000000	1823000000	2612000000	3202000000	1276000000	1926000000	1255000000	843000000	534000000	348000000	531000000	7879000000	3310000000	1182000000	413000000	183000000	183000000	4547000000	None	3361000000	183000000	None	3544000000	985000000	1186000000	4688000000	7896000000	9040000000	6000000	367100000
2017-06-30	USD	11568000000	4964000000	1136000000	1741000000	1479000000	1395000000	6604000000	1671000000	2348000000	3243000000	1327000000	1916000000	1511000000	1026000000	605000000	349000000	664000000	7184000000	2823000000	835000000	None	189000000	189000000	4343000000	None	3383000000	189000000	None	3572000000	768000000	960000000	4384000000	7149000000	8452000000	6000000	368000000
2016-06-30	USD	9223000000	4225000000	914000000	1383000000	1264000000	1258300000	4998200000	1583000000	2213000000	1572000000	344000000	1228000000	1569700000	1108000000	469000000	320000000	735000000	5651000000	2681000000	716700000	None	332000000	331500000	2955000000	None	1910000000	331500000	None	2242000000	682000000	1045000000	3572000000	6743000000	7693000000	6000000	368800000
2015-06-30	USD	8227000000	4183600000	1021000000	1524700000	1215800000	1174500000	3842800000	1490000000	2089400000	1471600000	326600000	1145000000	960900000	420300000	503700000	553100000	661400000	4583700000	2129800000	635400000	None	29800000	29800000	2442800000	None	1595100000	29800000	None	1624900000	565500000	847700000	3643200000	5856700000	7004100000	5700000	376900000
2014-06-30	USD	7860000000	4825200000	1629000000	1629100000	1294000000	1379300000	3129100000	1502600000	2027300000	1050500000	157300000	893200000	7600000	13600000	100000	522800000	476900000	4013900000	2056700000	524500000	None	18400000	18400000	1942700000	None	1324700000	1343100000	None	1343100000	469100000	618000000	3854900000	4878900000	6265800000	5600000	382900000
2013-06-30	USD	7145200000	4297200000	1495700000	1495700000	1113900000	1171700000	2898300000	1350700000	1876900000	1051100000	169600000	881500000	6500000	None	None	515900000	446200000	3858300000	1934600000	481700000	None	18300000	18300000	1908700000	None	1326000000	None	None	1344300000	465700000	582700000	3286900000	4215200000	5364100000	5600000	387900000
2012-06-30	USD	6593000000	3855100000	1347700000	1347700000	983600000	1060300000	2841000000	1231800000	1736600000	1072700000	190100000	882600000	17700000	None	None	463500000	433400000	3859800000	2125800000	493800000	None	219000000	219000000	1719700000	None	1069100000	None	None	1288100000	398000000	544300000	2733200000	3830400000	4764900000	5500000	389300000
2011-06-30	USD	6273900000	3686500000	1253000000	1253000000	995600000	945600000	2587400000	1143100000	1719000000	1104800000	227500000	877300000	None	None	None	492300000	339500000	3644500000	1943300000	446700000	None	138000000	138000000	1683600000	None	1080100000	None	None	1218100000	318300000	473500000	2629400000	3243100000	4113700000	5500000	197000000
2010-06-30	USD	5335600000	3121000000	1120700000	1120700000	826600000	None	2214600000	1023600000	1501400000	862000000	109500000	752500000	None	None	None	427500000	329000000	3387200000	1572200000	425200000	None	23400000	23400000	1798000000	None	1205000000	None	None	1228400000	249200000	429700000	1948400000	2850300000	3564000000	2700000	197723641
2009-06-30	USD	5176600000	2912500000	864500000	864500000	795000000	None	2264100000	1026700000	None	150100000	150100000	759900000	None	None	None	399700000	None	3536600000	1459200000	None	None	None	33800000	2077400000	None	1387600000	None	None	1421400000	1095600000	None	1640000000	-2586100000	3195000000	2600000	196694200
