fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-06-30	USD	1731000000	1363000000	None	-462000000	-147000000	744000000	3289000000	-185000000	64000000	1010000000	-3217000000	1590000000	983000000	271000000	271000000	None	925000000	925000000	None	None	None	None	-183000000	None	104000000	None	1010000000
2022-06-30	USD	3040000000	1429000000	None	211000000	713000000	727000000	1040000000	10000000	602000000	2408000000	-945000000	-3036000000	-4000000	2309000000	2309000000	None	840000000	840000000	None	None	None	None	-2158000000	None	-941000000	None	2401000000
2021-06-30	USD	3631000000	1281000000	None	1135000000	525000000	651000000	637000000	398000000	140000000	2875000000	-1864000000	-1892000000	-744000000	733000000	733000000	None	761000000	753000000	None	None	None	None	-518000000	None	-125000000	None	2863000000
2020-06-30	USD	2280000000	1116000000	None	-477000000	-410000000	611000000	623000000	-625000000	3000000	696000000	-1698000000	1461000000	755000000	893000000	893000000	None	513000000	503000000	None	None	None	None	-713000000	None	2043000000	None	684000000
2019-06-30	USD	2517000000	719000000	None	604000000	606000000	557000000	744000000	169000000	375000000	1794000000	473000000	-2173000000	-171000000	1555000000	1555000000	None	615000000	609000000	None	None	None	None	-1363000000	None	817000000	None	1785000000
2018-06-30	USD	2562000000	479000000	None	815000000	240000000	531000000	629000000	105000000	147000000	1117000000	-358000000	-1172000000	-8000000	759000000	759000000	None	550000000	546000000	None	None	None	None	-577000000	None	1045000000	13000000	1108000000
2017-06-30	USD	1790000000	597000000	None	278000000	257000000	464000000	504000000	92000000	85000000	1256000000	-2204000000	630000000	165000000	413000000	413000000	None	489000000	486000000	None	None	1498000000	None	-272000000	None	222000000	6000000	1249000000
2016-06-30	USD	1789000000	552800000	None	386900000	241900000	415000000	525300000	100900000	69000000	1121000000	-1269000000	-605000000	-400000	890000000	889900000	None	426700000	423000000	None	None	0	None	-805500000	None	-107000000	-22000000	1115000000
2015-06-30	USD	1943000000	530500000	None	263400000	-84800000	409000000	473000000	-103200000	26000000	1094000000	-1616000000	-895000000	13000000	983000000	982800000	None	355700000	350000000	None	None	0	None	-881400000	None	-608000000	-40000000	1088900000
2014-06-30	USD	3026500000	658800000	None	202900000	398200000	384600000	510200000	196200000	156800000	1209100000	-511600000	-856900000	5100000	667200000	667200000	None	308000000	301800000	None	None	None	None	-582400000	None	133400000	-33300000	1204100000
2013-06-30	USD	1226300000	670700000	-9800000	42400000	250700000	336900000	461000000	113000000	134500000	1023800000	-465500000	-611500000	-198500000	387700000	387700000	None	423400000	419200000	None	None	498700000	None	-296600000	None	148000000	-1300000	1019800000
2012-06-30	USD	1126700000	459200000	10000000	225100000	282700000	295800000	420700000	178400000	41200000	860500000	-428300000	-585100000	197400000	592700000	592700000	None	208500000	204000000	None	None	None	None	-501900000	None	94700000	-18600000	856900000
2011-06-30	USD	1027000000	314300000	20000000	238700000	272300000	294400000	351000000	124700000	95100000	703800000	-606900000	-313100000	400000	396600000	396600000	None	153600000	148000000	None	None	None	None	-240500000	None	132300000	25300000	700800000
