fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-06-30	USD	11346000000	15699000000	15157000000	4564000000	1509000000	9575000000	344000000	9837000000	131000000	-255000000	131000000	255000000	15954000000	131000000	None	733000000	1397000000	387000000	255000000	1010000000	834000000	1509000000	2385000000	1010000000
2022-06-30	USD	13432000000	17552000000	15260000000	4305000000	3170000000	9888000000	307000000	10262000000	30000000	-167000000	30000000	167000000	17719000000	30000000	None	715000000	3029000000	628000000	167000000	2408000000	2098000000	3170000000	3911000000	2401000000
2021-06-30	USD	12381000000	16007000000	14358000000	3834000000	2618000000	9371000000	243000000	9763000000	51000000	-173000000	51000000	173000000	16180000000	51000000	None	635000000	3319000000	456000000	173000000	2875000000	3065000000	2618000000	4127000000	2863000000
2020-06-30	USD	10742000000	14164000000	14516000000	3552000000	606000000	8637000000	228000000	10136000000	48000000	-161000000	444000000	161000000	14325000000	48000000	None	598000000	1034000000	350000000	161000000	696000000	582000000	1195000000	1793000000	684000000
2019-06-30	USD	11476000000	14830000000	13129000000	3387000000	2313000000	8857000000	None	9163000000	58000000	-133000000	58000000	133000000	14963000000	58000000	None	546000000	2298000000	513000000	133000000	1794000000	1656000000	2431000000	2977000000	1785000000
2018-06-30	USD	10839000000	13445000000	12177000000	2844000000	2055000000	8553000000	181000000	8784000000	56000000	-128000000	56000000	128000000	-110000000	56000000	None	520000000	1971000000	863000000	128000000	1117000000	1190000000	2099000000	2619000000	1108000000
2017-06-30	USD	9390000000	11731000000	10612000000	2434000000	1704000000	7460000000	179000000	7686000000	28000000	-103000000	28000000	103000000	10000000	28000000	None	463000000	1610000000	361000000	103000000	1256000000	1310000000	1713000000	2176000000	1249000000
2016-06-30	USD	9081000000	11190000000	9935900000	2181000000	1610000000	7338000000	191300000	7471000000	16000000	-70700000	300000	71000000	-1600000	15600000	None	417000000	1549000000	434000000	70700000	1120800000	951000000	1620000000	2037000000	1115000000
2015-06-30	USD	8680000000	10710000000	9588300000	2100000000	1606000000	7074000000	178100000	7074000000	15000000	-60000000	45700000	60000000	-10400000	14300000	None	413700000	1555900000	467000000	60000000	1093400000	808000000	1615900000	2029600000	1088900000
2014-06-30	USD	8810600000	10908700000	9531700000	2158200000	1827600000	6985900000	157900000	6983000000	8600000	-59400000	None	59400000	-60100000	None	None	390500000	1771800000	567700000	59400000	1209100000	1261300000	1831200000	2221700000	1204100000
2013-06-30	USD	8155800000	10163000000	8997500000	2025900000	1526000000	6597000000	146800000	6629800000	8300000	-63100000	None	63100000	-18700000	23100000	None	342300000	1471200000	451400000	19100000	1023800000	1075200000	1534300000	1876600000	1019800000
2012-06-30	USD	7717800000	9710900000	8409800000	1995800000	1311700000	6324800000	137800000	6406100000	None	None	None	61100000	-13200000	10500000	None	13900000	1257500000	400600000	None	860500000	626300000	1311700000	1325600000	856900000
2011-06-30	USD	6873100000	8783700000	7710300000	1936900000	1089400000	5696700000	85700000	5783700000	None	None	None	63900000	-26300000	None	None	14600000	1022500000	321700000	None	703800000	915200000	1089400000	1104000000	700800000
