fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-05-31	USD	49408000000	89461000000	40053000000	9266000000	4912000000	617000000	None	15346000000	198000000	-694000000	496000000	694000000	90155000000	-107000000	None	88000000	5363000000	1391000000	694000000	3972000000	3748000000	6057000000	6145000000	3972000000
2022-05-31	USD	50814000000	92823000000	42009000000	8487000000	6245000000	660000000	None	14785000000	53000000	-689000000	53000000	689000000	93512000000	13000000	None	78000000	4896000000	1070000000	689000000	3826000000	3455000000	5585000000	5663000000	3826000000
2021-05-31	USD	47463000000	82773000000	35310000000	6210000000	5857000000	628000000	None	13503000000	52000000	-793000000	741000000	793000000	83566000000	-32000000	None	72000000	6674000000	1443000000	1186000000	5231000000	5646000000	7467000000	7539000000	5231000000
2020-05-31	USD	35959000000	68545000000	32586000000	6049000000	2417000000	595000000	None	12353000000	55000000	-672000000	55000000	672000000	69217000000	-9000000	None	84000000	1669000000	383000000	672000000	1286000000	953000000	2341000000	2425000000	1286000000
2019-05-31	USD	20223000000	69113000000	48890000000	16654000000	4466000000	3739000000	None	14537000000	59000000	-588000000	59000000	588000000	69701000000	-31000000	None	82000000	655000000	115000000	588000000	540000000	253000000	1243000000	1325000000	540000000
2018-05-31	USD	17130000000	65450000000	48320000000	15101000000	4272000000	26756000000	None	36834000000	48000000	-558000000	48000000	558000000	85000000	-7000000	None	87000000	4353000000	-219000000	558000000	4572000000	4409000000	4911000000	4998000000	4572000000
2017-05-31	USD	13555000000	60319000000	46764000000	13630000000	4566000000	24992000000	None	36897000000	33000000	-512000000	33000000	512000000	60319000000	21000000	2900000000	2995000000	4579000000	1582000000	512000000	2997000000	2751000000	5091000000	8086000000	2997000000
2016-05-31	USD	11399000000	50365000000	38966000000	14473000000	3077000000	21862000000	None	47288000000	21000000	-336000000	315000000	336000000	None	-22000000	2600000000	2631000000	2740000000	920000000	336000000	1820000000	1479000000	3076000000	5707000000	1820000000
2015-05-31	USD	18791000000	47453000000	28662000000	5819000000	1867000000	19956000000	None	45586000000	14000000	-235000000	None	235000000	None	-19000000	2600000000	2611000000	1627000000	577000000	235000000	1050000000	716000000	1862000000	4473000000	1050000000
2014-05-31	USD	17248000000	45567000000	28319000000	6419000000	3815000000	19313000000	None	41752000000	18000000	-160000000	None	160000000	None	-15000000	2600000000	2587000000	3658000000	1334000000	160000000	2097000000	2223000000	3818000000	6405000000	2324000000
2013-05-31	USD	18258000000	44287000000	26029000000	6655000000	4434000000	19247000000	None	39853000000	21000000	-82000000	None	82000000	None	-35000000	2300000000	2386000000	4338000000	1622000000	82000000	1561000000	2694000000	4420000000	6806000000	2716000000
2012-05-31	USD	16862000000	42680000000	25818000000	6936000000	3186000000	18748000000	None	39494000000	13000000	52000000	104000000	52000000	None	-6000000	2100000000	2113000000	3141000000	1109000000	-52000000	2032000000	-371000000	3193000000	5306000000	2032000000
2011-05-31	USD	15216000000	39304000000	24088000000	6130000000	2378000000	17869000000	None	36926000000	9000000	86000000	172000000	86000000	None	-36000000	1900000000	32000000	2265000000	813000000	-86000000	1452000000	1342000000	2351000000	2383000000	1452000000
2010-05-31	USD	13910000000	34734000000	20824000000	4821000000	1998000000	14027000000	None	46966000000	8000000	-79000000	-158000000	-79000000	None	-33000000	1900000000	1958000000	1894000000	710000000	79000000	1184000000	117000000	1815000000	3773000000	1184000000
