fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-12-31	USD	402392000000	171530000000	24048000000	110916000000	None	47964000000	233962000000	134345000000	67458000000	29198000000	None	29198000000	203704000000	34108000000	86868000000	12650000000	10051000000	119013000000	81814000000	7493000000	5048000000	1363000000	0	37199000000	1383000000	14862000000	1000000000	10300000000	14862000000	67393000000	1616000000	283379000000	None	211247000000	76534000000	12460000000
2022-12-31	USD	365264000000	164795000000	21879000000	113762000000	2670000000	40258000000	202772000000	112668000000	59042000000	31044000000	2084000000	28960000000	212885000000	32795000000	91883000000	10775000000	8707000000	109120000000	69300000000	5128000000	4507000000	298000000	0	39820000000	1844000000	15312000000	0	9900000000	15312000000	51006000000	2247000000	256144000000	None	195563000000	68184000000	12849000000
2021-12-31	USD	359268000000	188143000000	20945000000	139649000000	1170000000	40270000000	172625000000	97599000000	49414000000	24373000000	1417000000	22956000000	152164000000	31049000000	118704000000	8020000000	5361000000	107633000000	64254000000	6037000000	3823000000	113000000	0	43379000000	1973000000	15440000000	0	12400000000	15440000000	52740000000	2205000000	251635000000	None	191484000000	61774000000	662121000
2020-12-31	USD	319616000000	174296000000	26465000000	136694000000	728000000	31384000000	146720000000	84749000000	41713000000	22620000000	1445000000	21175000000	138984000000	22103000000	110229000000	5490000000	3953000000	97072000000	56834000000	5589000000	3024000000	1100000000	0	40238000000	1100000000	15319000000	999000000	14000000000	15319000000	47008000000	2269000000	222544000000	None	163401000000	58510000000	675222000
2019-12-31	USD	275909000000	152578000000	18498000000	119675000000	999000000	27492000000	123331000000	73646000000	30561000000	22603000000	1979000000	20624000000	119195000000	14378000000	101177000000	4412000000	2342000000	74467000000	45221000000	5561000000	2266000000	1199000000	0	19032000000	685000000	4685000000	0	3958000000	4685000000	36553000000	2534000000	201442000000	None	152122000000	50552000000	688335000
2018-12-31	USD	232792000000	135676000000	16701000000	109140000000	1107000000	21193000000	97116000000	59719000000	22788000000	20108000000	2220000000	17888000000	199328000000	15159000000	92439000000	4236000000	2693000000	55164000000	34620000000	4378000000	2180000000	None	0	19280000000	62000000	4062000000	None	3950000000	4062000000	28389000000	3545000000	177628000000	None	134885000000	45049000000	695556000
2017-12-31	USD	197295000000	124308000000	10715000000	101871000000	749000000	18705000000	72987000000	42383000000	17264000000	19439000000	2692000000	16747000000	104357000000	13713000000	91156000000	2983000000	2672000000	44793000000	24183000000	3137000000	1772000000	0	0	20180000000	26000000	4026000000	3969000000	3943000000	4026000000	2874000000	3059000000	152502000000	None	113247000000	40247000000	694783000
2016-12-31	USD	167497000000	105408000000	12918000000	86333000000	268000000	14232000000	62089000000	34234000000	13293000000	19775000000	3307000000	16468000000	84085000000	10578000000	73415000000	4575000000	1819000000	28461000000	16756000000	2041000000	1301000000	0	0	11705000000	None	4000000000	3935000000	3935000000	4000000000	13062000000	2665000000	139036000000	None	105131000000	36307000000	691293000
2015-12-31	USD	147461000000	90114000000	16549000000	73066000000	491000000	13459000000	57347000000	29016000000	11130000000	19716000000	3847000000	15869000000	65462000000	9383000000	56517000000	3139000000	None	27130000000	19310000000	1931000000	939000000	3225000000	2000000000	7820000000	None	3225000000	1225000000	1995000000	5225000000	13366000000	1822000000	120331000000	None	89223000000	32982000000	687348000
2014-12-31	USD	129187000000	78656000000	18347000000	64395000000	1322000000	None	50531000000	23883000000	8863000000	20206000000	4607000000	15599000000	None	3079000000	46048000000	3412000000	None	25327000000	16779000000	1715000000	None	2009000000	1999000000	9828000000	None	3110000000	10000000	2992000000	5237000000	12329000000	1118000000	103860000000	None	75066000000	28767000000	680172000
