fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-12-31	USD	8080000000	14271000000	12143000000	6734000000	3192000000	4912000000	66000000	5416000000	None	-496000000	None	496000000	14828000000	61000000	402000000	399000000	2757000000	576000000	496000000	2181000000	2367000000	3253000000	3652000000	2181000000
2022-12-31	USD	7323000000	13190000000	12315000000	6734000000	2605000000	4645000000	65000000	5209000000	None	-693000000	None	693000000	13944000000	-14000000	399000000	386000000	1720000000	284000000	910000000	1435000000	1590000000	2413000000	2799000000	1436000000
2021-12-31	USD	6977000000	12701000000	10502000000	5706000000	2894000000	4153000000	66000000	4711000000	None	-518000000	-18000000	500000000	13168000000	2000000	410000000	361000000	2799000000	653000000	623000000	2145000000	2042000000	3299000000	3660000000	2146000000
2020-12-31	USD	6486000000	11130000000	9835000000	5132000000	2480000000	3978000000	69000000	4719000000	None	-618000000	-14000000	604000000	11651000000	-17000000	362000000	338000000	1753000000	428000000	622000000	1325000000	1298000000	2357000000	2695000000	1325000000
2019-12-31	USD	6342000000	10500000000	9405000000	4778000000	2378000000	3962000000	81000000	4667000000	None	-654000000	672000000	654000000	11104000000	-19000000	358000000	340000000	1694000000	440000000	665000000	1254000000	1488000000	2348000000	2688000000	1254000000
2018-12-31	USD	3882000000	7147000000	6931000000	3560000000	1237000000	2635000000	64000000	3386000000	None	-401000000	425000000	401000000	7388000000	19000000	233000000	350000000	788000000	202000000	414000000	589000000	357000000	1189000000	1539000000	586000000
2017-12-31	USD	3995000000	6504000000	6198000000	2201000000	1388000000	2556000000	20000000	2680000000	3000000	-161000000	3000000	164000000	-25000000	8000000	198000000	102000000	1171000000	95000000	226000000	1078000000	1103000000	1335000000	1437000000	1076000000
2016-12-31	USD	3858000000	6283000000	5802000000	3374000000	1433000000	2329000000	20000000	2448000000	3000000	-144000000	3000000	147000000	-13000000	25000000	191000000	99000000	1281000000	434000000	178000000	849000000	813000000	1428000000	1527000000	847000000
2015-12-31	USD	3723000000	6129000000	5790000000	3365000000	1298000000	2313000000	19000000	2444000000	2000000	-115000000	2000000	117000000	-38000000	1000000	192000000	105000000	1184000000	420000000	117000000	764000000	706000000	1301000000	1406000000	764000000
2014-12-31	USD	3630000000	5989000000	5742000000	3293000000	1180000000	2334000000	18000000	2467000000	2000000	-107000000	2000000	109000000	-25000000	0	199000000	115000000	1074000000	371000000	109000000	702000000	654000000	1183000000	1298000000	703000000
2013-12-31	USD	3498000000	5853000000	5672000000	3275000000	1046000000	2272000000	21000000	2634000000	2000000	-121000000	2000000	123000000	-23000000	-383000000	196000000	115000000	543000000	-81000000	123000000	623000000	646000000	666000000	781000000	624000000
2012-12-31	USD	3495000000	5879000000	5667000000	3275000000	1092000000	2268000000	21000000	2647000000	2000000	-123000000	2000000	125000000	7000000	9000000	203000000	124000000	978000000	349000000	125000000	629000000	629000000	1103000000	1227000000	629000000
2011-12-31	USD	3418000000	5787000000	4868000000	2485000000	1024000000	2257000000	15000000	2651000000	3000000	-111000000	3000000	114000000	-17000000	12000000	198000000	126000000	926000000	320000000	114000000	605000000	524000000	1040000000	1166000000	606000000
2010-12-31	USD	3393000000	5426000000	4608000000	2243000000	1025000000	2233000000	16000000	2721000000	3000000	-125000000	3000000	128000000	-86000000	21000000	185000000	127000000	822000000	294000000	228000000	527000000	559000000	950000000	1077000000	528000000
