fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-02-28	USD	2800203000	29684873000	26884670000	150800000	11997000	2487357000	13225000	2792979000	None	1131200000	1251598000	120398000	29680127000	0	244400000	228449000	636804000	152042000	120398000	484762000	629053000	757202000	985651000	484762000
2022-02-28	USD	3287542000	31900412000	28612870000	124800000	682666000	2325220000	5668000	2585737000	None	1068000000	1162095000	94095000	31919539000	0	215300000	211956000	1492346000	341049000	94095000	1151297000	1223566000	1586441000	1798397000	1151297000
2021-02-28	USD	2379125000	18950149000	16571024000	102200000	415788000	1704419000	None	1961928000	None	827900000	914078000	86178000	18951509000	-2200000	195300000	194356000	965257000	218338000	86178000	746919000	778299000	1051435000	1245791000	746919000
2020-02-29	USD	2722340000	20319987000	17597647000	104300000	714504000	1750168000	None	2011343000	None	746000000	829007000	83007000	20316493000	0	190600000	189899000	1160986000	272553000	83007000	888433000	806372000	1243993000	1433892000	888433000
2019-02-28	USD	2480591000	18173100000	15692509000	90700000	697916000	1730275000	None	1785500000	None	683600000	759392000	75792000	18170275000	-400000	169800000	182247000	1112806000	270393000	75792000	842413000	828715000	1188598000	1370845000	842413000
2018-02-28	USD	2328859000	17120209000	14791350000	83200000	664008000	1617051000	None	1666149000	None	641600000	712345000	70745000	-1298000	400000	158600000	179942000	1063608000	399496000	70745000	664112000	676935000	1134353000	1314295000	664112000
2017-02-28	USD	2183294000	15875118000	13691824000	71000000	654590000	1488504000	None	1532873000	None	590600000	647016000	56416000	-4169000	0	140700000	168875000	1006405000	379435000	56416000	626970000	640611000	1062821000	1231696000	626970000
2016-02-29	USD	2018760000	15149675000	13130915000	61600000	633425000	1351935000	None	1398471000	None	555200000	591558000	36358000	-13136000	-400000	127000000	137360000	1009944000	386516000	36358000	623428000	618623000	1046302000	1183662000	623428000
2015-02-28	USD	1887527000	14268716000	12381189000	58700000	596402000	1257725000	None	1294977000	None	508300000	532773000	24473000	-3852000	0	105700000	115173000	969331000	371973000	24473000	597358000	578238000	993804000	1108977000	597358000
2014-02-28	USD	1648701000	12574299000	10925598000	49700000	443736000	1155215000	None	1237678000	None	458000000	488834000	30834000	-1879000	100000	90400000	101911000	797322000	304736000	30445000	492586000	506123000	828156000	930067000	492586000
2013-02-28	USD	1464362000	10962818000	9498456000	44700000	388678000	1031034000	None	1110036000	None	400200000	432557000	32357000	-1995000	0	82300000	95283000	701351000	267067000	32357000	434284000	436935000	733708000	828991000	434284000
2012-02-29	USD	1378761000	10003599000	8624838000	45500000	392227000	940786000	None	1017679000	None	342600000	376314000	33714000	2569000	1500000	75200000	82812000	666910000	253115000	33714000	413795000	376393000	700624000	520787000	413795000
2011-02-28	USD	1301228000	8975554000	7674326000	45100000	394994000	878805000	None	909344000	480000	285300000	319980000	34680000	2043000	7500000	73900000	59421000	608206000	230711000	3110000	380878000	371984000	642886000	456038000	377495000
