fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-12-31	USD	8479000000	67571000000	59092000000	59092000000	8507000000	273000000	1500000000	3203000000	None	-916000000	None	916000000	240000000	64000000	920000000	1430000000	8098000000	1178000000	916000000	6920000000	6140000000	9014000000	10444000000	6920000000
2022-12-31	USD	8287000000	65984000000	57697000000	57697000000	8348000000	275000000	1700000000	4601000000	None	-623000000	623000000	623000000	-323000000	-74000000	903000000	1404000000	6680000000	948000000	623000000	5732000000	8715000000	7303000000	8459000000	5732000000
2021-12-31	USD	9061000000	67044000000	57983000000	57983000000	9123000000	275000000	1500000000	4519000000	None	-569000000	569000000	569000000	265000000	288000000	904000000	1079000000	7550000000	1235000000	569000000	6315000000	11430000000	8119000000	9198000000	6315000000
2020-12-31	USD	8654000000	65398000000	56744000000	56744000000	8644000000	223000000	1300000000	3023000000	None	-591000000	591000000	591000000	-55000000	-37000000	853000000	1019000000	8180000000	1347000000	591000000	6888000000	6266000000	8771000000	9790000000	6833000000
2019-12-31	USD	8367000000	59812000000	51445000000	51445000000	8545000000	239000000	1300000000	2728000000	None	-653000000	653000000	653000000	59812000000	-74000000	794000000	906000000	7241000000	1011000000	653000000	6230000000	4997000000	7894000000	8800000000	6230000000
2018-12-31	USD	7274000000	53762000000	46488000000	46488000000	7334000000	247000000	1300000000	2708000000	None	-668000000	668000000	668000000	0	-828000000	759000000	1161000000	5838000000	792000000	668000000	5046000000	5672000000	6506000000	7667000000	5046000000
2017-12-31	USD	6371000000	49960000000	43589000000	43589000000	6744000000	169000000	1200000000	1364000000	None	-651000000	651000000	651000000	73000000	-847000000	760000000	1195000000	5319000000	3356000000	651000000	1890000000	1526000000	5970000000	7165000000	1963000000
2016-12-31	USD	5401000000	47290000000	41889000000	41889000000	5888000000	968000000	988000000	1961000000	None	-663000000	663000000	663000000	1242000000	-471000000	747000000	1167000000	6266000000	1093000000	663000000	3661000000	4515000000	6929000000	8096000000	5173000000
2015-12-31	USD	4492000000	45689000000	42652000000	36044000000	4712000000	649000000	817000000	2559000000	None	-443000000	443000000	443000000	0	30000000	716000000	945000000	4778000000	1173000000	443000000	3126000000	4031000000	5221000000	6166000000	3605000000
2014-12-31	USD	4683000000	45260000000	42101000000	35263000000	5012000000	643000000	733000000	2507000000	None	-340000000	None	340000000	None	5000000	713000000	927000000	5038000000	1424000000	340000000	3253000000	1345000000	5378000000	6305000000	3614000000
2013-12-31	USD	4187000000	45008000000	42671000000	41171000000	4505000000	315000000	697000000	3324000000	None	-350000000	None	350000000	None	None	714000000	990000000	4186000000	1205000000	350000000	2950000000	6873000000	4536000000	5526000000	2981000000
2012-12-31	USD	4196000000	46799000000	44276000000	42986000000	4434000000	302000000	616000000	3349000000	None	-383000000	None	383000000	None	21000000	715000000	988000000	4072000000	1327000000	383000000	2745000000	509000000	4455000000	5443000000	2745000000
2011-12-31	USD	3744000000	46121000000	44150000000	42755000000	4020000000	347000000	585000000	3471000000	None	-354000000	None	354000000	None	-35000000	712000000	1008000000	3619000000	964000000	354000000	2667000000	408000000	3973000000	4981000000	2655000000
2010-12-31	USD	3844000000	45514000000	42458000000	41827000000	4105000000	399000000	639000000	2216000000	None	-345000000	None	345000000	None	18000000	749000000	1052000000	4042000000	1164000000	345000000	2614000000	2463000000	4387000000	5439000000	2878000000
2009-12-31	USD	4147000000	44884000000	41069000000	39720000000	4367000000	373000000	717000000	1080000000	None	-305000000	3000000	308000000	None	123000000	750000000	1014000000	4188000000	1215000000	305000000	2967000000	3106000000	4496000000	5510000000	2973000000
