fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-05-31	USD	22292000000	51430000000	45302000000	28925000000	5915000000	16377000000	None	16377000000	None	6000000	6000000	286000000	51430000000	280000000	703000000	859000000	6201000000	1131000000	None	5070000000	4983000000	5915000000	5915000000	5070000000
2022-05-31	USD	21479000000	46736000000	40035000000	25231000000	6675000000	14804000000	None	14804000000	None	-205000000	205000000	205000000	46736000000	181000000	717000000	840000000	6651000000	605000000	None	6046000000	6744000000	6675000000	6675000000	6046000000
2021-05-31	USD	19962000000	44676000000	37601000000	24576000000	6937000000	13025000000	None	13025000000	None	-262000000	262000000	262000000	44676000000	-14000000	744000000	797000000	6661000000	934000000	None	5727000000	5403000000	6937000000	6937000000	5727000000
2020-05-31	USD	16241000000	37380000000	34288000000	21162000000	3115000000	13126000000	None	13126000000	None	-89000000	14000000	89000000	37380000000	-139000000	721000000	1119000000	2887000000	348000000	None	2539000000	2252000000	3115000000	3115000000	2539000000
2019-05-31	USD	17474000000	38884000000	34345000000	21643000000	4772000000	12702000000	None	12702000000	None	-49000000	124000000	749000000	38884000000	78000000	705000000	720000000	4801000000	772000000	None	4029000000	4352000000	4772000000	4772000000	4029000000
2018-05-31	USD	15956000000	36496000000	31952000000	20441000000	4445000000	11511000000	None	11511000000	None	-54000000	115000000	54000000	99000000	-66000000	747000000	774000000	4325000000	2392000000	None	1933000000	2037000000	4445000000	5219000000	1933000000
2017-05-31	USD	15312000000	34467000000	29601000000	19038000000	4749000000	10563000000	None	10563000000	None	-59000000	94000000	59000000	117000000	196000000	706000000	716000000	4886000000	646000000	None	4240000000	3709000000	4749000000	5465000000	4240000000
2016-05-31	USD	14971000000	32278000000	27874000000	17405000000	4502000000	10469000000	None	10469000000	None	-19000000	130000000	19000000	-98000000	140000000	649000000	662000000	4623000000	863000000	None	3760000000	2832000000	4502000000	5164000000	3760000000
2015-05-31	USD	14067000000	30177000000	26426000000	16534000000	4175000000	9892000000	None	9892000000	None	None	None	28000000	-424000000	58000000	606000000	649000000	4205000000	932000000	None	3273000000	4434000000	4175000000	4175000000	3273000000
2014-05-31	USD	12446000000	27799000000	24119000000	15353000000	-2055000000	8766000000	None	14501000000	5000000	None	None	33000000	-56000000	-103000000	518000000	632000000	3544000000	851000000	None	2693000000	2504000000	-2055000000	3680000000	2693000000
2013-05-31	USD	11034000000	25313000000	22073000000	14279000000	-1795000000	7796000000	None	12829000000	26000000	None	None	3000000	-66000000	15000000	438000000	14000000	3277000000	805000000	None	2451000000	2597000000	-1795000000	-1781000000	2472000000
2012-05-31	USD	10148000000	24128000000	21088000000	13657000000	-1680000000	7079000000	None	12151000000	30000000	None	None	3000000	None	-54000000	373000000	14000000	2965000000	754000000	None	2257000000	2265000000	-1680000000	-1666000000	2211000000
2011-05-31	USD	9202000000	20556000000	11354000000	11354000000	-1430000000	6361000000	None	10938000000	30000000	None	None	4000000	None	25000000	335000000	13000000	2823000000	690000000	None	2172000000	2013000000	-1430000000	-1417000000	2133000000
2010-05-31	USD	8800000000	19014000000	10214000000	10214000000	2474000000	6326000000	None	6326400000	30000000	None	None	6300000	None	49000000	324000000	395500000	2517000000	610000000	None	1906700000	1754000000	2474000000	2820300000	1907000000
