fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-12-31	USD	41652000000	3271000000	1568000000	1568000000	264000000	1147000000	38771000000	33326000000	13265000000	None	None	None	3065000000	3839000000	None	292000000	1216000000	28871000000	2632000000	1638000000	None	4000000	0	26754000000	392000000	16242000000	4000000	None	16242000000	728000000	1839000000	12781000000	19000000	10695000000	227000000	225681254
2022-12-31	USD	38885000000	2007000000	456000000	456000000	253000000	1148000000	37285000000	32156000000	12592000000	None	None	None	2942000000	3694000000	None	150000000	1028000000	26152000000	2649000000	1293000000	0	703000000	100000000	24051000000	410000000	13549000000	603000000	None	13649000000	341000000	1759000000	12733000000	19000000	10697000000	230000000	228076415
2021-12-31	USD	38493000000	2167000000	839000000	839000000	218000000	976000000	36737000000	31653000000	12031000000	None	None	None	2822000000	3707000000	None	134000000	966000000	24852000000	2521000000	1351000000	0	553000000	0	22924000000	413000000	12311000000	553000000	None	12311000000	312000000	1879000000	13641000000	19000000	11586000000	242000000	240162790
2020-12-31	USD	37962000000	2318000000	1115000000	1115000000	221000000	848000000	36077000000	31345000000	11985000000	-399000000	-399000000	None	2688000000	3590000000	3590000000	134000000	709000000	23171000000	2160000000	1016000000	0	579000000	579000000	21649000000	433000000	11090000000	579000000	None	11090000000	302000000	1987000000	14791000000	19000000	12883000000	254000000	252095082
2019-12-31	USD	37923000000	2081000000	580000000	580000000	244000000	920000000	36381000000	31614000000	11982000000	-388000000	-388000000	None	2661000000	3428000000	None	337000000	800000000	22739000000	2300000000	1428000000	0	316000000	316000000	20702000000	538000000	11071000000	316000000	None	11071000000	327000000	1744000000	15184000000	19000000	13207000000	259000000	257904956
2018-12-31	USD	36239000000	1862000000	358000000	358000000	207000000	1009000000	34377000000	31091000000	12374000000	-380000000	-380000000	None	2553000000	3109000000	None	288000000	177000000	20877000000	2591000000	1505000000	None	585000000	0	12068000000	None	11145000000	585000000	None	11145000000	246000000	1266000000	15362000000	19000000	13440000000	269000000	268098472
2017-12-31	USD	35711000000	2149000000	690000000	690000000	222000000	955000000	33562000000	30330000000	11909000000	-366000000	-366000000	None	2451000000	2981000000	None	282000000	251000000	19352000000	2545000000	1401000000	None	700000000	100000000	10766000000	None	9736000000	600000000	None	9836000000	233000000	1347000000	16359000000	19000000	14176000000	285000000	284157187
2016-12-31	USD	34892000000	2291000000	956000000	956000000	257000000	945000000	23461000000	29751000000	11737000000	-329000000	-329000000	None	2362000000	2777000000	None	133000000	73000000	22483000000	2339000000	1215000000	None	650000000	100000000	11309000000	None	10112000000	550000000	None	10212000000	229000000	1442000000	12409000000	19000000	10425000000	292000000	290417610
2015-12-31	USD	34139000000	2512000000	1101000000	1101000000	271000000	946000000	22732000000	28992000000	11478000000	-421000000	-421000000	None	2264000000	2572000000	None	194000000	63000000	21951000000	2231000000	1091000000	None	700000000	200000000	20090000000	None	9893000000	500000000	None	10093000000	237000000	1385000000	12188000000	19000000	10191000000	299000000	297795016
2014-12-31	USD	33200000000	2778000000	973000000	973000000	236000000	1055000000	21813000000	27694000000	10814000000	-349000000	-349000000	None	2209000000	2679000000	0	347000000	49000000	20792000000	1780000000	1233000000	None	102000000	100000000	19478000000	None	8885000000	2000000	None	8985000000	228000000	1312000000	12408000000	19000000	10348000000	310000000	308240130
