fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-12-31	USD	3179000000	770000000	None	435000000	67000000	1298000000	2349000000	2000000	-11000000	1827000000	-2182000000	115000000	None	622000000	622000000	None	1225000000	1225000000	None	None	None	None	-603000000	None	None	None	1827000000
2022-12-31	USD	4222000000	719000000	None	23000000	224000000	1221000000	1948000000	171000000	-35000000	3270000000	-1603000000	-3002000000	None	3110000000	3110000000	None	1167000000	1167000000	None	None	None	None	-3085000000	None	-383000000	None	3270000000
2021-12-31	USD	4255000000	682000000	None	283000000	136000000	1181000000	1470000000	133000000	3000000	3005000000	-1222000000	-3309000000	None	3390000000	3390000000	None	1028000000	1028000000	None	None	None	None	-3348000000	None	-276000000	None	3005000000
2020-12-31	USD	3637000000	686000000	46000000	34000000	-97000000	1154000000	1494000000	-71000000	23000000	2013000000	-1175000000	-1927000000	None	1439000000	1439000000	None	960000000	960000000	None	None	None	None	-1341000000	None	535000000	None	2013000000
2019-12-31	USD	3892000000	669000000	None	-185000000	-46000000	1139000000	2019000000	-87000000	-37000000	2722000000	-1764000000	-1994000000	None	2099000000	2099000000	None	949000000	949000000	None	None	None	None	-2046000000	None	134000000	None	2722000000
2018-12-31	USD	3726000000	496000000	None	223000000	101000000	1104000000	1951000000	70000000	15000000	2666000000	-1658000000	-2312000000	None	2781000000	2781000000	None	844000000	844000000	None	None	None	None	-2723000000	None	-244000000	None	2666000000
2017-12-31	USD	3253000000	528000000	None	135000000	110000000	1059000000	1723000000	41000000	35000000	5404000000	-1481000000	-2038000000	None	1012000000	1012000000	None	703000000	703000000	None	None	None	None	-908000000	None	-266000000	None	5404000000
2016-12-31	USD	3034000000	543000000	None	158000000	-127000000	1030000000	1887000000	-23000000	42000000	1668000000	-1832000000	-1347000000	None	803000000	803000000	None	695000000	695000000	None	None	None	None	-803000000	None	-145000000	None	1668000000
2015-12-31	USD	5465000000	518000000	None	-183000000	-267000000	1059000000	2385000000	-109000000	-35000000	1556000000	-2087000000	-662000000	0	1075000000	1075000000	None	713000000	713000000	None	None	None	None	-1075000000	None	128000000	None	1556000000
2014-12-31	USD	2852000000	522000000	None	53000000	304000000	956000000	2118000000	31000000	-13000000	2000000000	-2002000000	-1320000000	0	318000000	318000000	None	687000000	687000000	None	None	None	None	-318000000	None	-470000000	None	2000000000
2013-12-31	USD	3078000000	492000000	None	5000000	-73000000	922000000	1971000000	-85000000	-7000000	1910000000	-1894000000	-394000000	-100000000	627000000	627000000	None	637000000	637000000	None	None	None	None	-627000000	None	790000000	None	1910000000
2012-12-31	USD	3065000000	473000000	None	82000000	77000000	922000000	2241000000	64000000	-7000000	1749000000	-1994000000	-694000000	100000000	1288000000	1288000000	None	624000000	624000000	None	None	None	None	-1288000000	None	377000000	None	1749000000
2011-12-31	USD	3227000000	435000000	None	68000000	241000000	869000000	2160000000	215000000	-40000000	1916000000	-1772000000	-2006000000	-100000000	2051000000	2051000000	None	576000000	576000000	None	None	None	None	-2051000000	None	-551000000	None	1916000000
2010-12-31	USD	2714000000	453000000	None	126000000	42000000	826000000	1470000000	41000000	-5000000	1496000000	-1456000000	-1427000000	None	863000000	863000000	None	514000000	514000000	None	None	350000000	None	-774000000	None	-169000000	None	1496000000
2009-12-31	USD	1860000000	458000000	None	-365000000	135000000	845000000	1299000000	63000000	30000000	1034000000	-1451000000	-31000000	None	0	0	None	500000000	500000000	None	None	1090000000	None	66000000	None	378000000	None	1034000000
