fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-12-31	USD	7379000000	11434000000	4055000000	1170000000	2851000000	66000000	None	849000000	None	-722000000	None	722000000	12156000000	191000000	1298000000	1298000000	2320000000	493000000	722000000	1827000000	1858000000	3042000000	2851000000	1827000000
2022-12-31	USD	7920000000	12053000000	4133000000	1459000000	4809000000	53000000	None	684000000	None	-692000000	692000000	692000000	12745000000	13000000	1221000000	1234000000	4130000000	860000000	692000000	3270000000	3321000000	4822000000	6043000000	3270000000
2021-12-31	USD	7201000000	10496000000	3295000000	799000000	4447000000	54000000	None	515000000	None	-646000000	646000000	646000000	11142000000	77000000	1181000000	1258000000	3878000000	873000000	646000000	3005000000	3197000000	4524000000	5705000000	3005000000
2020-12-31	USD	6129000000	9164000000	3035000000	535000000	3002000000	28000000	None	741000000	None	-625000000	625000000	625000000	9789000000	153000000	1154000000	1692000000	2530000000	517000000	625000000	2013000000	1910000000	3155000000	4694000000	2013000000
2019-12-31	USD	6886000000	10692000000	3806000000	953000000	3989000000	53000000	None	800000000	None	-604000000	604000000	604000000	11296000000	106000000	1138000000	1245000000	3491000000	769000000	604000000	2722000000	2794000000	4095000000	5234000000	2722000000
2018-12-31	USD	6638000000	10901000000	4263000000	1087000000	3959000000	251000000	None	7499000000	None	-557000000	557000000	557000000	11458000000	67000000	1102000000	1104000000	3469000000	803000000	557000000	2666000000	2547000000	4026000000	5130000000	2666000000
2017-12-31	USD	5561000000	10551000000	4990000000	1895000000	3522000000	3095000000	None	7029000000	13000000	-550000000	13000000	550000000	13000000	156000000	1055000000	1059000000	3128000000	-2276000000	550000000	5404000000	5535000000	3678000000	4737000000	5404000000
2016-12-31	USD	5188000000	9888000000	4700000000	1724000000	3009000000	2945000000	None	6879000000	10000000	-563000000	10000000	563000000	9000000	136000000	1026000000	1030000000	2582000000	914000000	563000000	1668000000	1626000000	3009000000	4175000000	1668000000
2015-12-31	USD	5407000000	10511000000	5104000000	1988000000	2884000000	3116000000	None	7627000000	8000000	-545000000	541000000	545000000	55000000	103000000	1059000000	1059000000	2442000000	886000000	545000000	1556000000	1509000000	2884000000	4046000000	1556000000
2014-12-31	USD	5992000000	11624000000	5632000000	2525000000	3575000000	3107000000	None	8049000000	9000000	-545000000	None	545000000	13000000	104000000	956000000	956000000	3134000000	1134000000	545000000	2000000000	3983000000	3575000000	4635000000	2000000000
2013-12-31	USD	5501000000	11245000000	5744000000	2529000000	3257000000	3215000000	None	7988000000	8000000	-525000000	None	525000000	101000000	233000000	922000000	922000000	2965000000	1055000000	525000000	1910000000	4548000000	3257000000	4412000000	1910000000
2012-12-31	USD	5385000000	11040000000	5655000000	2493000000	3124000000	3162000000	None	7916000000	8000000	-495000000	None	495000000	5000000	129000000	922000000	922000000	2758000000	1009000000	495000000	2406000000	3415000000	3124000000	4175000000	1749000000
2011-12-31	USD	5520000000	11172000000	5652000000	2451000000	3213000000	3201000000	None	7959000000	9000000	-455000000	None	455000000	32000000	160000000	869000000	869000000	2918000000	1002000000	455000000	2541000000	2118000000	3213000000	4082000000	1916000000
2010-12-31	USD	4672000000	9516000000	4844000000	1898000000	2676000000	2946000000	None	6840000000	12000000	-462000000	None	462000000	41000000	153000000	826000000	826000000	2367000000	871000000	462000000	2090000000	3040000000	2676000000	3502000000	1496000000
2009-12-31	USD	4006000000	7969000000	3963000000	1562000000	1962000000	2401000000	None	6007000000	13000000	-467000000	None	467000000	18000000	127000000	845000000	845000000	1622000000	588000000	467000000	1501000000	2157000000	1962000000	2807000000	1034000000
