fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2022-12-31	USD	24379000000	2548000000	220000000	220227000	432000000	1532000000	21854219000	19952000000	5063000000	753000000	225000000	528000000	801794000	801794000	227000	172000000	324000000	17885000000	3051000000	1359000000	104800000	925000000	0	14833582000	80399000	13600000000	925000000	12696000000	13600000000	132000000	331000000	6494000000	706000000	50000000	5000000	447157771
2021-12-31	USD	23621613000	2374374000	146391000	146391000	427880000	1441786000	21283339000	19319874000	4500665000	763295000	235703000	527592000	797613000	797613000	None	165689000	366457000	17606613000	3184619000	1332391000	103000000	895814000	0	14421831000	89419000	13600000000	895814000	12747636000	13600000000	397975000	431869000	6015000000	732096000	0	4749000	446138177
2020-12-31	USD	23078754000	1869775000	524496000	524496000	227810000	829796000	21208979000	19154928000	3918007000	773723000	246131000	527592000	805032000	805032000	805032000	132536000	475296000	17036356000	1344547000	719302000	82800000	21260000	0	15779419000	101220000	14200000000	7650000	14228421000	14200000000	83032000	706081000	6042398000	764298000	0	4749000	444872383
2019-12-31	USD	21812121000	1470334000	20958000	20958000	304926000	835121000	20345487000	18348685000	3702807000	957833000	276837000	680996000	861844000	861844000	None	82313000	173425000	15586170000	2020298000	1209900000	114200000	229599000	220000000	13590168000	24296000	12500000000	7650000	12479757000	12720000000	210213000	536543000	6225951000	808394000	0	4450000	413239050
2018-12-31	USD	18231671000	1398632000	11975000	11975000	296667000	818958000	16833039000	14766651000	3264312000	967142000	286042000	681100000	969150000	969150000	None	100808000	130096000	11652128000	2108436000	1116337000	63400000	507650000	0	9543692000	26244000	9400000000	507650000	8873334000	9400000000	211110000	424383000	6579543000	851806000	0	4450000	411532606
2017-12-31	USD	16845937000	1764458000	37193000	37193000	342293000	1202951000	14875572000	12698126000	2861541000	993460000	312360000	681100000	1003156000	1003156000	None	53008000	180830000	11318070000	2667335000	1140571000	None	1047323000	614673000	8493250000	None	8500000000	432650000	8091629000	9114673000	179971000	348924000	5527867000	876713000	0	4232000	388703543
2016-12-31	USD	16138751000	1429684000	248875000	248875000	140034000	872430000	14709067000	12571403000	2507094000	1005359000	479824000	525535000	958807000	958807000	None	45986000	162998000	15950006000	2836701000	874731000	None	1520927000	1110277000	9873135000	None	8300000000	410650000	7919996000	9410277000	166042000	321846000	188745000	893677000	0	2458000	210681661
2015-12-31	USD	15446111000	975210000	97619000	97619000	128084000	593979000	14470901000	12373989000	2156471000	1017258000	491723000	525535000	948221000	948221000	None	39946000	112598000	15110313000	1638266000	615982000	None	656990000	546340000	10041509000	None	8400000000	110650000	8323582000	8946340000	132556000	264248000	335798000	917862000	0	2458000	209731028
2014-12-31	USD	15261773000	1307244000	172812000	172812000	134134000	745494000	13997316000	11662437000	1940210000	1014740000	489205000	525535000	1132653000	1132653000	None	117466000	124679000	14669658000	2392345000	891413000	None	1065946000	1055296000	8906332000	None	7200000000	10650000	7150142000	8255296000	180558000	281757000	592115000	953701000	138128000	2458000	208322247
2013-12-31	USD	17692165000	2404724000	145565000	149313000	188286000	1109510000	18376008000	9231954000	1738302000	1024562000	499027000	525535000	1235638000	1229838000	3748000	133010000	224353000	15403630000	2730330000	1273102000	None	575118000	564462000	10165971000	None	7800000000	10650000	7753657000	8364462000	212851000	217522000	2337851000	997035000	2020815000	2458000	206618877
