fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2022-12-31	USD	2905955000	None	None	-26106000	149423000	626132000	1202057000	87274000	62149000	1722221000	-1139236000	-1692883000	0	None	None	None	1671582000	1671582000	None	32442000	869393000	None	0	None	None	None	1722221000
2021-12-31	USD	2546272000	24554000	None	622425000	715569000	621701000	696854000	610531000	105038000	1499706000	-665292000	-2259085000	0	None	None	None	1667431000	1667431000	None	32791000	0	None	32791000	None	-378105000	None	1499706000
2020-12-31	USD	1899068000	13587000	None	-25854000	-75819000	578662000	2195381000	1297000	-172316000	612809000	-2270529000	874999000	-220000000	None	None	None	1605366000	1605366000	None	969759000	3244777000	None	969759000	None	503538000	None	612809000
2019-12-31	USD	1946779000	8903000	None	-33573000	27947000	476535000	3848349000	19688000	10193000	1278577000	-3768758000	1830962000	220000000	None	None	None	1457628000	1457628000	None	29040000	4185435000	None	29040000	None	8983000	None	1278577000
2018-12-31	USD	2186719000	420469000	None	-294064000	-422449000	428557000	2141475000	-383993000	-38456000	1155032000	-2114888000	-97049000	-614673000	None	None	None	1335058000	1335058000	None	1203981000	1795773000	None	1200000000	None	-25218000	None	1151703000
2017-12-31	USD	1315412000	512243000	None	284100000	532780000	406335000	512393000	330521000	202259000	593519000	-567633000	-959461000	-495604000	None	None	None	829414000	829414000	None	471358000	1190496000	None	471358000	None	-211682000	None	387841000
2016-12-31	USD	1353220000	534969000	None	271103000	297756000	391585000	624634000	285806000	11950000	743499000	-615445000	-586519000	563937000	None	None	None	517601000	517601000	None	21971000	1000000000	None	21971000	None	151256000	None	352039000
2015-12-31	USD	1022828000	446259000	None	-180977000	-163101000	354620000	1188312000	-157051000	-6050000	379195000	-1190719000	92741000	-508956000	None	None	None	509197000	509197000	None	20669000	1291506000	None	396329000	None	-75150000	None	244977000
2014-12-31	USD	1285610000	382563000	None	-417993000	-601912000	294684000	1779150000	-381513000	-160860000	663108000	-2566223000	1304499000	490834000	0	0	None	443817000	443817000	None	19150000	0	None	1132289000	None	23886000	None	314107000
2013-12-31	USD	1294767000	313500000	None	165076000	-64800000	239343000	2256585000	189809000	-99937000	576961000	-2642031000	912959000	-252708000	0	0	None	304742000	304742000	None	20602000	1247822000	None	604531000	None	-434305000	None	266533000
2012-12-31	USD	983995000	440270000	None	-88054000	-18569000	205334000	1866153000	14774000	-33343000	743530000	-1814199000	1339010000	-24812000	150000000	150000000	None	261969000	261969000	None	15969000	1994693000	None	1245556000	None	508806000	None	360619000
2011-12-31	USD	1356166000	209466000	None	72758000	-9984000	312160000	1430267000	-55861000	65845000	759744000	-1371626000	59238000	285127000	300108000	300108000	None	227020000	227020000	None	17906000	1295450000	None	-282202000	None	43778000	None	360594000
2010-12-31	USD	834042000	315195000	None	-112602000	-72253000	307224000	582748000	-92469000	164722000	541330000	-134356000	-698051000	-325015000	7000	7000	None	193542000	193542000	None	20912000	0	None	343606000	None	1635000	None	334632000
2009-12-31	USD	1452694000	345069000	None	103201000	108492000	288923000	791245000	181426000	-266674000	491204000	-787794000	-1145559000	-1388130000	254000	254000	None	172774000	172774000	None	17317000	498325000	None	258705000	None	-480659000	None	305451000
