fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2022-12-31	USD	4477026000	22386892000	17909866000	1149704000	2807419000	244258000	None	1212904000	None	-675946000	528226000	675946000	None	-32099000	None	10400000	2249645000	527424000	675946000	1722221000	2085316000	2807419000	2935991000	1722221000
2021-12-31	USD	4283654000	16540309000	12256655000	1067088000	2596259000	220768000	None	1130194000	None	-732924000	610404000	732924000	1394000	-3333000	None	10400000	1984204000	484498000	732924000	1499706000	1579804000	2596259000	2727528000	1499706000
2020-12-31	USD	3432096000	8542242000	5110146000	886204000	1361357000	154428000	None	1570007000	None	-712886000	569645000	712886000	23627000	24672000	None	10800000	802316000	189507000	690586000	612809000	435360000	1515202000	1526002000	612809000
2019-12-31	USD	3376327000	10164367000	6788040000	982864000	1914353000	165656000	None	1043839000	None	-491773000	337232000	491773000	-2575000	9055000	None	11900000	1650991000	372414000	491773000	1278577000	1092816000	2142764000	2154664000	1278577000
2018-12-31	USD	3170488000	12593196000	9422708000	907068000	1835464000	129522000	None	943967000	None	-469620000	311237000	469620000	601000	-14254000	None	11900000	1514606000	362903000	469620000	1150603000	1190095000	1984226000	1996126000	1151703000
2017-12-31	USD	2635862000	12173907000	9538045000	833586000	1391771000	114996000	None	911402000	None	-485658000	326380000	485658000	924000	-9551000	None	11900000	835123000	447282000	485658000	387074000	393949000	1320781000	1332681000	387841000
2016-12-31	USD	2424810000	8920934000	6496124000	757184000	1295778000	119549000	None	122314000	None	-469651000	329961000	469651000	9635000	2032000	None	11900000	564445000	212406000	469651000	354090000	324931000	1034096000	1045996000	352039000
2015-12-31	USD	2122154000	7763206000	5641052000	693331000	996159000	87583000	None	359110000	None	-416787000	291487000	416787000	5629000	-4392000	None	11900000	381577000	136600000	416787000	251058000	254088000	798364000	810264000	244977000
2014-12-31	USD	2106543000	12195091000	10088548000	674887000	1143571000	75744000	None	969571000	None	-356163000	None	356163000	6599000	-23475000	None	11800000	465265000	151158000	356163000	319714000	296352000	821428000	833228000	314107000
2013-12-31	USD	1649666000	11871879000	10222213000	990453000	880618000	118328000	None	780929000	None	-334206000	-63560000	270646000	11881000	6776000	None	8700000	432613000	166080000	334206000	278662000	361344000	703259000	711959000	266533000
2012-12-31	USD	1643802000	10184121000	8540319000	908978000	953479000	102891000	None	697059000	None	-302305000	-64667000	237638000	-6736000	7579000	None	7700000	541377000	180758000	302305000	294837000	349942000	779015000	786715000	360619000
2011-12-31	USD	2380359000	14805794000	12425435000	999423000	1158913000	94657000	None	1220483000	None	-297006000	None	297006000	963000	-7926000	None	7700000	586642000	226048000	297006000	358364000	263275000	883648000	891348000	360594000
2010-12-31	USD	2062170000	12678791000	10616621000	889613000	942652000	748612000	None	1138137000	None	-292239000	-7000	292232000	-18619000	488000	None	7700000	548352000	213720000	292239000	333360000	344443000	840584000	848284000	334632000
2009-12-31	USD	1997951000	10805753000	8807802000	830960000	882874000	736125000	None	1119883000	None	-300822000	-2000	300820000	-4806000	5117000	None	7700000	508459000	203008000	300822000	297904000	257454000	809279000	816979000	305451000
