fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-06-30	USD	29964472000	6834229000	475182000	483572000	2907879000	174879000	24632904000	2865030000	4000515000	19079208000	8450614000	10628594000	318578000	297000000	8390000	306314000	None	19626193000	7735370000	2050934000	646076000	1974371000	1800000000	12257396000	100889000	10770655000	3763175000	8796284000	12570655000	1921261000	893355000	10326888000	5817787000	17041502000	90523000	128440004
2022-06-30	USD	25943943000	12046644000	535799000	563661000	2214553000	180199000	13557448000	2122758000	3775197000	10875899000	3135817000	7740082000	356771000	314000000	27862000	6926926000	None	17084023000	5859318000	1731925000	125394000	302280000	1422000000	11327267000	8575000	10058105000	1724310000	9755825000	11480105000	2292498000	521897000	8848011000	5688429000	15661808000	90523000	128510428
2021-06-30	USD	20341200000	5616750000	733117000	772233000	2090642000	169796000	14376192000	2266476000	3773744000	11579484000	3519797000	8059687000	297703000	292217000	39116000	243966000	None	11927530000	3096503000	1667878000	108582000	2819000	0	8928011000	None	6584872000	2824000	6582053000	6584872000	1425801000	639355000	8398307000	5370605000	14915497000	90523000	129192428
2020-06-30	USD	19887753000	5034768000	685514000	756319000	1964195000	135856000	14546495000	2292735000	3517946000	11668848000	3798913000	7869935000	333437000	317975000	70805000	214986000	None	13645983000	3148373000	1111759000	109020000	86029000	723500000	10560965000	None	7738285000	809529000	7652256000	8461785000	1227085000	539089000	6227224000	5364916000	13643907000	90523000	128523333
2019-06-30	USD	17732028000	7673086000	3219767000	3370698000	1678132000	154115000	9473860000	1768287000	3418443000	7237082000	1783277000	5453805000	316728000	316728000	150931000	182494000	None	11608538000	3151773000	1413155000	130178000	228000	586000000	8457186000	None	6521059000	587014000	6520831000	7107059000	1151604000	438489000	5961969000	5309130000	12777538000	90523000	128561495
2018-06-30	USD	15320087000	5085238000	822137000	855132000	1621304000	169473000	9738189000	1856237000	3359016000	7519940000	2015520000	5504420000	304389000	304389000	32995000	134886000	None	9454594000	3197483000	1430306000	None	100411000	533800000	6257111000	None	4418970000	638466000	4318559000	4952770000	1128711000	1703694000	5859866000	4590138000	11625975000	90523000	132696489
2017-06-30	USD	15489904000	4779718000	884886000	924204000	1549494000	122300000	10209580000	1937292000	3249456000	7894362000	2307484000	5586878000	342562000	341869000	39318000	120282000	None	10222558000	3395860000	1300496000	None	474265000	534200000	6826698000	None	5336160000	1008465000	4861895000	5917543000	1086899000	336931000	5261649000	4378897000	10930348000	90523000	133278322
2016-06-30	USD	12034142000	5207787000	1221653000	2103995000	1173329000	121773000	6354739000	1568100000	3169041000	3825608000	922571000	2903037000	385866000	355876000	882342000	104360000	None	7455464000	2365888000	1034589000	None	58087000	303700000	5112119000	None	2733140000	361787000	2652457000	3036840000	969512000	306581000	4575255000	4218820000	10302866000	90523000	134385815
2015-06-30	USD	12254279000	5440945000	1180584000	1914074000	1300459000	151222000	5936129000	1664022000	3198589000	3956118000	1013439000	2942679000	329544000	315989000	733490000	383831000	None	7171713000	2349120000	1092138000	None	223142000	0	4837338000	None	2947102000	223142000	2723960000	2947102000	1034850000	336214000	5104287000	3712232000	9841885000	90523000	138674444
2014-06-30	USD	13259815000	6071580000	1613555000	2187256000	1371681000	200225000	6184001000	1824294000	3328297000	4359707000	1188282000	3171425000	324610000	324610000	573701000	266030000	None	6611554000	3252796000	1252040000	None	496000	816100000	3358758000	None	1508420000	816622000	1508142000	2324520000	1184134000	409573000	6659428000	2377284000	9174189000	90523000	148967358
