fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-06-30	USD	2979930000	960241000	None	212244000	-1300753000	818129000	380747000	16675000	-53124000	2083536000	-8176812000	-971036000	None	297323000	297323000	None	704054000	704054000	None	None	2023400000	None	-293847000	None	-6167918000	None	2082936000
2022-06-30	USD	2441730000	855907000	None	1108191000	618068000	571764000	230044000	179126000	212134000	1316186000	-418837000	3915636000	None	460056000	460056000	None	569855000	569855000	None	None	3598056000	None	-457225000	None	5938529000	None	1315605000
2021-06-30	USD	2575001000	769944000	None	711204000	260677000	595390000	209957000	298511000	85597000	1746861000	-13000	-2623339000	None	218818000	218818000	None	475174000	475174000	None	None	1213000	None	-214134000	None	-48351000	None	1746100000
2020-06-30	USD	2070949000	664720000	None	-548955000	-960243000	537531000	232591000	-578853000	-206937000	1202332000	-5023993000	449310000	136744000	216049000	216049000	None	453838000	453838000	None	None	1721211000	None	-213426000	None	-2503734000	None	1201970000
2019-06-30	USD	1730140000	624077000	None	-114851000	214654000	436189000	195089000	-2452000	67867000	1525083000	-218510000	902306000	48828000	860052000	860052000	None	412468000	412468000	None	None	2336749000	None	-857577000	None	2413936000	None	1524516000
2018-06-30	USD	1596700000	609625000	None	344170000	432184000	466085000	247667000	301978000	92209000	1061315000	23677000	-1681972000	4115000	381041000	381041000	None	365288000	365288000	None	None	1189000	None	-377359000	None	-62749000	-1154000	1060801000
2017-06-30	USD	1300563000	400064000	None	153161000	-565996000	355229000	203748000	95347000	73673000	983844000	-3363240000	1782628000	230499000	338078000	338078000	None	345380000	345380000	None	None	2614463000	None	-335876000	None	-336767000	-56718000	983412000
2016-06-30	USD	1210778000	384154000	None	-184595000	-61078000	306843000	149407000	-17549000	-120243000	807216000	-264639000	-843358000	None	587365000	557575000	None	341962000	341962000	None	None	2287000	None	-557449000	None	41069000	-61712000	806840000
2015-06-30	USD	1363233000	620552000	None	-211703000	60216000	317491000	215527000	-143179000	70377000	1012553000	-579163000	-1106036000	None	1436309000	1398446000	None	340389000	340389000	None	None	1483015000	None	-1395091000	None	-432971000	-111005000	1012140000
2014-06-30	USD	1387893000	549513000	None	220530000	154797000	336702000	216340000	99144000	3816000	1041418000	-646401000	-958115000	None	204043000	204043000	None	278244000	278244000	None	None	748000	None	-196030000	None	-167857000	48766000	1041048000
2013-06-30	USD	1190935000	400072000	None	-181870000	-288299000	335624000	265896000	21206000	-98518000	948784000	-809845000	576174000	None	258007000	258007000	None	255009000	255009000	None	None	3768000	None	-225803000	None	943095000	-14169000	948427000
2012-06-30	USD	1530385000	586055000	None	55714000	512627000	321929000	218817000	91091000	28333000	1155492000	-375768000	-823520000	None	456969000	456969000	None	240654000	240654000	None	None	73556000	None	-446370000	None	180851000	-150246000	1151823000
2011-06-30	USD	1166933000	302766000	None	386010000	277669000	339800000	207294000	259752000	139062000	1057150000	-244938000	-915778000	None	693096000	693096000	None	206084000	206084000	None	None	291683000	None	-667234000	None	81940000	75723000	1049130000
2010-06-30	USD	1218822000	232132000	None	353694000	203032000	362509000	129222000	220349000	-53862000	556365000	-146173000	-649996000	None	24999000	24999000	None	162739000	162739000	None	None	3293000	None	-14692000	None	387915000	-34738000	554065000
