fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2022-12-31	USD	8003800000	2508300000	320000000	405200000	977300000	1067500000	5495500000	3900000000	4612400000	1190300000	267900000	922400000	150100000	64900000	85200000	58300000	42000000	4336700000	875500000	410400000	None	1900000	74100000	3461200000	10800000	2491500000	0	2473600000	2491500000	391000000	57400000	3667100000	None	3186800000	900000	90500000
2021-12-31	USD	7836800000	2732700000	618700000	704800000	902500000	1078400000	5104100000	3529000000	4342500000	1231900000	308400000	923500000	146100000	60000000	86100000	47000000	44900000	4229600000	884800000	452400000	None	1700000	68800000	3344800000	12700000	2491000000	None	2471500000	2491000000	363600000	58000000	3607200000	None	3102100000	900000	93800000
2020-12-31	USD	7433200000	2750300000	974600000	1080200000	787900000	837500000	4682900000	3193400000	4120100000	1159400000	295900000	863500000	148300000	42700000	105600000	44700000	53200000	4186900000	782600000	387000000	None	1600000	70500000	3404300000	14400000	2493700000	0	2479400000	2493700000	325100000	59200000	3246300000	None	2835500000	900000	94400000
2019-12-31	USD	7235800000	2478400000	679500000	767400000	794100000	872100000	4757400000	3151700000	3846100000	1257500000	338800000	918700000	146000000	58100000	87900000	44800000	55800000	4164800000	723800000	351900000	None	64100000	64100000	3441000000	16000000	2493100000	0	2476800000	2493100000	307800000	55000000	3071000000	None	2704800000	900000	93800000
2018-12-31	USD	6569700000	2115100000	361500000	361500000	795600000	918600000	4454600000	3108600000	3582500000	1295500000	378200000	917300000	0	None	None	39400000	50500000	3897300000	693600000	382200000	None	1400000	1400000	3203700000	17600000	2496300000	0	2483700000	2496300000	296600000	59700000	2672400000	None	2315800000	900000	93700000
2017-12-31	USD	6197500000	1915100000	216900000	216900000	762500000	900200000	4282400000	2924900000	3386300000	1293200000	410000000	883200000	None	None	None	35500000	64300000	4014900000	832700000	402900000	None	151300000	151300000	3182200000	19000000	2645700000	150000000	2480400000	2645700000	278500000	70800000	2182600000	None	1867400000	900000	93500000
2016-12-31	USD	5777000000	1696300000	239300000	239300000	723600000	703100000	4080700000	2895700000	3114600000	1105000000	367100000	737900000	None	None	None	30300000	80000000	4017200000	625400000	323800000	None	27100000	27100000	3391800000	20300000	2658200000	25800000	2620000000	2658200000	274500000	59600000	1759800000	None	1447100000	900000	93200000
2015-12-31	USD	5272300000	1554500000	184200000	184200000	676800000	664700000	3730100000	2832100000	2882700000	814800000	270800000	544000000	None	None	None	28800000	70900000	3639000000	561900000	294200000	None	7700000	7700000	3077100000	21600000	2309200000	6500000	2290400000	2309200000	260000000	59500000	1633300000	0	1317300000	1000000	96000000
2014-12-31	USD	5258700000	1502900000	124900000	124900000	664900000	651200000	3769900000	2857600000	2657800000	840300000	293500000	546800000	None	None	None	61900000	72000000	3751400000	611000000	330500000	None	7600000	7600000	3140400000	22800000	2355400000	6500000	2348900000	2355400000	272900000	72800000	1521400000	None	1242200000	1000000	97138000
2013-12-31	USD	5196200000	1531000000	191000000	190960000	594300000	643083000	3712770000	2805700000	2427000000	837328000	310539000	546800000	None	None	None	32101000	69700000	3887000000	660600000	357500000	None	40030000	40030000	3226400000	23874000	2547800000	39000000	2508800000	2547845000	263077000	65400000	1356800000	None	1019100000	1000000	96708000
2012-12-31	USD	2494900000	937033000	207400000	207393000	268767000	352142000	1516735000	1366069000	2274723000	105443000	38283000	67200000	None	None	None	20915000	45223000	1445468000	259846000	117510000	None	15964000	15964000	1224461000	24904000	793630000	15000000	778630000	793630000	126372000	29229000	1008300000	None	703728000	981000	96312000
2011-12-31	USD	2412500000	812063000	156300000	156313000	254675000	319988000	1600436000	1476654000	2141906000	83256000	25042000	58214000	None	None	13000	81087000	40526000	1441199000	376500000	154855000	None	15718000	15718000	1107089000	21114000	808448000	15000000	793448000	808448000	205927000	29866000	971300000	59000	673960000	983000	97289000
2010-12-31	USD	2225910000	799677000	196556000	196556000	241142000	293159000	1426233000	1337986000	2101535000	38854000	10975000	38854000	12000	None	None	67184000	38418000	1216909000	404610000	155163000	None	670000	109670000	812299000	21832000	658099000	109000000	549099000	658099000	141758000	32213000	1009001000	None	690111000	1023000	100976000
2009-12-31	USD	2152840000	885214000	260727000	260727000	213396000	None	1267626000	1182504000	None	11790000	11790000	38854000	None	None	None	35170000	34478000	1253995000	370957000	126813000	None	None	109626000	883038000	None	571252000	None	548749000	680878000	134518000	27700000	898845000	0	546355000	1030000	102358000
