fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2022-12-31	USD	1495000000	352800000	None	-9800000	75300000	456800000	830400000	-10900000	75200000	1029800000	-833700000	-960000000	None	522600000	522600000	None	420300000	420300000	None	None	0	None	-522600000	None	-298700000	None	1029800000
2021-12-31	USD	1094100000	283800000	None	50100000	337500000	417500000	606900000	229300000	105500000	841100000	-794400000	-655600000	None	193000000	0	None	379800000	379800000	None	None	690200000	None	0	None	-355900000	None	841100000
2020-12-31	USD	1032800000	186100000	None	36500000	-41300000	410000000	427600000	-34600000	-6300000	461000000	-426100000	-311600000	None	0	0	None	299600000	299600000	None	None	0	None	-10500000	None	295100000	None	461000000
2019-12-31	USD	1207400000	237700000	None	-32500000	-41800000	387500000	403300000	-47300000	-1400000	696400000	-546600000	-342800000	None	0	0	None	298700000	298700000	None	None	0	None	-8200000	None	318000000	None	696400000
2018-12-31	USD	1180100000	148700000	None	-12100000	40800000	410900000	555900000	3100000	35600000	738000000	-608200000	-427300000	None	None	None	None	268100000	268100000	None	None	None	None	-7900000	None	144600000	None	738000000
2017-12-31	USD	856100000	397300000	None	49400000	195500000	391400000	350800000	169300000	21000000	668600000	-609100000	-269400000	None	None	None	None	237600000	237600000	None	None	0	None	-10800000	None	-22400000	None	668600000
2016-12-31	USD	806900000	312600000	None	13400000	14200000	358000000	284700000	-11500000	25700000	449600000	-769600000	17800000	None	100300000	100300000	None	216100000	216100000	None	None	385000000	None	-100300000	None	55100000	None	449600000
2015-12-31	USD	768600000	325400000	None	-52800000	17000000	356500000	326800000	9200000	11900000	436800000	-298100000	-411200000	None	154700000	154700000	None	200800000	200800000	None	None	0	None	-154700000	None	59300000	None	436800000
2014-12-31	USD	736100000	266600000	None	-29000000	68000000	381000000	432700000	-9500000	72400000	392600000	-451100000	-351100000	None	0	0	None	157400000	157400000	None	None	398900000	None	3700000	None	-66100000	None	392600000
2013-12-31	USD	608200000	90700000	None	-585000	-199000	201800000	237556000	31191000	-25000000	436283000	-1411400000	786800000	None	7800000	7799000	None	109145000	109100000	None	None	1998145000	None	-4951000	None	-16400000	None	441300000
2012-12-31	USD	404200000	9700000	None	-42756000	38042000	170800000	129594000	24995000	6400000	163820000	-107500000	-245600000	None	45200000	45162000	None	117851000	117800000	None	None	397044000	None	-25264000	None	51100000	None	160200000
2011-12-31	USD	345514000	52700000	5500000	5358000	25895000	163600000	293268000	16946000	8333000	158027000	-350165000	-35592000	None	125027000	125027000	None	76012000	76012000	None	None	150000000	None	-118011000	None	-40243000	None	158027000
2010-12-31	USD	349920000	19100000	None	36621000	82564000	156298000	322827000	50256000	28352000	237713000	-321314000	-92777000	None	38901000	38901000	None	61798000	61798000	None	None	None	None	-31405000	None	-64171000	None	205435000
