fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-12-31	USD	19391900000	6869900000	1095300000	1095300000	2152100000	2956800000	13035100000	1772200000	2048700000	9535100000	3439800000	6095300000	4100000	None	None	665700000	1214700000	12374900000	6053500000	2025200000	0	801900000	801900000	5617700000	None	4779800000	801900000	3977900000	4779800000	1979000000	1042900000	6995200000	1719400000	9133700000	251700000	251700000
2022-12-31	USD	18081600000	6379200000	1220500000	1220500000	1993800000	2780100000	12164900000	1536100000	1912500000	8767700000	3264000000	5503700000	5100000	None	None	384800000	1398600000	11976400000	5686800000	2091600000	0	1048000000	1048000000	5609500000	None	4836300000	1048000000	3788300000	4836300000	2547200000	1154200000	6088600000	1719400000	8320900000	253300000	230200000
2021-12-31	USD	18059800000	6470900000	2159200000	2159200000	1530800000	2429400000	11588900000	1398800000	1817300000	8810400000	3305600000	5504800000	15500000	None	None	351500000	1379700000	11786700000	4752400000	1787300000	0	350400000	350400000	6452800000	None	4842100000	350400000	4491700000	4842100000	2344700000	1150200000	6255900000	1719400000	8353200000	259700000	237200000
2020-12-31	USD	18156700000	6905600000	3289900000	3289900000	1189200000	2202100000	11251100000	1349500000	1755200000	8629200000	3286400000	5342800000	None	None	None	224400000	1272400000	11729600000	4338900000	1520200000	1077000000	775600000	775600000	6812200000	None	5272100000	775600000	4496500000	5272100000	2043100000	1291100000	6407700000	1719400000	8495300000	263300000	240400000
2019-12-31	USD	20492300000	9293800000	1278600000	1303600000	1278600000	2184600000	14835100000	1352000000	1603500000	10931900000	3323600000	5125700000	None	None	25000000	344800000	1397200000	13179900000	5238600000	1381300000	1042900000	650300000	478300000	8712400000	None	5573400000	172000000	4922900000	6051700000	2402200000	1398200000	7267600000	1719400000	9730800000	262800000	240100000
2018-12-31	USD	17914900000	5732000000	878400000	903400000	1677800000	2679200000	12182900000	1730800000	2104400000	9594200000	3634700000	5099200000	None	None	25000000	471600000	857900000	10850100000	4315700000	1705300000	846200000	350600000	0	6534400000	None	4091300000	350600000	3740700000	4091300000	2259800000	1062400000	7022700000	1719400000	9439800000	266400000	244500000
2017-12-31	USD	18173300000	6119100000	1524400000	1549400000	1555400000	2477400000	12054200000	1551300000	2113000000	9678600000	3742900000	5935700000	None	None	25000000	536900000	824300000	10966400000	4828000000	1556100000	None	1107000000	0	6138400000	None	4057300000	1107000000	2957000000	4057300000	2164900000	1138600000	7140300000	1719400000	8903200000	274000000	250400000
2016-12-31	USD	17397400000	5579300000	1714700000	1714700000	1385800000	2223000000	11818100000	1511000000	1856700000	9443500000	3785100000	5658400000	None	None	None	255800000	863600000	10679100000	3590300000	1334000000	None	360800000	0	7088800000	None	4060100000	360800000	3709400000	4060100000	1895500000	1138000000	6643800000	702700000	8018800000	271700000	259800000
2015-12-31	USD	16717600000	4609400000	736800000	736800000	1410700000	2150600000	12129400000	1575100000	1658700000	9656300000	3926100000	5730200000	None	None	None	311300000	876800000	10838400000	3648400000	1249300000	None	504200000	143000000	7211200000	None	4085600000	361200000	3713600000	4228600000	1894900000	1170400000	5816700000	452600000	6897900000	269000000	263000000
2014-12-31	USD	17298500000	5707900000	1705200000	1705200000	1358900000	2119000000	11590600000	1477000000	1527200000	9173700000	3783900000	5389800000	None	None	None	225000000	939900000	11253100000	3666100000	1290000000	None	482700000	100000000	7587000000	None	4108300000	382700000	3741700000	4208300000	1893400000	1233000000	5987400000	202500000	6540800000	266300000	265400000
