fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-12-31	USD	14279500000	17423000000	3143500000	11820400000	2894000000	2963200000	252300000	3385800000	None	-234500000	15400000	234500000	17657500000	-67500000	178300000	165200000	2522300000	498400000	234500000	2051100000	2119300000	2756800000	2922000000	2023900000
2022-12-31	USD	13056000000	15750300000	2694300000	11026900000	2418900000	2545900000	211200000	2880500000	None	-223500000	223500000	223500000	15973800000	-4000000	176500000	142700000	2132400000	375900000	223500000	1778000000	1627900000	2355900000	2498600000	1756500000
2021-12-31	USD	11322100000	13892000000	2569900000	9666800000	2023300000	2446300000	193500000	2763400000	None	-233700000	233700000	233700000	14125700000	9400000	170500000	123600000	1756900000	333500000	233700000	1444000000	1417300000	1990600000	2114200000	1423400000
2020-12-31	USD	1158400000	12196000000	11037600000	8651300000	1532800000	2270600000	165000000	2551300000	None	-248700000	268400000	248700000	12444700000	24300000	172800000	115700000	1151700000	296800000	248700000	977200000	1095000000	1400400000	1516100000	854900000
2019-12-31	USD	1591000000	16343600000	14752600000	9085500000	1670100000	2320300000	174200000	3538100000	3100000	-243000000	-200000	242800000	16586600000	15400000	167200000	171300000	1649500000	238600000	243000000	1145100000	1368400000	1892300000	2063600000	1410900000
2018-12-31	USD	1937600000	15827700000	13890100000	8582500000	1512100000	2249200000	166700000	3042500000	6400000	-220700000	300000	221000000	16048400000	-1800000	160700000	139300000	1572500000	234900000	220700000	1007800000	1152300000	1793500000	1932800000	1337600000
2017-12-31	USD	1706500000	14370800000	12664300000	9811600000	1665300000	2720700000	210800000	3063500000	9400000	-215800000	157200000	215800000	389000000	-31600000	217300000	132000000	1382800000	80200000	215800000	1328000000	1814300000	1598600000	1730600000	1302600000
2016-12-31	USD	2013400000	14081200000	12067800000	9307900000	1603200000	2597800000	207900000	2946400000	8000000	-221500000	142300000	221500000	793800000	359600000	216700000	132000000	1757700000	281500000	221500000	1443300000	1306600000	1979200000	2111200000	1476200000
2015-12-31	USD	1048600000	13041500000	11992900000	9277400000	1491700000	2531600000	205900000	2897200000	10600000	-223000000	223000000	223000000	-36200000	-20800000	209500000	150200000	1205400000	540800000	223000000	688900000	258000000	1428400000	1578600000	664600000
2014-12-31	USD	1045800000	12666000000	11620200000	8982800000	1404700000	2503900000	212300000	2849700000	13200000	-225300000	None	225300000	-100000	30000000	199900000	128300000	1225400000	293700000	225300000	897000000	384100000	1450700000	1579000000	931700000
2013-12-31	USD	678000000	12052400000	11374400000	8722300000	1105000000	2523200000	218200000	3366200000	12800000	-278800000	None	278800000	-19300000	3400000	199500000	128900000	807800000	189000000	278800000	620100000	913500000	1086600000	1215500000	618800000
2012-12-31	USD	1101500000	13779800000	12678300000	8533500000	1071900000	2382900000	235400000	3701100000	16300000	-253500000	-1500000	252000000	-1600000	28100000	194500000	139600000	1074600000	56000000	253500000	772400000	1051200000	1326600000	1466200000	1018600000
2011-12-31	USD	1359500000	14782000000	13422500000	9280000000	438700000	2395200000	218400000	3685200000	25900000	-280000000	-1500000	278500000	25400000	28400000	202900000	144600000	388600000	45400000	280000000	123400000	114600000	667100000	811700000	343200000
2010-12-31	USD	798800000	14001100000	13280300000	10059900000	1261400000	2679800000	244000000	3891400000	15200000	-283200000	-15200000	283200000	900000	32500000	261800000	437100000	870300000	228100000	283200000	759700000	751500000	1153500000	1590600000	642200000
2009-12-31	USD	416700000	13009100000	12778600000	9437100000	885200000	2686800000	255000000	3435700000	12600000	-302200000	-12600000	301600000	-36200000	10700000	258900000	421800000	532800000	81500000	302200000	488100000	564000000	834400000	1256200000	451300000
