fiscalDateEnding	reportedCurrency	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2023-12-31	USD	1932468000000	339457000000	236052000000	334521000000	-524614000000	None	34145000000	3708000000	None	25175000000	8508000000	25175000000	417779000000	480202000000	97302000000	470890000000	None	1745025000000	89559000000	None	None	89559000000	89559000000	207588000000	19000000	207588000000	11883000000	None	297147000000	59327000000	None	185735000000	92960000000	201136000000	9136000000	3620500000
2022-12-31	USD	1881020000000	252416000000	159157000000	245312000000	-369987000000	None	36122000000	2560000000	None	26495000000	1322000000	25173000000	455178000000	116033000000	86155000000	369987000000	None	1698807000000	51145000000	None	None	51145000000	51145000000	51145000000	22000000	174870000000	51145000000	None	226015000000	-51145000000	None	180227000000	82853000000	187968000000	9136000000	3799800000
2021-12-31	USD	1948068000000	346112000000	234230000000	322495000000	-440907000000	None	36679000000	2389000000	None	26674000000	1494000000	25180000000	1514120000000	1193508000000	88265000000	440907000000	None	1757958000000	34409000000	None	None	34409000000	34409000000	4900000000	26000000	160689000000	34409000000	None	195098000000	-34409000000	None	187606000000	79757000000	180322000000	9136000000	3926300000
2020-12-31	USD	1952911000000	410100000000	264612000000	373716000000	-471575000000	None	32352000000	1504000000	None	28046000000	1654000000	26392000000	1469193000000	563467000000	109104000000	471575000000	None	1767199000000	58999000000	None	None	58999000000	58999000000	4200000000	28000000	212950000000	58999000000	None	271949000000	-58999000000	None	184680000000	67791000000	161945000000	9136000000	4137800000
2019-12-31	USD	1927555000000	262919000000	141250000000	262919000000	303000000	None	42290000000	9309000000	None	28257000000	1867000000	26390000000	573334000000	952714000000	121669000000	1089913000000	None	1739571000000	104512000000	None	None	104512000000	104512000000	11578000000	32000000	228191000000	12109000000	None	332703000000	-104512000000	None	187146000000	68831000000	166697000000	9136000000	4195100000
2018-12-31	USD	1895883000000	289999000000	173287000000	272832000000	451000000	None	37340000000	8920000000	11169000000	28420000000	2002000000	26418000000	544766000000	1453920000000	99545000000	1056627000000	None	1698817000000	105787000000	None	None	105787000000	105787000000	3900000000	36000000	229044000000	13357000000	None	334831000000	-92430000000	None	196166000000	47194000000	158163000000	9136000000	4664400000
2017-12-31	USD	1951757000000	237151000000	215947000000	216973000000	642000000	None	61997000000	8847000000	11300000000	29635000000	3048000000	26587000000	942292000000	23515000000	1026000000	1262310000000	None	1743678000000	103256000000	None	None	103256000000	103256000000	3600000000	39000000	225020000000	14572000000	None	328276000000	-14572000000	None	206936000000	29892000000	145263000000	9136000000	4912100000
2016-12-31	USD	1930115000000	254941000000	221400000000	228552000000	978000000	None	63260000000	8333000000	10852000000	30822000000	4129000000	26693000000	989139000000	24105000000	7152000000	1275371000000	None	1729618000000	96781000000	None	None	96781000000	96781000000	3600000000	7000000	255077000000	18657000000	None	351858000000	-96781000000	None	199581000000	22713000000	133075000000	9136000000	5025500000
2015-12-31	USD	1787632000000	263295000000	239520000000	243413000000	1425000000	None	59390000000	8704000000	11017000000	30004000000	4475000000	25529000000	862043000000	20682000000	3893000000	954085000000	None	1593741000000	97528000000	None	None	97528000000	97528000000	3000000000	None	199536000000	310984000000	None	297064000000	-97528000000	None	192998000000	18867000000	120866000000	9136000000	5108300000
2014-12-31	USD	1687155000000	261402000000	238791000000	241144000000	22867000000	None	59565000000	8743000000	10463000000	31379000000	5674000000	25705000000	794646000000	19443000000	2353000000	897118000000	None	1501893000000	63729000000	None	None	63518000000	63518000000	183943000000	None	183943000000	266199000000	None	247461000000	-63518000000	None	184394000000	13690000000	107040000000	9136000000	5192200000
