fiscalDateEnding	reportedCurrency	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	changeInCashAndCashEquivalents	changeInExchangeRate	netIncome
2023-12-31	USD	40358000000	30431000000	None	4615000000	7111000000	6271000000	None	None	None	19029000000	16043000000	20494000000	38414000000	11851000000	11851000000	None	5930000000	4789000000	1141000000	None	49071000000	1722000000	-10129000000	None	None	None	19142000000
2022-12-31	USD	27048000000	8289000000	None	-231000000	-14025000000	553000000	None	None	None	13378000000	-42476000000	-59645000000	16564000000	6033000000	6033000000	None	5293000000	4178000000	1115000000	None	53737000000	0	-6033000000	None	-75073000000	None	13677000000
2021-12-31	USD	-11525000000	4384000000	None	1467000000	24111000000	530000000	None	None	None	23238000000	-7619000000	-11238000000	-24590000000	14464000000	14464000000	None	3627000000	2422000000	1205000000	None	1275000000	5756000000	-8708000000	None	-30382000000	None	21548000000
2020-12-31	USD	2051000000	8414000000	None	1520000000	-27596000000	711000000	None	None	None	3662000000	122554000000	-1243000000	-45513000000	3415000000	3415000000	None	6142000000	4852000000	1290000000	571000000	38136000000	3116000000	272000000	None	123362000000	None	3377000000
2019-12-31	USD	6730000000	26391000000	None	2429000000	-22642000000	382000000	2666000000	None	None	20041000000	-29631000000	-9136000000	-1275000000	24533000000	24533000000	None	9589000000	8198000000	1391000000	380000000	53381000000	0	-24153000000	None	-32037000000	None	19715000000
2018-12-31	USD	36073000000	16343000000	None	-865000000	-43869000000	1324000000	5288000000	None	None	22876000000	-7754000000	-70979000000	2531000000	20633000000	20633000000	None	9314000000	7692000000	1622000000	632000000	47595000000	0	-20001000000	None	18125000000	None	22393000000
2017-12-31	USD	18619000000	15695000000	None	4837000000	2608000000	1415000000	13809000000	None	None	22460000000	-13152000000	-10920000000	14020000000	9908000000	9908000000	None	9109000000	7480000000	1629000000	1211000000	43575000000	677000000	-8020000000	None	2638000000	None	22183000000
2016-12-31	USD	5852000000	14302000000	None	-705000000	13259000000	1461000000	32070000000	None	None	22045000000	-122119000000	123568000000	-1198000000	8116000000	8116000000	None	9038000000	7472000000	1566000000	1415000000	90111000000	2101000000	-4600000000	None	1618000000	None	21938000000
2015-12-31	USD	-157354000000	196223000000	None	-6804000000	181946000000	1504000000	73387000000	623000000	-10993000000	23276000000	-107235000000	92003000000	34010000000	8697000000	8697000000	None	8826000000	7400000000	1426000000	1726000000	43030000000	2972000000	-3999000000	None	-460000000	None	22894000000
2014-12-31	USD	-99763000000	157979000000	None	15667000000	153876000000	1624000000	91781000000	372000000	7221000000	23608000000	-128380000000	110503000000	8035000000	9414000000	9414000000	None	8143000000	6908000000	1235000000	1840000000	42154000000	2775000000	-4799000000	None	-348000000	None	23057000000
2013-12-31	USD	57641000000	328778000000	None	-7177000000	307688000000	1758000000	11021000000	13000000	2525000000	22224000000	-153492000000	93910000000	-3390000000	5356000000	5356000000	None	6970000000	5953000000	1017000000	2224000000	53227000000	3145000000	13000000	None	-1941000000	None	21878000000
2012-12-31	USD	58540000000	497330000000	None	-12037000000	491055000000	1907000000	144070000000	-293000000	-11186000000	19368000000	-139890000000	83770000000	7699000000	3918000000	3918000000	None	5457000000	4565000000	892000000	2091000000	27695000000	1377000000	-450000000	None	2420000000	None	18897000000
2011-12-31	USD	13665000000	356985000000	None	2638000000	365179000000	2144000000	521000000	401000000	3573000000	16211000000	-35044000000	24775000000	-6231000000	2416000000	2416000000	0	3381000000	2537000000	844000000	1296000000	11687000000	2501000000	1381000000	None	3396000000	None	15869000000
2010-12-31	USD	18772000000	379669000000	None	-1997000000	391938000000	2427000000	14939000000	-1051000000	4287000000	12663000000	-3675000000	-26133000000	11308000000	91000000	636000000	0	1782000000	1045000000	737000000	1375000000	3489000000	0	739000000	None	-11036000000	None	12362000000
2009-12-31	USD	28613000000	-403321000000	None	1066000000	-420157000000	2841000000	68054000000	-293000000	9453000000	12667000000	71785000000	-97081000000	-69108000000	220000000	25220000000	25000000000	4303000000	2125000000	2178000000	21976000000	8396000000	None	-3244000000	None	3317000000	None	12275000000
