fiscalDateEnding	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome
2023-12-31	USD	18675000000	115340000000	61658000000	697000000	8594000000	3696000000	None	10081000000	None	52375000000	85118000000	32743000000	30222000000	None	None	1300000000	21749000000	2607000000	32743000000	19029000000	20924000000	54492000000	55792000000	19142000000
2022-12-31	USD	15943000000	82859000000	59813000000	750000000	6164000000	3386000000	None	9779000000	None	44950000000	54024000000	9074000000	29418000000	None	None	1200000000	15269000000	2251000000	9074000000	12882000000	2061000000	24343000000	25543000000	13677000000
2021-12-31	USD	36523000000	82407000000	50768000000	867000000	25756000000	3568000000	None	10693000000	None	35779000000	39694000000	3915000000	42713000000	None	None	1400000000	27126000000	5578000000	3915000000	23238000000	19652000000	31041000000	32441000000	21548000000
2020-12-31	USD	-8597000000	82227000000	73067000000	1000000000	-22065000000	3863000000	None	13397000000	None	39956000000	47919000000	7963000000	34308000000	None	None	1400000000	2220000000	-1157000000	7963000000	3586000000	4882000000	10183000000	11583000000	3377000000
2019-12-31	USD	23924000000	85063000000	61139000000	1200000000	-15953000000	32148000000	None	35955000000	None	47303000000	66155000000	18852000000	39529000000	None	None	1400000000	25476000000	5761000000	18852000000	20041000000	24093000000	44328000000	45728000000	19715000000
2018-12-31	USD	28272000000	86408000000	58136000000	1300000000	-6134000000	30914000000	None	34374000000	None	49995000000	64647000000	14652000000	36413000000	None	None	1300000000	28055000000	5662000000	14652000000	22876000000	18719000000	42707000000	44007000000	22393000000
2017-12-31	USD	27114000000	88389000000	61275000000	848000000	-8898000000	33461000000	None	35884000000	None	49557000000	58909000000	9352000000	38832000000	None	None	1200000000	27100000000	4917000000	9352000000	22460000000	23008000000	36452000000	37652000000	22183000000
2016-12-31	USD	31619000000	88267000000	56416000000	660000000	-2515000000	31731000000	None	34090000000	None	47754000000	53663000000	5909000000	40513000000	None	None	1200000000	32013000000	10075000000	5909000000	22045000000	18504000000	37922000000	39122000000	21938000000
2015-12-31	USD	32552000000	85226000000	52674000000	6418000000	417000000	29957000000	None	32060000000	None	45301000000	49277000000	3976000000	40756000000	None	None	1200000000	33259000000	10365000000	3976000000	23276000000	19673000000	37235000000	38435000000	22894000000
2014-12-31	USD	33724000000	84410000000	50686000000	5420000000	1625000000	29924000000	None	32071000000	None	43527000000	47552000000	4025000000	40820000000	None	None	1200000000	33364000000	10307000000	4025000000	23608000000	25189000000	37389000000	38589000000	23057000000
2013-12-31	USD	33263000000	82105000000	48842000000	6598000000	24116000000	1868000000	None	13451000000	None	42800000000	47089000000	4289000000	40980000000	None	None	1200000000	32283000000	10405000000	4289000000	22224000000	17614000000	36572000000	37772000000	21878000000
2012-12-31	USD	31793000000	82191000000	50398000000	12378000000	3642000000	20210000000	None	32915000000	None	43230000000	48391000000	5161000000	42856000000	None	None	1300000000	28000000000	9103000000	5161000000	19368000000	21340000000	33161000000	34461000000	18897000000
2011-12-31	USD	27445000000	76838000000	49393000000	14548000000	-9743000000	28602000000	None	43688000000	None	42763000000	49412000000	6649000000	38185000000	None	None	1400000000	23314000000	7445000000	6649000000	16211000000	14338000000	29963000000	31363000000	15869000000
2010-12-31	USD	19456000000	69912000000	50456000000	23792000000	-17946000000	28258000000	None	45853000000	None	44757000000	52796000000	8039000000	40453000000	None	None	1500000000	18700000000	6338000000	8039000000	12663000000	14417000000	26739000000	28239000000	12362000000
2009-12-31	USD	17998000000	67018000000	49020000000	31618000000	10182000000	4689000000	None	17893000000	None	46324000000	56274000000	9950000000	42362000000	None	None	1300000000	17606000000	5331000000	9950000000	12667000000	22596000000	27556000000	28856000000	12275000000
