datetime	symbol	open	high	low	close	volume
2005-09-27 15:30:00	:AAL	21.05	21.40	19.10	19.30	961200.00
2005-09-28 15:30:00	:AAL	19.30	20.53	19.20	20.50	5747901.00
2005-09-29 15:30:00	:AAL	20.40	20.58	20.10	20.21	1078200.00
2005-09-30 15:30:00	:AAL	20.26	21.05	20.18	21.01	3123301.00
2005-10-03 15:30:00	:AAL	20.90	21.75	20.90	21.50	1057900.00
2005-10-04 15:30:00	:AAL	21.44	22.50	21.44	22.16	1768801.00
2005-10-05 15:30:00	:AAL	22.10	22.31	21.75	22.20	904300.00
2005-10-06 15:30:00	:AAL	22.60	23.00	22.40	22.58	1614200.00
2005-10-07 15:30:00	:AAL	22.25	22.60	21.80	22.15	753400.00
2005-10-10 15:30:00	:AAL	22.28	22.29	22.10	22.21	538700.00
2005-10-11 15:30:00	:AAL	22.26	22.30	21.80	21.98	764600.00
2005-10-12 15:30:00	:AAL	21.90	22.05	21.64	21.76	912900.00
2005-10-13 15:30:00	:AAL	21.70	21.80	21.40	21.71	531300.00
2005-10-14 15:30:00	:AAL	21.85	22.40	21.85	22.27	887800.00
2005-10-17 15:30:00	:AAL	22.15	22.22	21.85	22.08	464000.00
2005-10-18 15:30:00	:AAL	22.06	22.30	21.35	21.49	1815501.00
2005-10-19 15:30:00	:AAL	21.37	21.60	20.85	21.38	1466000.00
2005-10-20 15:30:00	:AAL	21.35	21.48	20.85	21.02	640900.00
2005-10-21 15:30:00	:AAL	21.02	22.42	21.01	21.96	917000.00
2005-10-24 15:30:00	:AAL	22.01	22.36	21.95	22.31	508800.00
2005-10-25 15:30:00	:AAL	22.25	22.54	21.70	22.00	437300.00
2005-10-26 15:30:00	:AAL	22.00	22.45	21.99	22.32	543200.00
2005-10-27 15:30:00	:AAL	22.26	22.56	22.20	22.56	351200.00
2005-10-28 15:30:00	:AAL	22.55	23.90	22.37	23.90	1614900.00
2005-10-31 15:30:00	:AAL	24.00	25.35	24.00	24.68	706400.00
2005-11-01 15:30:00	:AAL	24.70	25.08	24.69	25.02	866800.00
2005-11-02 15:30:00	:AAL	25.23	28.10	25.20	27.55	2870201.00
