datetime	symbol	open	high	low	close	volume
2012-12-10 15:30:00	:ABBV	37.00	37.00	34.91	35.00	749378.00
2012-12-11 15:30:00	:ABBV	35.05	35.69	34.95	35.32	1472086.00
2012-12-12 15:30:00	:ABBV	35.25	35.25	33.09	33.36	2530442.00
2012-12-13 15:30:00	:ABBV	33.50	34.24	32.61	33.80	4253305.00
2012-12-14 15:30:00	:ABBV	33.90	34.08	32.65	33.00	4006673.00
2012-12-17 15:30:00	:ABBV	33.50	37.07	32.51	33.40	5516965.00
2012-12-18 15:30:00	:ABBV	33.40	34.68	32.95	34.43	3740536.00
2012-12-19 15:30:00	:ABBV	34.80	34.82	33.73	34.25	1480328.00
2012-12-20 15:30:00	:ABBV	34.50	34.50	33.85	34.32	1010326.00
2012-12-21 15:30:00	:ABBV	34.29	35.35	34.20	35.35	1276538.00
2012-12-24 15:30:00	:ABBV	35.60	35.60	34.60	35.25	286712.00
2012-12-26 15:30:00	:ABBV	35.27	35.51	34.85	34.90	559872.00
2012-12-27 15:30:00	:ABBV	35.37	35.37	33.20	34.97	915775.00
2012-12-28 15:30:00	:ABBV	34.67	34.96	34.36	34.52	1085137.00
2012-12-31 15:30:00	:ABBV	34.04	35.05	34.00	34.16	5740949.00
2013-01-02 15:30:00	:ABBV	34.92	35.40	34.10	35.12	13767988.00
2013-01-03 15:30:00	:ABBV	35.00	35.00	34.16	34.83	16739207.00
2013-01-04 15:30:00	:ABBV	34.62	34.89	34.25	34.39	21372640.00
2013-01-07 15:30:00	:ABBV	34.15	35.45	34.15	34.46	17897120.00
2013-01-08 15:30:00	:ABBV	34.29	34.64	33.36	33.71	17863392.00
2013-01-09 15:30:00	:ABBV	33.61	33.95	33.61	33.90	18800672.00
2013-01-10 15:30:00	:ABBV	33.66	34.00	33.33	34.00	15660777.00
2013-01-11 15:30:00	:ABBV	33.59	33.90	33.35	33.85	11191445.00
2013-01-14 15:30:00	:ABBV	34.01	34.25	33.80	34.09	11584902.00
2013-01-15 15:30:00	:ABBV	33.71	34.72	33.71	34.60	13042598.00
2013-01-16 15:30:00	:ABBV	34.47	35.54	34.45	35.54	16512684.00
2013-01-17 15:30:00	:ABBV	35.75	36.70	35.75	36.42	14426262.00
