datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:ABT	19.43	19.49	19.21	19.22	13705946.00
2004-04-08 15:30:00	:ABT	19.47	19.54	18.96	19.03	15103856.00
2004-04-12 15:30:00	:ABT	18.55	18.72	18.34	18.52	19744201.00
2004-04-13 15:30:00	:ABT	18.41	18.55	18.10	18.10	17454163.00
2004-04-14 15:30:00	:ABT	18.01	18.88	17.98	18.87	16822491.00
2004-04-15 15:30:00	:ABT	18.82	19.85	18.78	19.77	23194818.00
2004-04-16 15:30:00	:ABT	19.78	19.96	19.56	19.84	14742865.00
2004-04-19 15:30:00	:ABT	19.70	19.88	19.45	19.87	10926596.00
2004-04-20 15:30:00	:ABT	19.89	19.92	19.44	19.44	9114090.00
2004-04-21 15:30:00	:ABT	19.36	19.62	19.28	19.39	12863873.00
2004-04-22 15:30:00	:ABT	19.27	19.90	19.16	19.89	11180372.00
2004-04-23 15:30:00	:ABT	19.78	19.93	19.68	19.74	8358977.00
2004-04-26 15:30:00	:ABT	19.80	19.81	19.69	19.78	7797591.00
2004-04-27 15:30:00	:ABT	19.78	20.07	19.69	19.97	9802481.00
2004-04-28 15:30:00	:ABT	19.87	19.92	19.72	19.85	10459289.00
2004-04-29 15:30:00	:ABT	19.85	20.08	19.82	19.96	9309151.00
2004-04-30 15:30:00	:ABT	19.96	20.07	19.79	19.79	8922589.00
2004-05-03 15:30:00	:ABT	19.79	20.33	19.70	20.25	13214253.00
2004-05-04 15:30:00	:ABT	20.25	20.25	19.88	19.99	8591766.00
2004-05-05 15:30:00	:ABT	19.85	20.21	19.85	20.08	6967600.00
2004-05-06 15:30:00	:ABT	20.08	20.20	20.00	20.09	5961120.00
2004-05-07 15:30:00	:ABT	20.09	20.27	19.83	19.85	6104306.00
2004-05-10 15:30:00	:ABT	19.83	19.90	19.40	19.51	9084864.00
2004-05-11 15:30:00	:ABT	19.29	19.60	19.29	19.58	5657608.00
2004-05-12 15:30:00	:ABT	19.39	19.83	19.38	19.72	6352006.00
2004-05-13 15:30:00	:ABT	19.53	19.76	19.49	19.61	6125836.00
2004-05-14 15:30:00	:ABT	19.61	19.96	19.56	19.69	5808946.00
2004-05-17 15:30:00	:ABT	19.57	19.88	19.50	19.65	6937500.00
2004-05-18 15:30:00	:ABT	19.84	19.85	19.57	19.61	5521948.00
2004-05-19 15:30:00	:ABT	19.85	19.85	19.50	19.53	6698996.00
2004-05-20 15:30:00	:ABT	19.44	19.49	19.23	19.26	6349498.00
2004-05-21 15:30:00	:ABT	19.30	19.34	19.08	19.11	8013795.00
2004-05-24 15:30:00	:ABT	19.19	19.24	18.92	18.92	8112458.00
2004-05-25 15:30:00	:ABT	18.96	19.45	18.86	19.43	8624581.00
2004-05-26 15:30:00	:ABT	19.41	19.68	19.33	19.63	6297031.00
2004-05-27 15:30:00	:ABT	19.76	19.92	19.64	19.88	6192516.00
2004-05-28 15:30:00	:ABT	19.91	19.95	19.52	19.71	6127090.00
2004-06-01 15:30:00	:ABT	19.64	19.71	19.52	19.62	5825041.00
2004-06-02 15:30:00	:ABT	19.73	19.74	19.50	19.71	5290133.00
2004-06-03 15:30:00	:ABT	19.53	19.82	19.52	19.69	5141931.00
2004-06-04 15:30:00	:ABT	19.73	20.01	19.71	19.97	7238294.00
2004-06-07 15:30:00	:ABT	20.07	20.25	20.07	20.24	7111204.00
2004-06-08 15:30:00	:ABT	20.16	20.45	20.15	20.43	6220108.00
2004-06-09 15:30:00	:ABT	20.43	20.47	20.25	20.37	6882316.00
2004-06-10 15:30:00	:ABT	20.33	20.51	20.29	20.43	7304974.00
2004-06-14 15:30:00	:ABT	20.28	20.50	20.23	20.38	6925585.00
2004-06-15 15:30:00	:ABT	20.45	20.66	20.36	20.57	15335909.00
2004-06-16 15:30:00	:ABT	20.51	20.56	20.45	20.49	5545986.00
2004-06-17 15:30:00	:ABT	20.45	20.69	20.38	20.66	5549122.00
2004-06-18 15:30:00	:ABT	20.66	20.70	20.47	20.57	8843231.00
2004-06-21 15:30:00	:ABT	20.57	20.58	20.36	20.36	6232859.00
2004-06-22 15:30:00	:ABT	20.32	20.50	19.89	20.10	12822322.00
2004-06-23 15:30:00	:ABT	20.10	20.14	19.94	20.07	5919941.00
2004-06-24 15:30:00	:ABT	19.89	20.07	19.61	20.05	13236201.00
2004-06-25 15:30:00	:ABT	20.05	20.07	19.38	19.40	14891933.00
2004-06-28 15:30:00	:ABT	19.52	19.69	19.42	19.51	9714673.00
2004-06-29 15:30:00	:ABT	19.50	19.84	19.48	19.76	7845317.00
2004-06-30 15:30:00	:ABT	19.76	19.76	19.33	19.50	8137332.00
2004-07-01 15:30:00	:ABT	19.52	19.69	19.24	19.48	9024661.00
2004-07-02 15:30:00	:ABT	19.42	19.57	19.34	19.42	4269648.00
2004-07-06 15:30:00	:ABT	19.26	19.34	19.04	19.04	8859527.00
2004-07-07 15:30:00	:ABT	19.02	19.18	18.83	18.94	7072533.00
2004-07-08 15:30:00	:ABT	18.94	19.44	18.91	19.27	9585491.00
2004-07-09 15:30:00	:ABT	19.54	19.57	19.04	19.09	11025292.00
2004-07-12 15:30:00	:ABT	19.18	19.47	19.05	19.33	8261914.00
2004-07-13 15:30:00	:ABT	19.14	19.31	19.14	19.27	8124372.00
2004-07-14 15:30:00	:ABT	19.11	19.31	18.91	19.03	8572324.00
2004-07-15 15:30:00	:ABT	19.18	19.34	19.01	19.03	7222408.00
2004-07-16 15:30:00	:ABT	19.17	19.17	18.68	18.71	8014214.00
2004-07-19 15:30:00	:ABT	18.81	18.91	18.60	18.72	5968018.00
2004-07-20 15:30:00	:ABT	18.72	18.88	18.63	18.83	4362249.00
2004-07-21 15:30:00	:ABT	18.88	19.11	18.54	18.54	5827341.00
2004-07-22 15:30:00	:ABT	18.51	18.88	18.51	18.79	5526755.00
2004-07-23 15:30:00	:ABT	18.79	18.82	18.37	18.48	5830894.00
2004-07-26 15:30:00	:ABT	18.49	18.54	18.31	18.42	4515468.00
2004-07-27 15:30:00	:ABT	18.49	18.78	18.34	18.75	6284908.00
2004-07-28 15:30:00	:ABT	18.66	18.74	18.31	18.68	5882943.00
2004-07-29 15:30:00	:ABT	18.68	18.85	18.54	18.73	4747700.00
2004-07-30 15:30:00	:ABT	18.73	18.89	18.65	18.83	5086747.00
2004-08-02 15:30:00	:ABT	18.83	18.89	18.71	18.78	4137959.00
2004-08-03 15:30:00	:ABT	18.71	18.92	18.64	18.74	5057483.00
2004-08-04 15:30:00	:ABT	18.53	18.76	18.44	18.72	4935827.00
2004-08-05 15:30:00	:ABT	18.63	18.76	18.51	18.52	5614339.00
2004-08-06 15:30:00	:ABT	18.48	18.62	18.35	18.51	7443770.00
2004-08-09 15:30:00	:ABT	18.37	18.51	18.33	18.35	7706939.00
2004-08-10 15:30:00	:ABT	18.51	18.69	18.30	18.68	5032190.00
2004-08-11 15:30:00	:ABT	18.61	19.10	18.59	19.03	6235994.00
2004-08-12 15:30:00	:ABT	18.89	19.07	18.82	18.96	5878762.00
2004-08-13 15:30:00	:ABT	18.96	19.02	18.78	18.94	3758570.00
2004-08-16 15:30:00	:ABT	18.99	19.23	18.88	19.14	7256479.00
2004-08-17 15:30:00	:ABT	19.33	19.33	19.09	19.14	8887746.00
2004-08-18 15:30:00	:ABT	19.14	19.42	19.02	19.42	5280518.00
2004-08-19 15:30:00	:ABT	19.38	19.52	19.26	19.48	7452550.00
2004-08-20 15:30:00	:ABT	19.48	19.69	19.42	19.62	7187709.00
2004-08-23 15:30:00	:ABT	19.66	19.83	19.54	19.56	4679765.00
2004-08-24 15:30:00	:ABT	19.69	19.78	19.59	19.61	3573160.00
2004-08-25 15:30:00	:ABT	19.61	19.87	19.60	19.83	5626045.00
2004-08-26 15:30:00	:ABT	19.78	19.89	19.70	19.72	4026128.00
2004-08-27 15:30:00	:ABT	19.70	19.90	19.69	19.86	4450877.00
2004-08-30 15:30:00	:ABT	19.86	19.86	19.71	19.72	3198787.00
2004-08-31 15:30:00	:ABT	19.78	19.94	19.67	19.94	5533235.00
2004-09-01 15:30:00	:ABT	19.94	20.14	19.86	20.12	6573369.00
2004-09-02 15:30:00	:ABT	20.12	20.48	20.12	20.38	6880852.00
2004-09-03 15:30:00	:ABT	20.41	20.59	20.39	20.41	5988921.00
2004-09-07 15:30:00	:ABT	20.41	20.55	20.04	20.13	9007522.00
2004-09-08 15:30:00	:ABT	20.19	20.24	20.04	20.17	6498327.00
2004-09-09 15:30:00	:ABT	20.15	20.20	20.04	20.09	5205267.00
2004-09-10 15:30:00	:ABT	20.00	20.29	19.95	20.24	4549122.00
2004-09-13 15:30:00	:ABT	20.21	20.55	20.14	20.55	5961956.00
2004-09-14 15:30:00	:ABT	20.50	20.57	20.36	20.54	6719690.00
2004-09-15 15:30:00	:ABT	20.50	20.60	20.33	20.34	6614757.00
2004-09-16 15:30:00	:ABT	20.39	20.52	20.36	20.42	3682065.00
2004-09-17 15:30:00	:ABT	20.51	20.65	20.46	20.53	6940426.00
2004-09-20 15:30:00	:ABT	20.45	20.54	20.31	20.38	5208403.00
2004-09-21 15:30:00	:ABT	20.33	20.67	20.23	20.59	6515677.00
2004-09-22 15:30:00	:ABT	20.38	20.42	20.05	20.10	8439381.00
2004-09-23 15:30:00	:ABT	20.15	20.33	20.15	20.27	7992892.00
2004-09-24 15:30:00	:ABT	20.22	20.31	20.19	20.26	5675376.00
2004-09-27 15:30:00	:ABT	20.17	20.42	20.15	20.30	7042015.00
2004-09-28 15:30:00	:ABT	20.24	20.48	20.16	20.34	7494983.00
2004-09-29 15:30:00	:ABT	20.28	20.29	20.10	20.24	5876045.00
2004-09-30 15:30:00	:ABT	20.29	20.36	20.05	20.27	10176630.00
2004-10-01 15:30:00	:ABT	20.31	20.50	20.15	20.18	9837372.00
2004-10-04 15:30:00	:ABT	20.19	20.32	20.02	20.19	12512957.00
2004-10-05 15:30:00	:ABT	20.19	20.29	20.12	20.23	5511496.00
2004-10-06 15:30:00	:ABT	20.26	20.27	20.07	20.19	3723662.00
2004-10-07 15:30:00	:ABT	20.19	20.20	19.76	19.77	9937290.00
2004-10-08 15:30:00	:ABT	19.66	19.83	19.49	19.53	6155100.00
2004-10-11 15:30:00	:ABT	19.54	19.80	19.54	19.70	5180602.00
2004-10-12 15:30:00	:ABT	19.67	19.90	19.61	19.86	7136287.00
2004-10-13 15:30:00	:ABT	19.95	19.95	19.59	19.69	7789924.00
2004-10-14 15:30:00	:ABT	19.78	19.92	19.61	19.62	7778010.00
2004-10-15 15:30:00	:ABT	19.95	20.04	19.74	19.79	12179352.00
2004-10-18 15:30:00	:ABT	19.83	19.97	19.73	19.78	8859111.00
2004-10-19 15:30:00	:ABT	19.74	19.93	19.70	19.80	9296197.00
2004-10-20 15:30:00	:ABT	19.83	19.84	19.61	19.81	5729724.00
2004-10-21 15:30:00	:ABT	19.78	19.90	19.46	19.66	7165969.00
2004-10-22 15:30:00	:ABT	19.66	19.69	19.52	19.55	5804347.00
2004-10-25 15:30:00	:ABT	19.55	19.55	19.35	19.44	6420986.00
2004-10-26 15:30:00	:ABT	19.40	19.63	19.26	19.60	7581312.00
2004-10-27 15:30:00	:ABT	19.54	20.37	19.54	20.30	10152805.00
2004-10-28 15:30:00	:ABT	20.21	20.45	20.17	20.43	6092182.00
2004-10-29 15:30:00	:ABT	20.37	20.45	20.27	20.39	7672449.00
2004-11-01 15:30:00	:ABT	20.33	20.55	20.22	20.45	9172869.00
2004-11-02 15:30:00	:ABT	20.36	20.57	20.15	20.24	11342805.00
2004-11-03 15:30:00	:ABT	20.56	21.00	20.54	20.86	12748116.00
