datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:ACGL	4.74	4.76	4.70	4.72	545151.00
2004-04-08 15:30:00	:ACGL	4.73	4.78	4.71	4.77	1223356.00
2004-04-12 15:30:00	:ACGL	4.87	4.87	4.74	4.77	1097983.00
2004-04-13 15:30:00	:ACGL	4.76	4.78	4.73	4.77	1895347.00
2004-04-14 15:30:00	:ACGL	4.75	4.76	4.68	4.76	836295.00
2004-04-15 15:30:00	:ACGL	4.74	4.77	4.68	4.70	1146628.00
2004-04-16 15:30:00	:ACGL	4.70	4.72	4.67	4.72	884445.00
2004-04-19 15:30:00	:ACGL	4.70	4.73	4.67	4.69	492105.00
2004-04-20 15:30:00	:ACGL	4.70	4.72	4.64	4.67	1012042.00
2004-04-21 15:30:00	:ACGL	4.67	4.68	4.60	4.61	1837756.00
2004-04-22 15:30:00	:ACGL	4.60	4.61	4.47	4.59	2204393.00
2004-04-23 15:30:00	:ACGL	4.60	4.60	4.57	4.58	518178.00
2004-04-26 15:30:00	:ACGL	4.59	4.59	4.51	4.52	1505113.00
2004-04-27 15:30:00	:ACGL	4.55	4.57	4.51	4.57	719565.00
2004-04-28 15:30:00	:ACGL	4.57	4.57	4.49	4.52	901863.00
2004-04-29 15:30:00	:ACGL	4.51	4.56	4.49	4.53	3612468.00
2004-04-30 15:30:00	:ACGL	4.53	4.54	4.41	4.46	817809.00
2004-05-03 15:30:00	:ACGL	4.47	4.47	4.33	4.41	2065124.00
2004-05-04 15:30:00	:ACGL	4.40	4.45	4.37	4.41	892752.00
2004-05-05 15:30:00	:ACGL	4.40	4.45	4.28	4.31	2517299.00
2004-05-06 15:30:00	:ACGL	4.30	4.39	4.22	4.37	1516282.00
2004-05-07 15:30:00	:ACGL	4.37	4.37	4.16	4.26	1477021.00
2004-05-10 15:30:00	:ACGL	4.22	4.24	4.17	4.20	1022356.00
2004-05-11 15:30:00	:ACGL	4.21	4.26	4.19	4.20	997911.00
2004-05-12 15:30:00	:ACGL	4.18	4.21	4.14	4.19	1290667.00
2004-05-13 15:30:00	:ACGL	4.20	4.20	4.15	4.17	666663.00
2004-05-14 15:30:00	:ACGL	4.18	4.20	4.15	4.15	997083.00
2004-05-17 15:30:00	:ACGL	4.17	4.22	4.07	4.18	1343866.00
2004-05-18 15:30:00	:ACGL	4.17	4.23	4.17	4.22	585228.00
2004-05-19 15:30:00	:ACGL	4.20	4.31	4.20	4.26	1226425.00
2004-05-20 15:30:00	:ACGL	4.26	4.26	4.15	4.16	1012816.00
2004-05-21 15:30:00	:ACGL	4.17	4.19	4.15	4.16	1021609.00
2004-05-24 15:30:00	:ACGL	4.17	4.17	4.12	4.12	771459.00
2004-05-25 15:30:00	:ACGL	4.12	4.22	4.11	4.22	840750.00
2004-05-26 15:30:00	:ACGL	4.23	4.30	4.22	4.28	976608.00
2004-05-27 15:30:00	:ACGL	4.26	4.31	4.19	4.29	1366924.00
2004-05-28 15:30:00	:ACGL	4.28	4.30	4.25	4.27	571539.00
2004-06-01 15:30:00	:ACGL	4.30	4.30	4.20	4.23	640257.00
2004-06-02 15:30:00	:ACGL	4.24	4.30	4.24	4.27	505929.00
2004-06-03 15:30:00	:ACGL	4.26	4.39	4.25	4.37	2104142.00
2004-06-04 15:30:00	:ACGL	4.37	4.39	4.33	4.33	387435.00
2004-06-07 15:30:00	:ACGL	4.33	4.44	4.33	4.44	1077085.00
2004-06-08 15:30:00	:ACGL	4.44	4.44	4.36	4.39	668364.00
2004-06-09 15:30:00	:ACGL	4.39	4.43	4.37	4.39	1447537.00
2004-06-10 15:30:00	:ACGL	4.39	4.42	4.38	4.38	853782.00
2004-06-14 15:30:00	:ACGL	4.38	4.40	4.32	4.36	483618.00
2004-06-15 15:30:00	:ACGL	4.36	4.41	4.36	4.39	752901.00
2004-06-16 15:30:00	:ACGL	4.39	4.42	4.38	4.41	583266.00
2004-06-17 15:30:00	:ACGL	4.41	4.42	4.37	4.37	485445.00
2004-06-18 15:30:00	:ACGL	4.37	4.45	4.37	4.44	1089235.00
2004-06-21 15:30:00	:ACGL	4.43	4.48	4.43	4.44	832416.00
2004-06-22 15:30:00	:ACGL	4.44	4.46	4.38	4.41	611115.00
2004-06-23 15:30:00	:ACGL	4.40	4.43	4.35	4.43	674304.00
2004-06-24 15:30:00	:ACGL	4.43	4.45	4.43	4.43	332166.00
2004-06-25 15:30:00	:ACGL	4.43	4.45	4.40	4.40	475734.00
2004-06-28 15:30:00	:ACGL	4.42	4.47	4.40	4.46	962451.00
2004-06-29 15:30:00	:ACGL	4.46	4.46	4.43	4.43	483420.00
2004-06-30 15:30:00	:ACGL	4.43	4.46	4.43	4.43	1031293.00
2004-07-01 15:30:00	:ACGL	4.44	4.47	4.41	4.44	1517929.00
2004-07-02 15:30:00	:ACGL	4.44	4.45	4.40	4.40	664998.00
2004-07-06 15:30:00	:ACGL	4.39	4.47	4.38	4.44	764430.00
2004-07-07 15:30:00	:ACGL	4.45	4.51	4.41	4.43	899241.00
2004-07-08 15:30:00	:ACGL	4.42	4.44	4.41	4.44	621672.00
2004-07-09 15:30:00	:ACGL	4.44	4.49	4.42	4.48	996345.00
2004-07-12 15:30:00	:ACGL	4.45	4.53	4.44	4.51	745251.00
2004-07-13 15:30:00	:ACGL	4.50	4.53	4.47	4.48	365025.00
2004-07-14 15:30:00	:ACGL	4.49	4.55	4.44	4.50	565104.00
2004-07-15 15:30:00	:ACGL	4.47	4.47	4.42	4.43	8689763.00
2004-07-16 15:30:00	:ACGL	4.45	4.45	4.41	4.42	1276735.00
2004-07-19 15:30:00	:ACGL	4.41	4.45	4.41	4.41	518934.00
2004-07-20 15:30:00	:ACGL	4.46	4.48	4.24	4.25	5214746.00
2004-07-21 15:30:00	:ACGL	4.26	4.31	4.21	4.22	1890694.00
2004-07-22 15:30:00	:ACGL	4.22	4.23	4.09	4.09	1910368.00
2004-07-23 15:30:00	:ACGL	4.08	4.11	4.04	4.07	1324777.00
2004-07-26 15:30:00	:ACGL	4.06	4.10	4.02	4.05	1521655.00
2004-07-27 15:30:00	:ACGL	4.09	4.17	4.05	4.11	1094860.00
2004-07-28 15:30:00	:ACGL	4.11	4.15	4.08	4.13	1160587.00
2004-07-29 15:30:00	:ACGL	4.13	4.19	4.11	4.15	5621774.00
2004-07-30 15:30:00	:ACGL	4.23	4.29	4.22	4.28	7297378.00
2004-08-02 15:30:00	:ACGL	4.29	4.29	4.23	4.27	865725.00
2004-08-03 15:30:00	:ACGL	4.28	4.31	4.24	4.28	1386517.00
2004-08-04 15:30:00	:ACGL	4.26	4.29	4.22	4.27	1008028.00
2004-08-05 15:30:00	:ACGL	4.25	4.30	4.20	4.23	695292.00
2004-08-06 15:30:00	:ACGL	4.20	4.24	4.20	4.23	820842.00
2004-08-09 15:30:00	:ACGL	4.21	4.23	4.18	4.20	642066.00
2004-08-10 15:30:00	:ACGL	4.20	4.24	4.20	4.23	1163692.00
2004-08-11 15:30:00	:ACGL	4.23	4.24	4.19	4.21	517197.00
2004-08-12 15:30:00	:ACGL	4.19	4.23	4.18	4.23	946764.00
2004-08-13 15:30:00	:ACGL	4.22	4.30	4.18	4.18	743955.00
2004-08-16 15:30:00	:ACGL	4.18	4.22	4.17	4.21	949734.00
2004-08-17 15:30:00	:ACGL	4.19	4.23	4.14	4.18	933021.00
2004-08-18 15:30:00	:ACGL	4.18	4.19	4.15	4.19	957924.00
2004-08-19 15:30:00	:ACGL	4.19	4.20	4.18	4.18	1608523.00
2004-08-20 15:30:00	:ACGL	4.19	4.19	4.17	4.19	397470.00
2004-08-23 15:30:00	:ACGL	4.17	4.20	4.17	4.18	892122.00
2004-08-24 15:30:00	:ACGL	4.17	4.17	4.10	4.12	1788793.00
2004-08-25 15:30:00	:ACGL	4.11	4.12	4.05	4.07	1263244.00
2004-08-26 15:30:00	:ACGL	4.07	4.10	4.03	4.04	1562308.00
2004-08-27 15:30:00	:ACGL	4.04	4.04	4.01	4.01	941112.00
2004-08-30 15:30:00	:ACGL	4.02	4.03	3.94	4.00	2206238.00
2004-08-31 15:30:00	:ACGL	4.01	4.07	4.00	4.07	1114849.00
2004-09-01 15:30:00	:ACGL	4.07	4.12	4.06	4.12	2124347.00
2004-09-02 15:30:00	:ACGL	4.10	4.32	4.10	4.31	2214032.00
2004-09-03 15:30:00	:ACGL	4.27	4.31	4.24	4.30	1597507.00
2004-09-07 15:30:00	:ACGL	4.28	4.31	4.27	4.29	1484050.00
2004-09-08 15:30:00	:ACGL	4.29	4.30	4.24	4.27	1439050.00
2004-09-09 15:30:00	:ACGL	4.26	4.26	4.20	4.26	1098496.00
2004-09-10 15:30:00	:ACGL	4.25	4.34	4.25	4.33	1006111.00
2004-09-13 15:30:00	:ACGL	4.34	4.40	4.33	4.40	1016173.00
2004-09-14 15:30:00	:ACGL	4.37	4.43	4.37	4.42	2098523.00
2004-09-15 15:30:00	:ACGL	4.41	4.46	4.41	4.44	3537270.00
2004-09-16 15:30:00	:ACGL	4.44	4.46	4.42	4.44	2209235.00
2004-09-17 15:30:00	:ACGL	4.43	4.46	4.43	4.44	875544.00
2004-09-20 15:30:00	:ACGL	4.44	4.45	4.40	4.41	1254298.00
2004-09-21 15:30:00	:ACGL	4.42	4.43	4.39	4.42	1379218.00
2004-09-22 15:30:00	:ACGL	4.41	4.41	4.32	4.33	1629961.00
2004-09-23 15:30:00	:ACGL	4.36	4.36	4.27	4.28	1541779.00
2004-09-24 15:30:00	:ACGL	4.28	4.29	4.24	4.25	1136116.00
2004-09-27 15:30:00	:ACGL	4.25	4.25	4.18	4.18	933678.00
2004-09-28 15:30:00	:ACGL	4.18	4.22	4.18	4.19	546249.00
2004-09-29 15:30:00	:ACGL	4.19	4.20	4.16	4.17	5206781.00
2004-09-30 15:30:00	:ACGL	4.18	4.34	4.18	4.33	1606606.00
2004-10-01 15:30:00	:ACGL	4.32	4.34	4.27	4.28	1346404.00
2004-10-04 15:30:00	:ACGL	4.31	4.31	4.21	4.23	1515724.00
2004-10-05 15:30:00	:ACGL	4.23	4.23	4.14	4.16	1136773.00
2004-10-06 15:30:00	:ACGL	4.17	4.18	4.15	4.18	1489387.00
2004-10-07 15:30:00	:ACGL	4.19	4.25	4.17	4.22	1035307.00
2004-10-08 15:30:00	:ACGL	4.25	4.35	4.21	4.28	1830295.00
2004-10-11 15:30:00	:ACGL	4.29	4.29	4.21	4.23	471081.00
2004-10-12 15:30:00	:ACGL	4.23	4.24	4.18	4.19	517674.00
2004-10-13 15:30:00	:ACGL	4.18	4.24	4.17	4.17	351471.00
2004-10-14 15:30:00	:ACGL	4.17	4.19	4.00	4.01	2244245.00
2004-10-15 15:30:00	:ACGL	4.00	4.08	3.97	4.05	2957735.00
2004-10-18 15:30:00	:ACGL	4.05	4.10	4.02	4.05	2449718.00
2004-10-19 15:30:00	:ACGL	4.05	4.06	3.94	3.96	2212961.00
2004-10-20 15:30:00	:ACGL	3.97	3.99	3.94	3.98	1665349.00
2004-10-21 15:30:00	:ACGL	3.98	4.03	3.95	4.02	877398.00
2004-10-22 15:30:00	:ACGL	4.01	4.03	3.96	3.99	925146.00
2004-10-25 15:30:00	:ACGL	3.99	3.99	3.89	3.89	1793176.00
2004-10-26 15:30:00	:ACGL	3.90	4.00	3.89	4.00	4102819.00
2004-10-27 15:30:00	:ACGL	4.00	4.12	4.00	4.12	1672594.00
2004-10-28 15:30:00	:ACGL	4.12	4.18	4.10	4.18	821796.00
2004-10-29 15:30:00	:ACGL	4.19	4.19	4.15	4.17	2249303.00
2004-11-01 15:30:00	:ACGL	4.18	4.20	4.13	4.16	3024456.00
2004-11-02 15:30:00	:ACGL	4.17	4.17	4.11	4.13	1773880.00
2004-11-03 15:30:00	:ACGL	4.14	4.26	4.13	4.25	2145083.00
2004-11-04 15:30:00	:ACGL	4.25	4.27	4.23	4.26	882888.00
2004-11-05 15:30:00	:ACGL	4.24	4.29	4.20	4.26	688362.00
2004-11-08 15:30:00	:ACGL	4.25	4.31	4.25	4.28	723453.00
2004-11-09 15:30:00	:ACGL	4.30	4.32	4.25	4.28	842388.00
2004-11-10 15:30:00	:ACGL	4.29	4.33	4.16	4.33	1725946.00
2004-11-11 15:30:00	:ACGL	4.32	4.36	4.26	4.29	698226.00
2004-11-12 15:30:00	:ACGL	4.27	4.28	4.22	4.26	1011124.00
2004-11-15 15:30:00	:ACGL	4.26	4.28	4.24	4.26	618045.00
2004-11-16 15:30:00	:ACGL	4.24	4.26	4.23	4.24	912924.00
2004-11-17 15:30:00	:ACGL	4.22	4.28	4.22	4.27	746115.00
2004-11-18 15:30:00	:ACGL	4.29	4.29	4.25	4.27	948591.00
2004-11-19 15:30:00	:ACGL	4.26	4.31	4.26	4.31	1043830.00
2004-11-22 15:30:00	:ACGL	4.31	4.33	4.26	4.33	2856647.00
2004-11-23 15:30:00	:ACGL	4.32	4.36	4.31	4.35	3786546.00
2004-11-24 15:30:00	:ACGL	4.34	4.36	4.33	4.33	620835.00
2004-11-26 15:30:00	:ACGL	4.34	4.36	4.33	4.36	364377.00
2004-11-29 15:30:00	:ACGL	4.34	4.36	4.33	4.36	1081909.00
2004-11-30 15:30:00	:ACGL	4.35	4.36	4.33	4.33	1271470.00
2004-12-01 15:30:00	:ACGL	4.33	4.39	4.33	4.39	963207.00
2004-12-02 15:30:00	:ACGL	4.38	4.39	4.33	4.35	883482.00
2004-12-03 15:30:00	:ACGL	4.33	4.35	4.31	4.34	591510.00
2004-12-06 15:30:00	:ACGL	4.32	4.39	4.32	4.39	1176562.00
