datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:ADP	34.86	35.03	34.48	34.60	2517765.00
2004-04-08 15:30:00	:ADP	34.98	35.28	34.74	34.92	1607486.00
2004-04-12 15:30:00	:ADP	34.92	35.46	34.87	35.07	1654187.00
2004-04-13 15:30:00	:ADP	35.25	35.44	34.64	34.76	1650888.00
2004-04-14 15:30:00	:ADP	34.63	34.95	34.32	34.95	3200381.00
2004-04-15 15:30:00	:ADP	35.07	36.24	35.03	36.11	5171193.00
2004-04-16 15:30:00	:ADP	36.11	36.11	35.63	35.95	3684517.00
2004-04-19 15:30:00	:ADP	35.79	35.85	35.37	35.42	1824873.00
2004-04-20 15:30:00	:ADP	35.54	35.85	35.14	35.14	2519923.00
2004-04-21 15:30:00	:ADP	35.14	35.71	35.14	35.56	2865101.00
2004-04-22 15:30:00	:ADP	35.37	35.89	34.69	35.54	5356981.00
2004-04-23 15:30:00	:ADP	36.05	36.05	35.48	35.72	1536293.00
2004-04-26 15:30:00	:ADP	35.70	35.80	34.91	35.10	2375126.00
2004-04-27 15:30:00	:ADP	35.27	35.58	34.95	35.05	1853045.00
2004-04-28 15:30:00	:ADP	34.96	35.07	34.59	34.67	1550126.00
2004-04-29 15:30:00	:ADP	34.79	35.35	34.44	34.55	2294162.00
2004-04-30 15:30:00	:ADP	34.71	34.96	34.33	34.52	2230075.00
2004-05-03 15:30:00	:ADP	34.70	35.08	34.63	34.81	2222969.00
2004-05-04 15:30:00	:ADP	34.87	35.46	34.81	35.18	2547589.00
2004-05-05 15:30:00	:ADP	35.13	35.33	34.79	35.17	1423857.00
2004-05-06 15:30:00	:ADP	34.97	35.70	34.95	35.66	2917893.00
2004-05-07 15:30:00	:ADP	35.74	36.63	35.74	36.27	5438070.00
2004-05-10 15:30:00	:ADP	36.27	37.28	36.25	36.91	8296955.00
2004-05-11 15:30:00	:ADP	36.77	36.91	36.26	36.91	3683121.00
2004-05-12 15:30:00	:ADP	36.71	36.72	35.82	36.46	2820051.00
2004-05-13 15:30:00	:ADP	36.24	36.56	35.92	36.11	3092639.00
2004-05-14 15:30:00	:ADP	35.96	36.25	35.66	35.84	2527538.00
2004-05-17 15:30:00	:ADP	35.11	35.44	34.92	35.14	3806472.00
2004-05-18 15:30:00	:ADP	35.21	35.52	34.99	35.12	2602284.00
2004-05-19 15:30:00	:ADP	35.18	35.42	35.01	35.03	2255202.00
2004-05-20 15:30:00	:ADP	34.95	35.17	34.52	34.88	3909010.00
2004-05-21 15:30:00	:ADP	34.83	34.94	34.66	34.89	2927665.00
2004-05-24 15:30:00	:ADP	35.00	35.25	34.77	34.88	1986421.00
2004-05-25 15:30:00	:ADP	35.30	35.74	35.23	35.67	4505457.00
2004-05-26 15:30:00	:ADP	35.70	35.70	35.26	35.33	2921701.00
2004-05-27 15:30:00	:ADP	35.38	35.41	35.00	35.18	3554823.00
2004-05-28 15:30:00	:ADP	35.22	35.28	34.98	35.01	2493654.00
2004-06-01 15:30:00	:ADP	35.01	35.01	34.64	34.75	3091878.00
2004-06-02 15:30:00	:ADP	34.79	34.82	34.64	34.67	3351015.00
2004-06-03 15:30:00	:ADP	34.87	35.04	34.56	34.99	4821574.00
2004-06-04 15:30:00	:ADP	35.46	35.51	34.90	35.00	3652284.00
