datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:AEE	45.80	45.80	45.29	45.36	526900.00
2004-04-08 15:30:00	:AEE	45.50	45.53	45.00	45.20	535700.00
2004-04-12 15:30:00	:AEE	45.20	45.24	44.00	44.11	1171200.00
2004-04-13 15:30:00	:AEE	44.15	44.20	42.97	43.71	1385400.00
2004-04-14 15:30:00	:AEE	43.36	43.83	43.26	43.65	1052900.00
2004-04-15 15:30:00	:AEE	43.80	44.20	43.58	43.60	583600.00
2004-04-16 15:30:00	:AEE	43.74	43.85	43.52	43.65	546200.00
2004-04-19 15:30:00	:AEE	43.54	43.58	43.27	43.38	447300.00
2004-04-20 15:30:00	:AEE	43.33	43.80	43.16	43.18	543700.00
2004-04-21 15:30:00	:AEE	43.07	43.38	42.93	43.20	739600.00
2004-04-22 15:30:00	:AEE	43.01	43.96	43.01	43.57	460300.00
2004-04-23 15:30:00	:AEE	43.66	43.68	43.16	43.51	470100.00
2004-04-26 15:30:00	:AEE	43.51	43.82	43.51	43.73	418700.00
2004-04-27 15:30:00	:AEE	43.93	43.99	43.66	43.94	574300.00
2004-04-28 15:30:00	:AEE	43.94	43.94	43.59	43.81	453000.00
2004-04-29 15:30:00	:AEE	43.81	44.08	43.37	43.59	901700.00
2004-04-30 15:30:00	:AEE	43.59	43.89	43.45	43.72	547000.00
2004-05-03 15:30:00	:AEE	43.72	43.72	43.15	43.51	560600.00
2004-05-04 15:30:00	:AEE	43.62	43.76	43.26	43.55	397300.00
2004-05-05 15:30:00	:AEE	43.20	43.70	43.20	43.25	449000.00
2004-05-06 15:30:00	:AEE	43.17	43.35	42.65	43.30	600900.00
2004-05-07 15:30:00	:AEE	43.05	43.05	42.05	42.21	755400.00
2004-05-10 15:30:00	:AEE	42.06	42.19	41.00	41.00	1288900.00
2004-05-11 15:30:00	:AEE	41.50	41.52	40.60	40.78	1068200.00
2004-05-12 15:30:00	:AEE	40.92	41.21	40.55	41.13	1322100.00
2004-05-13 15:30:00	:AEE	41.26	41.36	41.02	41.16	501100.00
2004-05-14 15:30:00	:AEE	42.00	42.24	41.67	41.98	1630000.00
2004-05-17 15:30:00	:AEE	41.98	41.98	41.50	41.61	705800.00
2004-05-18 15:30:00	:AEE	41.65	42.19	41.65	42.00	713500.00
2004-05-19 15:30:00	:AEE	42.24	42.51	41.83	41.90	695500.00
2004-05-20 15:30:00	:AEE	42.00	42.78	41.94	42.42	648800.00
2004-05-21 15:30:00	:AEE	42.56	42.75	42.08	42.18	605700.00
2004-05-24 15:30:00	:AEE	42.19	42.91	42.15	42.91	363100.00
2004-05-25 15:30:00	:AEE	42.69	43.72	42.63	43.67	586800.00
2004-05-26 15:30:00	:AEE	43.66	44.27	43.41	43.85	797000.00
2004-05-27 15:30:00	:AEE	44.00	44.48	43.86	43.95	656800.00
2004-05-28 15:30:00	:AEE	44.06	44.25	43.91	44.20	466700.00
2004-06-01 15:30:00	:AEE	44.20	44.33	43.86	44.12	639000.00
2004-06-02 15:30:00	:AEE	44.33	44.52	44.25	44.46	464500.00
2004-06-03 15:30:00	:AEE	44.46	44.60	44.26	44.54	768700.00
