datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:AEP	32.63	32.69	32.22	32.22	1079000.00
2004-04-08 15:30:00	:AEP	32.24	32.48	32.04	32.10	1043500.00
2004-04-12 15:30:00	:AEP	32.25	32.30	31.18	31.28	1932100.00
2004-04-13 15:30:00	:AEP	31.24	31.24	30.29	30.67	2257500.00
2004-04-14 15:30:00	:AEP	30.51	30.82	30.30	30.48	2226000.00
2004-04-15 15:30:00	:AEP	30.60	31.07	30.55	30.90	2982900.00
2004-04-16 15:30:00	:AEP	31.10	31.10	30.82	30.99	1274000.00
2004-04-19 15:30:00	:AEP	30.96	30.99	30.58	30.65	936800.00
2004-04-20 15:30:00	:AEP	30.65	30.98	30.43	30.43	1035100.00
2004-04-21 15:30:00	:AEP	30.41	30.60	29.92	30.12	1360300.00
2004-04-22 15:30:00	:AEP	30.13	31.05	30.06	30.96	1497400.00
2004-04-23 15:30:00	:AEP	30.85	31.11	30.75	30.77	1465100.00
2004-04-26 15:30:00	:AEP	30.92	31.07	30.80	30.82	909500.00
2004-04-27 15:30:00	:AEP	30.98	31.00	30.50	30.59	1354800.00
2004-04-28 15:30:00	:AEP	30.62	30.80	30.34	30.40	2021900.00
2004-04-29 15:30:00	:AEP	30.50	31.17	30.37	30.63	3114400.00
2004-04-30 15:30:00	:AEP	30.72	30.88	30.31	30.44	1205100.00
2004-05-03 15:30:00	:AEP	30.42	30.93	30.10	30.87	1284700.00
2004-05-04 15:30:00	:AEP	31.00	31.35	30.85	31.04	1561500.00
2004-05-05 15:30:00	:AEP	31.15	31.24	30.86	30.93	1895200.00
2004-05-06 15:30:00	:AEP	30.58	30.61	29.98	30.48	1270900.00
2004-05-07 15:30:00	:AEP	30.40	30.43	29.34	29.57	1703500.00
2004-05-10 15:30:00	:AEP	29.00	29.37	28.50	29.01	1985800.00
2004-05-11 15:30:00	:AEP	29.01	29.25	28.82	29.03	1651400.00
2004-05-12 15:30:00	:AEP	29.03	29.26	28.68	29.19	1428100.00
2004-05-13 15:30:00	:AEP	29.19	29.52	29.09	29.45	1416800.00
2004-05-14 15:30:00	:AEP	29.20	30.09	29.20	29.88	1554200.00
2004-05-17 15:30:00	:AEP	29.75	29.76	29.26	29.42	1444400.00
2004-05-18 15:30:00	:AEP	29.72	29.82	29.49	29.56	992800.00
2004-05-19 15:30:00	:AEP	29.77	29.88	29.48	29.55	1041200.00
2004-05-20 15:30:00	:AEP	29.50	30.04	29.50	29.89	881000.00
2004-05-21 15:30:00	:AEP	30.01	30.21	29.83	29.90	899300.00
2004-05-24 15:30:00	:AEP	29.95	30.48	29.95	30.47	1062300.00
2004-05-25 15:30:00	:AEP	30.25	31.00	30.10	30.98	1180100.00
2004-05-26 15:30:00	:AEP	30.85	31.22	30.71	31.03	700700.00
