datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:ALGN	20.75	21.05	20.50	20.58	737431.00
2004-04-08 15:30:00	:ALGN	20.74	20.96	20.19	20.42	517974.00
2004-04-12 15:30:00	:ALGN	20.35	22.75	20.17	22.43	921774.00
2004-04-13 15:30:00	:ALGN	22.59	22.60	21.42	21.50	508099.00
2004-04-14 15:30:00	:ALGN	21.41	22.15	20.75	22.03	386221.00
2004-04-15 15:30:00	:ALGN	22.07	22.29	21.54	21.70	425804.00
2004-04-16 15:30:00	:ALGN	21.76	22.40	21.30	22.06	246306.00
2004-04-19 15:30:00	:ALGN	22.09	22.81	21.90	22.80	219024.00
2004-04-20 15:30:00	:ALGN	22.75	22.75	20.68	20.77	823270.00
2004-04-21 15:30:00	:ALGN	20.60	21.73	20.00	21.24	464649.00
2004-04-22 15:30:00	:ALGN	21.00	21.00	18.37	19.20	2042531.00
2004-04-23 15:30:00	:ALGN	19.32	19.32	18.80	19.00	535726.00
2004-04-26 15:30:00	:ALGN	19.25	19.29	18.75	18.98	606214.00
2004-04-27 15:30:00	:ALGN	18.90	19.15	18.70	18.95	476372.00
2004-04-28 15:30:00	:ALGN	18.86	19.00	18.16	18.20	453584.00
2004-04-29 15:30:00	:ALGN	18.16	18.60	17.84	18.03	371612.00
2004-04-30 15:30:00	:ALGN	18.38	18.38	17.32	17.36	358967.00
2004-05-03 15:30:00	:ALGN	17.67	18.60	17.28	18.46	671934.00
2004-05-04 15:30:00	:ALGN	18.60	18.86	17.88	18.74	351967.00
2004-05-05 15:30:00	:ALGN	18.75	18.95	18.43	18.86	250148.00
2004-05-06 15:30:00	:ALGN	18.84	18.84	17.98	18.30	344786.00
2004-05-07 15:30:00	:ALGN	18.23	18.87	17.97	18.00	234607.00
2004-05-10 15:30:00	:ALGN	18.00	18.34	17.25	18.04	513610.00
2004-05-11 15:30:00	:ALGN	18.30	18.69	18.02	18.68	242945.00
2004-05-12 15:30:00	:ALGN	18.73	18.98	18.05	18.80	391245.00
2004-05-13 15:30:00	:ALGN	18.48	19.34	18.46	19.11	514045.00
2004-05-14 15:30:00	:ALGN	19.15	19.49	18.95	19.32	324639.00
2004-05-17 15:30:00	:ALGN	19.19	19.50	18.56	19.42	350297.00
2004-05-18 15:30:00	:ALGN	19.49	19.64	19.20	19.61	289492.00
2004-05-19 15:30:00	:ALGN	19.70	20.19	19.20	19.40	395451.00
2004-05-20 15:30:00	:ALGN	19.52	19.75	19.00	19.46	208883.00
2004-05-21 15:30:00	:ALGN	19.40	19.40	19.12	19.27	251097.00
2004-05-24 15:30:00	:ALGN	19.55	20.00	19.29	19.64	444531.00
2004-05-25 15:30:00	:ALGN	19.55	20.00	19.49	19.97	395788.00
2004-05-26 15:30:00	:ALGN	19.20	19.45	18.80	18.91	977863.00
2004-05-27 15:30:00	:ALGN	18.99	19.21	18.48	19.09	529157.00
2004-05-28 15:30:00	:ALGN	19.18	19.30	18.70	19.06	569930.00
2004-06-01 15:30:00	:ALGN	19.00	19.30	18.66	18.81	493938.00
2004-06-02 15:30:00	:ALGN	18.92	19.27	18.82	19.08	819199.00
2004-06-03 15:30:00	:ALGN	19.00	19.27	18.78	18.91	451127.00
2004-06-04 15:30:00	:ALGN	19.00	19.10	18.33	18.59	411898.00
2004-06-07 15:30:00	:ALGN	18.80	18.80	18.30	18.68	677748.00
2004-06-08 15:30:00	:ALGN	18.70	18.70	18.26	18.40	392233.00
2004-06-09 15:30:00	:ALGN	18.47	18.47	17.78	17.84	565096.00
2004-06-10 15:30:00	:ALGN	17.74	18.56	17.73	17.83	446825.00
2004-06-14 15:30:00	:ALGN	17.85	17.97	17.40	17.40	760197.00
