datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:AMD	17.00	17.08	16.71	16.90	10304500.00
2004-04-08 15:30:00	:AMD	17.24	17.25	16.88	17.00	6985301.00
2004-04-12 15:30:00	:AMD	17.12	17.38	17.00	17.37	6430102.00
2004-04-13 15:30:00	:AMD	17.50	17.60	17.15	17.16	16673102.00
2004-04-14 15:30:00	:AMD	16.75	17.42	16.75	17.12	12801000.00
2004-04-15 15:30:00	:AMD	17.12	17.20	15.81	16.22	24917104.00
2004-04-16 15:30:00	:AMD	16.22	16.29	15.75	16.05	10064699.00
2004-04-19 15:30:00	:AMD	16.10	16.32	16.05	16.29	10693602.00
2004-04-20 15:30:00	:AMD	16.45	16.55	15.77	15.79	7287699.00
2004-04-21 15:30:00	:AMD	15.94	16.32	15.63	16.28	16003301.00
2004-04-22 15:30:00	:AMD	16.13	16.62	15.85	16.46	7748602.00
2004-04-23 15:30:00	:AMD	16.60	16.74	16.20	16.36	7417699.00
2004-04-26 15:30:00	:AMD	16.37	16.42	15.92	16.00	5856301.00
2004-04-27 15:30:00	:AMD	16.00	16.18	15.55	15.59	8975801.00
2004-04-28 15:30:00	:AMD	15.40	15.57	14.50	15.17	10847602.00
2004-04-29 15:30:00	:AMD	15.17	15.39	14.39	14.60	10656898.00
2004-04-30 15:30:00	:AMD	14.66	15.10	13.98	14.22	10593602.00
2004-05-03 15:30:00	:AMD	14.69	14.69	14.05	14.22	9114000.00
2004-05-04 15:30:00	:AMD	14.33	14.62	14.23	14.46	7402000.00
2004-05-05 15:30:00	:AMD	14.46	14.58	14.27	14.35	8738102.00
2004-05-06 15:30:00	:AMD	14.27	14.39	14.10	14.37	7945301.00
2004-05-07 15:30:00	:AMD	14.31	14.98	14.31	14.91	11178699.00
2004-05-10 15:30:00	:AMD	14.90	15.30	14.69	15.02	10444500.00
2004-05-11 15:30:00	:AMD	15.28	15.50	15.22	15.48	8056000.00
2004-05-12 15:30:00	:AMD	15.36	15.46	14.47	15.14	13228801.00
2004-05-13 15:30:00	:AMD	15.14	15.14	14.37	14.67	11439801.00
2004-05-14 15:30:00	:AMD	14.67	14.77	13.84	13.87	17773296.00
2004-05-17 15:30:00	:AMD	13.93	14.19	13.65	13.88	13047699.00
2004-05-18 15:30:00	:AMD	14.05	14.11	13.91	13.95	7420398.00
2004-05-19 15:30:00	:AMD	14.45	15.00	14.32	14.49	14459301.00
2004-05-20 15:30:00	:AMD	14.49	14.61	14.15	14.19	7731199.00
2004-05-21 15:30:00	:AMD	14.43	14.44	14.17	14.24	6807801.00
2004-05-24 15:30:00	:AMD	14.43	14.57	14.26	14.36	6281898.00
2004-05-25 15:30:00	:AMD	14.30	14.96	14.20	14.92	9225801.00
2004-05-26 15:30:00	:AMD	14.85	15.31	14.82	15.12	8011500.00
2004-05-27 15:30:00	:AMD	15.25	15.41	15.03	15.20	5610602.00
2004-05-28 15:30:00	:AMD	15.24	15.55	15.14	15.55	5682699.00
2004-06-01 15:30:00	:AMD	15.50	15.60	15.15	15.30	5966000.00
2004-06-02 15:30:00	:AMD	15.35	15.40	14.89	15.08	6468102.00
2004-06-03 15:30:00	:AMD	14.95	14.95	14.58	14.59	7650801.00
