datetime	symbol	open	high	low	close	volume
2005-09-15 15:30:00	:AMP	38.02	38.10	37.00	37.01	1529800.00
2005-09-16 15:30:00	:AMP	37.00	37.00	36.60	36.60	62400.00
2005-09-19 15:30:00	:AMP	36.60	36.70	36.45	36.70	1162300.00
2005-09-20 15:30:00	:AMP	36.60	37.00	36.60	36.70	654900.00
2005-09-21 15:30:00	:AMP	36.60	36.60	36.00	36.40	424300.00
2005-09-22 15:30:00	:AMP	36.40	37.20	36.40	37.20	864800.00
2005-09-23 15:30:00	:AMP	37.20	38.10	37.20	37.68	1249900.00
2005-09-26 15:30:00	:AMP	37.75	38.15	37.75	37.75	821400.00
2005-09-27 15:30:00	:AMP	37.75	37.90	37.14	37.25	1514000.00
2005-09-28 15:30:00	:AMP	37.24	37.40	36.80	37.00	875700.00
2005-09-29 15:30:00	:AMP	36.91	36.91	36.25	36.60	2659200.00
2005-09-30 15:30:00	:AMP	36.60	36.60	35.60	35.80	4014800.00
2005-10-03 15:30:00	:AMP	35.30	35.90	34.17	34.70	10007602.00
2005-10-04 15:30:00	:AMP	34.00	34.30	33.25	33.90	8040301.00
2005-10-05 15:30:00	:AMP	34.00	34.10	33.32	33.65	6304398.00
2005-10-06 15:30:00	:AMP	33.40	33.65	33.21	33.37	7552199.00
2005-10-07 15:30:00	:AMP	33.28	33.60	33.13	33.60	7055199.00
2005-10-10 15:30:00	:AMP	33.60	33.60	33.00	33.03	3400800.00
2005-10-11 15:30:00	:AMP	33.04	33.39	32.98	33.00	3675400.00
2005-10-12 15:30:00	:AMP	32.90	33.30	32.72	32.77	4134602.00
2005-10-13 15:30:00	:AMP	32.53	32.70	32.48	32.55	3184100.00
2005-10-14 15:30:00	:AMP	32.52	32.75	32.38	32.39	2487500.00
2005-10-17 15:30:00	:AMP	32.34	32.77	32.00	32.48	1910400.00
2005-10-18 15:30:00	:AMP	32.30	32.55	32.15	32.43	1737900.00
2005-10-19 15:30:00	:AMP	32.28	33.16	32.21	33.16	1784400.00
2005-10-20 15:30:00	:AMP	33.16	34.06	33.10	33.58	2789600.00
2005-10-21 15:30:00	:AMP	33.78	34.50	33.63	34.00	2881800.00
2005-10-24 15:30:00	:AMP	35.25	36.48	34.93	36.29	4033400.00
2005-10-25 15:30:00	:AMP	35.34	37.47	35.28	37.18	2915400.00
2005-10-26 15:30:00	:AMP	36.85	37.72	36.70	37.00	2208000.00
2005-10-27 15:30:00	:AMP	36.95	37.00	35.80	36.28	2033000.00
2005-10-28 15:30:00	:AMP	36.50	37.20	36.21	37.10	1430200.00
2005-10-31 15:30:00	:AMP	37.21	37.60	36.96	37.22	1219600.00
2005-11-01 15:30:00	:AMP	36.90	36.96	36.46	36.56	1575200.00
2005-11-02 15:30:00	:AMP	36.22	36.90	36.18	36.80	1502100.00
2005-11-03 15:30:00	:AMP	36.72	37.62	36.72	37.42	1887900.00
2005-11-04 15:30:00	:AMP	37.33	37.42	37.02	37.17	1731900.00
2005-11-07 15:30:00	:AMP	37.10	37.17	36.82	37.02	1658700.00
2005-11-08 15:30:00	:AMP	36.65	37.20	36.65	36.96	2119200.00
2005-11-09 15:30:00	:AMP	36.96	38.18	36.90	37.88	2203900.00
2005-11-10 15:30:00	:AMP	37.75	39.30	37.75	38.92	2513200.00
2005-11-11 15:30:00	:AMP	38.50	38.96	38.47	38.91	1229800.00
2005-11-14 15:30:00	:AMP	38.80	39.40	38.51	39.34	1160000.00
2005-11-15 15:30:00	:AMP	39.00	39.40	38.47	39.21	1793000.00
2005-11-16 15:30:00	:AMP	39.35	40.00	39.09	39.83	2568800.00
2005-11-17 15:30:00	:AMP	40.10	41.18	39.78	40.00	2628100.00
2005-11-18 15:30:00	:AMP	40.45	40.87	39.64	39.92	1556000.00
2005-11-21 15:30:00	:AMP	40.17	42.00	40.17	41.58	2906900.00
2005-11-22 15:30:00	:AMP	41.40	42.39	41.29	42.15	2368700.00
2005-11-23 15:30:00	:AMP	42.20	43.76	42.20	43.47	2149100.00
2005-11-25 15:30:00	:AMP	44.10	44.25	42.95	43.45	468300.00
2005-11-28 15:30:00	:AMP	43.40	44.20	43.10	43.90	2377400.00
2005-11-29 15:30:00	:AMP	43.75	43.99	41.73	42.55	2962200.00
2005-11-30 15:30:00	:AMP	42.90	43.25	41.30	42.05	2761100.00
2005-12-01 15:30:00	:AMP	41.95	43.88	41.89	43.31	1833000.00
2005-12-02 15:30:00	:AMP	43.25	43.74	42.60	43.23	1057900.00
2005-12-05 15:30:00	:AMP	43.22	43.70	42.91	43.52	1042900.00
2005-12-06 15:30:00	:AMP	43.70	43.84	43.48	43.61	1154900.00
2005-12-07 15:30:00	:AMP	43.59	44.78	43.22	43.36	2063900.00
2005-12-08 15:30:00	:AMP	43.65	44.05	43.31	43.65	1227800.00
2005-12-09 15:30:00	:AMP	43.64	44.02	43.36	43.76	515400.00
2005-12-12 15:30:00	:AMP	43.75	43.76	42.88	43.13	1504900.00
2005-12-13 15:30:00	:AMP	42.90	43.37	42.51	42.83	1321300.00
2005-12-14 15:30:00	:AMP	42.83	43.03	41.52	41.53	1701600.00
2005-12-15 15:30:00	:AMP	41.43	41.90	41.09	41.19	1220600.00
2005-12-16 15:30:00	:AMP	41.44	42.41	41.41	42.26	1305600.00
2005-12-19 15:30:00	:AMP	42.31	42.63	41.12	41.31	676200.00
2005-12-20 15:30:00	:AMP	41.25	42.40	41.00	41.57	1121000.00
2005-12-21 15:30:00	:AMP	41.57	42.60	40.97	41.55	1313300.00
2005-12-22 15:30:00	:AMP	41.57	42.39	41.20	41.93	808300.00
2005-12-23 15:30:00	:AMP	39.42	42.56	39.42	41.93	576000.00
2005-12-27 15:30:00	:AMP	41.90	42.08	40.80	40.90	941900.00
2005-12-28 15:30:00	:AMP	40.90	41.33	40.80	41.05	863300.00
2005-12-29 15:30:00	:AMP	41.15	41.17	40.58	40.84	718300.00
2005-12-30 15:30:00	:AMP	40.51	41.08	40.46	41.00	511700.00
2006-01-03 15:30:00	:AMP	41.30	42.20	40.90	42.10	1351600.00
2006-01-04 15:30:00	:AMP	43.00	44.39	42.88	43.42	3492100.00
2006-01-05 15:30:00	:AMP	43.54	44.50	43.17	43.93	1777200.00
2006-01-06 15:30:00	:AMP	43.94	44.20	43.38	43.60	2265200.00
2006-01-09 15:30:00	:AMP	43.60	45.10	43.60	45.09	1310800.00
2006-01-10 15:30:00	:AMP	44.80	44.87	44.46	44.66	1254200.00
2006-01-11 15:30:00	:AMP	44.73	44.78	43.96	44.20	915500.00
2006-01-12 15:30:00	:AMP	44.21	44.58	43.95	44.16	1161500.00
2006-01-13 15:30:00	:AMP	44.10	44.25	43.71	43.88	907200.00
2006-01-17 15:30:00	:AMP	43.65	43.90	42.97	43.53	684400.00
2006-01-18 15:30:00	:AMP	43.30	43.90	42.27	42.32	976600.00
2006-01-19 15:30:00	:AMP	42.45	42.91	42.03	42.60	947100.00
2006-01-20 15:30:00	:AMP	42.50	42.55	41.88	42.20	1223600.00
2006-01-23 15:30:00	:AMP	42.44	43.90	42.42	43.50	1574200.00
2006-01-24 15:30:00	:AMP	42.10	43.70	41.69	43.48	2090500.00
2006-01-25 15:30:00	:AMP	43.49	43.49	42.94	43.21	1058600.00
2006-01-26 15:30:00	:AMP	43.95	44.30	43.01	43.30	1300600.00
2006-01-27 15:30:00	:AMP	42.88	43.69	41.76	42.40	2305000.00
2006-01-30 15:30:00	:AMP	42.40	42.45	41.50	41.55	1937300.00
2006-01-31 15:30:00	:AMP	41.40	41.45	40.51	40.69	2449400.00
2006-02-01 15:30:00	:AMP	40.74	43.12	40.30	41.25	1414900.00
2006-02-02 15:30:00	:AMP	41.30	42.69	41.30	42.51	1530900.00
2006-02-03 15:30:00	:AMP	42.15	43.05	41.57	42.60	2156700.00
