datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:APA	42.20	42.79	42.01	42.32	1443400.00
2004-04-08 15:30:00	:APA	43.20	43.20	42.28	42.54	2009100.00
2004-04-12 15:30:00	:APA	42.76	44.09	42.61	43.22	2930700.00
2004-04-13 15:30:00	:APA	43.55	44.06	43.44	43.46	2857100.00
2004-04-14 15:30:00	:APA	42.81	44.31	42.81	43.99	2752800.00
2004-04-15 15:30:00	:APA	43.80	44.97	43.79	44.85	2304200.00
2004-04-16 15:30:00	:APA	45.00	45.74	44.90	45.48	2816700.00
2004-04-19 15:30:00	:APA	45.48	45.99	44.72	45.03	2197100.00
2004-04-20 15:30:00	:APA	45.00	45.28	44.09	44.09	1694900.00
2004-04-21 15:30:00	:APA	43.85	44.26	43.13	44.07	1777100.00
2004-04-22 15:30:00	:APA	43.00	44.50	42.92	43.57	3727200.00
2004-04-23 15:30:00	:APA	43.98	43.98	42.75	42.94	3079200.00
2004-04-26 15:30:00	:APA	42.75	43.40	42.75	42.94	2234000.00
2004-04-27 15:30:00	:APA	43.15	44.49	43.09	44.27	2222600.00
2004-04-28 15:30:00	:APA	44.27	44.88	43.50	43.57	2257400.00
2004-04-29 15:30:00	:APA	43.30	43.45	41.00	41.67	3155100.00
2004-04-30 15:30:00	:APA	41.77	42.45	41.42	41.87	2331900.00
2004-05-03 15:30:00	:APA	42.02	43.16	41.79	43.02	2688000.00
2004-05-04 15:30:00	:APA	43.15	43.57	42.44	42.79	2189000.00
2004-05-05 15:30:00	:APA	42.45	43.05	42.00	42.92	1951500.00
2004-05-06 15:30:00	:APA	42.93	43.18	42.09	42.68	1487300.00
2004-05-07 15:30:00	:APA	42.60	42.90	41.41	41.51	1580400.00
2004-05-10 15:30:00	:APA	40.25	40.51	39.50	39.74	3765800.00
2004-05-11 15:30:00	:APA	40.00	41.00	40.00	40.86	2616100.00
2004-05-12 15:30:00	:APA	40.50	40.84	39.75	40.15	3490400.00
2004-05-13 15:30:00	:APA	40.15	40.53	39.61	40.00	3092100.00
2004-05-14 15:30:00	:APA	40.10	41.73	40.10	41.11	1828600.00
2004-05-17 15:30:00	:APA	41.00	41.60	40.63	41.29	2260200.00
2004-05-18 15:30:00	:APA	40.90	41.20	39.45	39.56	2844300.00
2004-05-19 15:30:00	:APA	39.75	40.41	39.50	39.58	2542200.00
2004-05-20 15:30:00	:APA	39.95	40.27	39.28	39.48	2162400.00
2004-05-21 15:30:00	:APA	39.48	39.64	38.53	38.97	1867600.00
2004-05-24 15:30:00	:APA	39.00	40.88	39.00	40.80	2693500.00
2004-05-25 15:30:00	:APA	41.05	41.98	40.79	41.88	3436900.00
