datetime	symbol	open	high	low	close	volume
2009-08-06 15:30:00	:AVGO	16.50	16.91	15.56	16.18	24198416.00
2009-08-07 15:30:00	:AVGO	16.15	16.76	16.03	16.43	2454272.00
2009-08-10 15:30:00	:AVGO	16.63	16.63	15.61	15.97	2420915.00
2009-08-11 15:30:00	:AVGO	15.98	16.00	15.50	15.67	2305371.00
2009-08-12 15:30:00	:AVGO	16.15	16.20	15.66	16.00	1451293.00
2009-08-13 15:30:00	:AVGO	16.00	16.72	16.00	16.55	1150559.00
2009-08-14 15:30:00	:AVGO	16.50	17.00	16.25	16.60	637782.00
2009-08-17 15:30:00	:AVGO	16.27	16.37	16.20	16.22	254388.00
2009-08-18 15:30:00	:AVGO	16.48	17.20	16.35	17.07	1446616.00
2009-08-19 15:30:00	:AVGO	16.84	17.94	16.80	17.89	2070763.00
2009-08-20 15:30:00	:AVGO	17.95	17.95	17.29	17.76	1882077.00
2009-08-21 15:30:00	:AVGO	17.79	17.97	17.58	17.82	863511.00
2009-08-24 15:30:00	:AVGO	17.52	17.85	17.30	17.50	1021584.00
2009-08-25 15:30:00	:AVGO	17.65	17.90	17.55	17.85	530724.00
2009-08-26 15:30:00	:AVGO	17.69	17.85	17.15	17.85	708574.00
2009-08-27 15:30:00	:AVGO	17.85	18.21	17.55	18.16	1161100.00
2009-08-28 15:30:00	:AVGO	18.10	19.00	18.00	18.47	1294949.00
2009-08-31 15:30:00	:AVGO	18.35	18.40	17.81	18.20	1004719.00
2009-09-01 15:30:00	:AVGO	18.25	18.44	16.94	17.85	1383480.00
2009-09-02 15:30:00	:AVGO	17.76	18.25	17.48	17.68	1293388.00
2009-09-03 15:30:00	:AVGO	17.97	17.97	17.00	17.45	3657607.00
2009-09-04 15:30:00	:AVGO	17.75	18.00	17.49	17.76	1158584.00
2009-09-08 15:30:00	:AVGO	17.76	17.93	17.45	17.70	574890.00
2009-09-09 15:30:00	:AVGO	17.85	17.85	17.22	17.26	551181.00
2009-09-10 15:30:00	:AVGO	17.01	17.46	16.95	17.05	415199.00
2009-09-11 15:30:00	:AVGO	17.00	17.33	16.54	16.88	620281.00
2009-09-14 15:30:00	:AVGO	16.64	16.90	16.31	16.65	1614491.00
2009-09-15 15:30:00	:AVGO	17.25	17.35	16.63	17.18	1987187.00
2009-09-16 15:30:00	:AVGO	17.40	17.75	17.11	17.58	2022369.00
2009-09-17 15:30:00	:AVGO	17.66	17.90	16.53	16.64	1446351.00
2009-09-18 15:30:00	:AVGO	16.57	17.02	16.18	16.20	899815.00
2009-09-21 15:30:00	:AVGO	16.28	16.63	15.87	16.61	552956.00
2009-09-22 15:30:00	:AVGO	16.96	17.37	16.82	17.25	1114012.00
2009-09-23 15:30:00	:AVGO	17.62	17.79	17.30	17.40	530281.00
2009-09-24 15:30:00	:AVGO	17.33	17.85	16.75	17.49	778713.00
2009-09-25 15:30:00	:AVGO	17.48	17.48	17.10	17.13	468435.00
2009-09-28 15:30:00	:AVGO	17.32	17.85	17.03	17.65	233528.00
2009-09-29 15:30:00	:AVGO	17.55	17.84	16.95	17.03	356673.00
2009-09-30 15:30:00	:AVGO	17.00	17.33	16.96	17.07	512589.00
2009-10-01 15:30:00	:AVGO	17.00	17.09	16.21	16.31	660488.00
2009-10-02 15:30:00	:AVGO	16.20	16.36	15.90	16.09	629503.00
2009-10-05 15:30:00	:AVGO	16.10	16.53	16.00	16.49	188821.00
2009-10-06 15:30:00	:AVGO	16.74	17.20	16.44	16.47	469372.00
2009-10-07 15:30:00	:AVGO	16.57	16.61	15.92	16.13	291687.00
2009-10-08 15:30:00	:AVGO	16.11	16.18	15.94	16.01	557222.00
2009-10-09 15:30:00	:AVGO	15.98	16.45	15.94	16.25	870466.00
2009-10-12 15:30:00	:AVGO	16.22	16.45	16.04	16.34	1288739.00
2009-10-13 15:30:00	:AVGO	16.19	16.67	16.15	16.53	557288.00
2009-10-14 15:30:00	:AVGO	16.84	17.00	16.54	16.86	698887.00
2009-10-15 15:30:00	:AVGO	17.40	17.95	17.10	17.16	2091929.00
2009-10-16 15:30:00	:AVGO	17.23	17.23	16.21	16.43	1263745.00
2009-10-19 15:30:00	:AVGO	16.46	16.64	16.06	16.24	2142809.00
2009-10-20 15:30:00	:AVGO	16.34	16.73	16.27	16.53	488930.00
2009-10-21 15:30:00	:AVGO	16.37	16.91	16.11	16.49	233705.00
2009-10-22 15:30:00	:AVGO	16.33	16.33	15.61	16.28	983391.00
2009-10-23 15:30:00	:AVGO	16.13	16.41	15.92	16.05	1134065.00
2009-10-26 14:30:00	:AVGO	15.91	16.12	15.81	15.84	162329.00
2009-10-27 14:30:00	:AVGO	15.95	15.99	15.26	15.45	328758.00
2009-10-28 14:30:00	:AVGO	15.50	15.50	14.89	14.93	621970.00
2009-10-29 14:30:00	:AVGO	14.95	15.20	14.72	15.04	1183263.00
2009-10-30 14:30:00	:AVGO	15.10	15.19	14.87	15.00	278090.00
2009-11-02 15:30:00	:AVGO	15.10	15.10	14.72	14.87	276541.00
2009-11-03 15:30:00	:AVGO	14.68	14.82	14.44	14.49	363612.00
2009-11-04 15:30:00	:AVGO	14.60	15.25	14.33	14.78	805218.00
2009-11-05 15:30:00	:AVGO	15.02	15.74	14.85	15.32	274082.00
2009-11-06 15:30:00	:AVGO	15.32	15.69	14.87	15.29	257447.00
2009-11-09 15:30:00	:AVGO	15.26	15.74	15.09	15.66	252901.00
2009-11-10 15:30:00	:AVGO	15.69	15.69	15.18	15.45	146765.00
2009-11-11 15:30:00	:AVGO	15.53	15.53	15.12	15.36	153415.00
2009-11-12 15:30:00	:AVGO	15.40	15.95	15.40	15.60	129907.00
2009-11-13 15:30:00	:AVGO	15.61	15.75	15.41	15.58	62100.00
2009-11-16 15:30:00	:AVGO	15.63	16.21	15.53	16.01	155919.00
2009-11-17 15:30:00	:AVGO	15.83	16.19	15.58	16.07	98414.00
2009-11-18 15:30:00	:AVGO	16.15	16.15	15.81	16.03	115476.00
2009-11-19 15:30:00	:AVGO	15.84	15.89	15.25	15.57	116564.00
2009-11-20 15:30:00	:AVGO	15.56	15.65	15.31	15.44	423659.00
2009-11-23 15:30:00	:AVGO	15.54	15.61	15.15	15.19	465213.00
2009-11-24 15:30:00	:AVGO	15.10	15.33	15.01	15.26	522719.00
2009-11-25 15:30:00	:AVGO	15.38	15.98	15.36	15.50	135298.00
2009-11-27 15:30:00	:AVGO	15.13	15.88	15.06	15.86	61579.00
2009-11-30 15:30:00	:AVGO	15.87	15.99	15.25	15.86	276449.00
2009-12-01 15:30:00	:AVGO	15.90	16.34	15.90	15.96	417794.00
2009-12-02 15:30:00	:AVGO	16.03	16.11	15.38	15.61	846414.00
2009-12-03 15:30:00	:AVGO	15.58	15.94	15.58	15.93	507845.00
2009-12-04 15:30:00	:AVGO	16.40	16.71	15.60	16.52	946790.00
2009-12-07 15:30:00	:AVGO	16.50	16.93	16.50	16.87	308588.00
2009-12-08 15:30:00	:AVGO	16.61	16.97	16.55	16.75	249408.00
2009-12-09 15:30:00	:AVGO	16.61	16.81	16.34	16.81	96618.00
2009-12-10 15:30:00	:AVGO	16.80	16.99	16.75	16.77	255423.00
2009-12-11 15:30:00	:AVGO	16.69	16.70	16.46	16.58	77312.00
2009-12-14 15:30:00	:AVGO	16.74	16.90	16.69	16.85	224736.00
2009-12-15 15:30:00	:AVGO	16.85	16.90	16.71	16.74	140400.00
2009-12-16 15:30:00	:AVGO	16.88	17.13	16.74	17.00	315631.00
2009-12-17 15:30:00	:AVGO	16.91	16.98	16.14	16.31	148939.00
2009-12-18 15:30:00	:AVGO	16.30	16.80	16.23	16.39	417801.00
2009-12-21 15:30:00	:AVGO	16.79	16.85	16.36	16.49	144248.00
2009-12-22 15:30:00	:AVGO	16.50	16.73	16.23	16.73	312700.00
2009-12-23 15:30:00	:AVGO	16.75	16.84	16.65	16.78	223407.00
2009-12-24 15:30:00	:AVGO	16.72	17.00	16.72	16.78	30713.00
2009-12-28 15:30:00	:AVGO	16.75	17.80	16.75	17.38	795325.00
2009-12-29 15:30:00	:AVGO	17.52	17.68	17.40	17.53	227567.00
2009-12-30 15:30:00	:AVGO	17.31	17.78	17.31	17.69	302494.00
2009-12-31 15:30:00	:AVGO	17.61	18.29	17.61	18.29	555795.00
2010-01-04 15:30:00	:AVGO	18.30	18.90	18.01	18.86	538645.00
2010-01-05 15:30:00	:AVGO	18.95	19.24	18.10	19.00	301037.00
2010-01-06 15:30:00	:AVGO	18.95	19.30	18.59	19.15	533035.00
2010-01-07 15:30:00	:AVGO	19.04	19.17	18.65	19.03	271729.00
2010-01-08 15:30:00	:AVGO	18.90	19.30	18.85	19.17	289844.00
2010-01-11 15:30:00	:AVGO	19.20	19.55	19.03	19.29	512688.00
2010-01-12 15:30:00	:AVGO	19.14	19.14	18.74	19.00	916630.00
2010-01-13 15:30:00	:AVGO	18.96	18.96	18.25	18.42	943829.00
2010-01-14 15:30:00	:AVGO	18.48	18.87	18.15	18.43	1065375.00
2010-01-15 15:30:00	:AVGO	18.56	18.56	18.15	18.24	160176.00
2010-01-19 15:30:00	:AVGO	17.90	18.15	17.30	17.81	381220.00
2010-01-20 15:30:00	:AVGO	17.71	18.01	17.44	17.96	193715.00
2010-01-21 15:30:00	:AVGO	17.87	18.49	17.79	17.98	338505.00
2010-01-22 15:30:00	:AVGO	17.88	18.06	17.38	17.56	923479.00
2010-01-25 15:30:00	:AVGO	17.67	17.80	17.46	17.65	261310.00
2010-01-26 15:30:00	:AVGO	17.03	18.00	16.84	17.76	765365.00
2010-01-27 15:30:00	:AVGO	17.64	17.95	17.25	17.41	696501.00
2010-01-28 15:30:00	:AVGO	17.55	17.74	17.25	17.72	14457574.00
2010-01-29 15:30:00	:AVGO	17.72	17.86	17.25	17.38	3356910.00
2010-02-01 15:30:00	:AVGO	17.38	17.69	17.29	17.50	509471.00
2010-02-02 15:30:00	:AVGO	17.51	17.80	17.35	17.70	1772835.00
2010-02-03 15:30:00	:AVGO	17.54	17.69	17.48	17.62	1285943.00
2010-02-04 15:30:00	:AVGO	17.38	17.58	17.06	17.22	1376659.00
2010-02-05 15:30:00	:AVGO	17.25	17.32	16.60	17.20	538668.00
2010-02-08 15:30:00	:AVGO	17.08	17.29	16.87	17.01	498280.00
2010-02-09 15:30:00	:AVGO	17.04	17.38	16.82	16.99	189575.00
2010-02-10 15:30:00	:AVGO	16.86	16.94	16.51	16.80	577918.00
2010-02-11 15:30:00	:AVGO	16.76	17.25	16.50	17.13	369975.00
2010-02-12 15:30:00	:AVGO	16.98	17.39	16.79	17.36	163128.00
2010-02-16 15:30:00	:AVGO	17.40	17.51	17.27	17.48	422616.00
2010-02-17 15:30:00	:AVGO	17.60	17.60	17.17	17.41	507673.00
2010-02-18 15:30:00	:AVGO	17.47	17.50	17.30	17.45	461857.00
2010-02-19 15:30:00	:AVGO	17.50	17.62	17.36	17.53	374576.00
2010-02-22 15:30:00	:AVGO	17.50	17.59	17.23	17.35	846493.00
2010-02-23 15:30:00	:AVGO	17.35	17.49	17.13	17.38	1820172.00
2010-02-24 15:30:00	:AVGO	17.50	17.87	17.41	17.74	852244.00
2010-02-25 15:30:00	:AVGO	18.00	18.39	17.69	18.09	2319621.00
2010-02-26 15:30:00	:AVGO	18.05	18.19	17.96	18.15	280642.00
2010-03-01 15:30:00	:AVGO	18.70	18.80	18.12	18.30	872180.00
2010-03-02 15:30:00	:AVGO	18.19	18.74	18.19	18.72	980916.00
2010-03-03 15:30:00	:AVGO	18.75	19.94	18.75	18.91	1063392.00
2010-03-04 15:30:00	:AVGO	19.01	19.24	18.50	19.06	396602.00
2010-03-05 15:30:00	:AVGO	19.05	19.66	19.05	19.36	376608.00
2010-03-08 15:30:00	:AVGO	19.48	19.52	19.09	19.31	221929.00
2010-03-09 15:30:00	:AVGO	19.44	20.00	19.15	19.35	922640.00
2010-03-10 15:30:00	:AVGO	19.46	19.98	19.36	19.74	544869.00
2010-03-11 15:30:00	:AVGO	19.79	19.97	19.79	19.86	394611.00
2010-03-12 15:30:00	:AVGO	19.90	20.00	19.44	19.65	498329.00
2010-03-15 14:30:00	:AVGO	19.56	19.56	19.03	19.42	179156.00
2010-03-16 14:30:00	:AVGO	19.42	19.68	19.16	19.50	162224.00
2010-03-17 14:30:00	:AVGO	19.59	19.99	19.56	19.89	309378.00
2010-03-18 14:30:00	:AVGO	19.94	20.00	19.48	19.98	211700.00
2010-03-19 14:30:00	:AVGO	20.00	20.28	19.69	20.11	636412.00
2010-03-22 14:30:00	:AVGO	19.87	20.15	19.70	19.94	473384.00
2010-03-23 14:30:00	:AVGO	19.98	20.30	19.95	20.22	281849.00
2010-03-24 14:30:00	:AVGO	20.20	20.20	19.57	19.62	153447.00
2010-03-25 14:30:00	:AVGO	19.75	19.75	19.31	19.65	583451.00
2010-03-26 14:30:00	:AVGO	19.66	20.20	19.66	19.91	524999.00
2010-03-29 15:30:00	:AVGO	20.09	20.40	19.94	20.22	296009.00
2010-03-30 15:30:00	:AVGO	20.28	20.51	19.96	20.38	353854.00
2010-03-31 15:30:00	:AVGO	20.39	20.68	20.17	20.56	661925.00
2010-04-01 15:30:00	:AVGO	20.69	20.80	20.09	20.50	324587.00
2010-04-05 15:30:00	:AVGO	20.69	20.70	19.79	20.26	612018.00
2010-04-06 15:30:00	:AVGO	20.05	20.83	20.00	20.68	235796.00
2010-04-07 15:30:00	:AVGO	20.58	20.74	20.40	20.48	144590.00
2010-04-08 15:30:00	:AVGO	20.48	20.48	20.08	20.10	140137.00
2010-04-09 15:30:00	:AVGO	20.10	20.14	19.83	20.01	198244.00
2010-04-12 15:30:00	:AVGO	19.92	20.15	19.67	20.02	286662.00
2010-04-13 15:30:00	:AVGO	19.86	20.24	19.75	20.15	236614.00
2010-04-14 15:30:00	:AVGO	20.63	21.56	20.50	21.55	478214.00
2010-04-15 15:30:00	:AVGO	21.60	22.00	21.60	21.96	614764.00
2010-04-16 15:30:00	:AVGO	21.97	21.98	21.67	21.88	343840.00
2010-04-19 15:30:00	:AVGO	21.68	22.04	21.30	21.90	486725.00
2010-04-20 15:30:00	:AVGO	22.47	22.88	22.18	22.37	850560.00
2010-04-21 15:30:00	:AVGO	22.50	22.82	21.46	21.84	540128.00
2010-04-22 15:30:00	:AVGO	21.84	21.86	20.97	21.53	644024.00
2010-04-23 15:30:00	:AVGO	21.43	21.62	21.08	21.49	188569.00
2010-04-26 15:30:00	:AVGO	21.35	22.02	21.30	21.79	254940.00
2010-04-27 15:30:00	:AVGO	21.86	21.86	20.82	21.00	250597.00
2010-04-28 15:30:00	:AVGO	21.18	21.29	20.68	21.01	313845.00
2010-04-29 15:30:00	:AVGO	21.33	21.80	21.33	21.40	318404.00
2010-04-30 15:30:00	:AVGO	21.57	21.69	20.49	20.51	360236.00
2010-05-03 15:30:00	:AVGO	20.65	21.47	20.39	21.12	423829.00
2010-05-04 15:30:00	:AVGO	20.97	20.97	19.92	20.05	555980.00
2010-05-05 15:30:00	:AVGO	19.94	20.06	19.20	19.59	626582.00
2010-05-06 15:30:00	:AVGO	19.57	19.58	18.55	19.20	915403.00
2010-05-07 15:30:00	:AVGO	19.24	19.50	18.38	19.29	602493.00
2010-05-10 15:30:00	:AVGO	20.00	20.91	20.00	20.74	894382.00
2010-05-11 15:30:00	:AVGO	20.33	20.80	20.17	20.66	217347.00
2010-05-12 15:30:00	:AVGO	20.56	20.92	20.50	20.72	353275.00
2010-05-13 15:30:00	:AVGO	20.83	20.83	20.32	20.46	291898.00
2010-05-14 15:30:00	:AVGO	20.41	20.49	19.72	20.23	504811.00
