datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:AVY	63.16	63.35	61.79	62.44	428400.00
2004-04-08 15:30:00	:AVY	62.79	63.30	61.30	61.62	377200.00
2004-04-12 15:30:00	:AVY	62.00	62.26	61.97	62.16	283500.00
2004-04-13 15:30:00	:AVY	62.35	62.40	61.78	61.88	299500.00
2004-04-14 15:30:00	:AVY	61.63	63.41	61.62	62.71	444100.00
2004-04-15 15:30:00	:AVY	62.91	63.24	62.18	62.75	275200.00
2004-04-16 15:30:00	:AVY	63.20	63.84	62.90	63.40	311900.00
2004-04-19 15:30:00	:AVY	63.35	63.62	63.01	63.35	168600.00
2004-04-20 15:30:00	:AVY	63.45	64.46	61.96	61.96	643900.00
2004-04-21 15:30:00	:AVY	62.30	62.75	61.50	62.50	333500.00
2004-04-22 15:30:00	:AVY	62.70	64.97	62.56	64.39	506100.00
2004-04-23 15:30:00	:AVY	64.75	65.32	63.65	64.94	439100.00
2004-04-26 15:30:00	:AVY	64.85	65.33	64.55	64.86	398600.00
2004-04-27 15:30:00	:AVY	65.00	65.68	64.54	64.77	275000.00
2004-04-28 15:30:00	:AVY	64.78	64.78	64.17	64.18	256200.00
2004-04-29 15:30:00	:AVY	64.08	64.60	63.06	63.42	335000.00
2004-04-30 15:30:00	:AVY	63.82	64.49	63.05	64.23	402000.00
2004-05-03 15:30:00	:AVY	64.24	64.25	63.00	63.42	488600.00
2004-05-04 15:30:00	:AVY	63.57	63.75	63.01	63.14	353400.00
2004-05-05 15:30:00	:AVY	62.96	63.12	62.42	62.90	533100.00
2004-05-06 15:30:00	:AVY	62.80	62.96	61.99	62.66	240300.00
2004-05-07 15:30:00	:AVY	62.55	62.86	61.15	61.31	572000.00
2004-05-10 15:30:00	:AVY	61.00	61.00	59.32	59.94	900500.00
2004-05-11 15:30:00	:AVY	59.94	60.60	59.90	60.36	597600.00
2004-05-12 15:30:00	:AVY	60.00	60.45	59.20	60.34	498500.00
2004-05-13 15:30:00	:AVY	60.09	60.89	60.09	60.19	255200.00
2004-05-14 15:30:00	:AVY	60.00	60.40	59.43	60.01	342200.00
2004-05-17 15:30:00	:AVY	59.76	59.93	59.37	59.76	482100.00
2004-05-18 15:30:00	:AVY	59.92	61.00	59.92	60.27	615600.00
2004-05-19 15:30:00	:AVY	60.90	60.99	59.80	60.01	478200.00
2004-05-20 15:30:00	:AVY	59.95	60.00	58.96	59.04	561000.00
2004-05-21 15:30:00	:AVY	59.40	60.34	59.36	59.87	370300.00
2004-05-24 15:30:00	:AVY	60.00	60.68	59.75	60.03	247100.00
2004-05-25 15:30:00	:AVY	60.10	61.05	59.52	60.74	430300.00
2004-05-26 15:30:00	:AVY	60.14	60.45	59.50	60.21	415300.00
2004-05-27 15:30:00	:AVY	60.29	60.35	59.06	59.60	719700.00
