datetime	symbol	open	high	low	close	volume
2008-04-23 15:30:00	:AWK	20.60	21.45	20.22	20.60	23404016.00
2008-04-24 15:30:00	:AWK	20.72	21.00	20.31	20.81	4960820.00
2008-04-25 15:30:00	:AWK	21.00	21.25	20.70	21.17	1956798.00
2008-04-28 15:30:00	:AWK	21.49	21.49	20.81	21.00	709378.00
2008-04-29 15:30:00	:AWK	21.39	21.39	20.82	21.07	859643.00
2008-04-30 15:30:00	:AWK	21.08	21.20	20.92	21.15	893241.00
2008-05-01 15:30:00	:AWK	21.22	22.00	21.00	21.91	2998955.00
2008-05-02 15:30:00	:AWK	22.16	22.16	21.49	22.01	1639357.00
2008-05-05 15:30:00	:AWK	22.45	22.45	21.56	21.91	578944.00
2008-05-06 15:30:00	:AWK	21.80	21.86	21.37	21.55	1040181.00
2008-05-07 15:30:00	:AWK	21.50	21.60	20.65	21.21	1240063.00
2008-05-08 15:30:00	:AWK	21.23	21.30	21.03	21.25	888049.00
2008-05-09 15:30:00	:AWK	21.25	21.84	21.03	21.67	550394.00
2008-05-12 15:30:00	:AWK	21.70	21.74	21.28	21.50	1167927.00
2008-05-13 15:30:00	:AWK	21.53	21.54	20.80	21.32	1783861.00
2008-05-14 15:30:00	:AWK	20.51	21.48	20.51	21.30	649169.00
2008-05-15 15:30:00	:AWK	21.45	21.46	21.10	21.16	470309.00
2008-05-16 15:30:00	:AWK	21.43	21.65	21.10	21.62	1002319.00
2008-05-19 15:30:00	:AWK	21.89	22.09	21.55	21.75	802836.00
2008-05-20 15:30:00	:AWK	21.97	21.97	21.45	21.65	504059.00
2008-05-21 15:30:00	:AWK	21.85	21.85	21.05	21.16	407047.00
2008-05-22 15:30:00	:AWK	21.37	21.45	21.12	21.35	274583.00
2008-05-23 15:30:00	:AWK	21.25	21.25	21.00	21.14	464183.00
2008-05-27 15:30:00	:AWK	21.49	21.49	21.05	21.23	320210.00
2008-05-28 15:30:00	:AWK	21.10	21.42	21.07	21.41	403723.00
2008-05-29 15:30:00	:AWK	21.39	21.50	21.05	21.06	384557.00
2008-05-30 15:30:00	:AWK	21.10	21.50	21.05	21.50	784275.00
2008-06-02 15:30:00	:AWK	22.37	22.37	21.20	21.60	414823.00
2008-06-03 15:30:00	:AWK	21.86	21.90	21.29	21.32	445962.00
2008-06-04 15:30:00	:AWK	21.10	21.64	21.07	21.57	850244.00
2008-06-05 15:30:00	:AWK	21.49	21.89	21.49	21.80	567360.00
2008-06-06 15:30:00	:AWK	21.75	22.25	21.75	22.10	1588847.00
2008-06-09 15:30:00	:AWK	22.30	22.39	22.10	22.33	377662.00
2008-06-10 15:30:00	:AWK	22.11	22.25	21.84	21.85	593999.00
2008-06-11 15:30:00	:AWK	21.72	22.43	21.20	21.71	692288.00
2008-06-12 15:30:00	:AWK	22.11	22.11	21.47	21.85	394327.00
2008-06-13 15:30:00	:AWK	22.14	22.40	21.71	22.39	460440.00
2008-06-16 15:30:00	:AWK	22.47	23.00	22.24	22.75	782930.00
2008-06-17 15:30:00	:AWK	22.75	23.51	22.30	23.18	1194301.00
2008-06-18 15:30:00	:AWK	23.00	23.19	22.41	23.04	723269.00
2008-06-19 15:30:00	:AWK	23.09	23.09	22.70	22.89	683491.00
2008-06-20 15:30:00	:AWK	22.70	23.20	22.38	23.00	1330300.00
2008-06-23 15:30:00	:AWK	22.96	22.96	22.67	22.75	390474.00
2008-06-24 15:30:00	:AWK	22.78	22.96	22.31	22.88	666848.00
2008-06-25 15:30:00	:AWK	23.08	23.37	22.85	23.37	716965.00
2008-06-26 15:30:00	:AWK	23.05	23.65	22.14	22.62	1993195.00
2008-06-27 15:30:00	:AWK	22.00	23.14	21.95	22.52	4484832.00
2008-06-30 15:30:00	:AWK	22.99	22.99	21.19	22.18	861604.00
2008-07-01 15:30:00	:AWK	22.40	23.09	22.21	22.88	476781.00
2008-07-02 15:30:00	:AWK	23.00	23.23	22.46	22.65	492400.00
2008-07-03 15:30:00	:AWK	22.46	22.61	21.17	21.80	331965.00
2008-07-07 15:30:00	:AWK	21.80	22.06	21.31	21.49	246722.00
2008-07-08 15:30:00	:AWK	21.39	21.70	21.29	21.70	281495.00
2008-07-09 15:30:00	:AWK	21.73	21.76	21.41	21.59	182851.00
2008-07-10 15:30:00	:AWK	21.69	21.69	20.30	21.26	530125.00
2008-07-11 15:30:00	:AWK	20.74	20.81	19.24	20.03	1062445.00
2008-07-14 15:30:00	:AWK	20.03	20.19	19.62	19.71	543075.00
2008-07-15 15:30:00	:AWK	19.42	19.43	18.09	18.91	1191918.00
2008-07-16 15:30:00	:AWK	18.97	19.55	18.90	19.40	464543.00
2008-07-17 15:30:00	:AWK	19.79	19.79	19.07	19.70	232294.00
2008-07-18 15:30:00	:AWK	19.00	19.83	19.00	19.55	308418.00
2008-07-21 15:30:00	:AWK	19.83	19.90	19.45	19.72	148498.00
2008-07-22 15:30:00	:AWK	19.58	20.05	19.58	19.93	144322.00
2008-07-23 15:30:00	:AWK	19.85	19.99	19.63	19.69	214888.00
2008-07-24 15:30:00	:AWK	19.93	19.96	18.55	18.87	518243.00
2008-07-25 15:30:00	:AWK	19.15	19.26	18.59	19.15	240966.00
2008-07-28 15:30:00	:AWK	19.25	19.66	18.50	18.63	241832.00
2008-07-29 15:30:00	:AWK	18.89	19.23	18.72	19.00	289020.00
2008-07-30 15:30:00	:AWK	19.34	19.67	19.10	19.46	251319.00
2008-07-31 15:30:00	:AWK	20.48	20.48	18.63	19.25	579102.00
2008-08-01 15:30:00	:AWK	19.39	19.83	19.25	19.29	389643.00
2008-08-04 15:30:00	:AWK	19.44	19.87	19.05	19.60	324309.00
2008-08-05 15:30:00	:AWK	19.85	20.34	19.65	20.34	336493.00
2008-08-06 15:30:00	:AWK	20.35	20.35	19.53	20.10	343502.00
2008-08-07 15:30:00	:AWK	20.20	20.22	19.90	20.15	376843.00
2008-08-08 15:30:00	:AWK	20.29	20.36	19.95	20.07	268127.00
2008-08-11 15:30:00	:AWK	21.09	21.37	20.65	20.77	958279.00
2008-08-12 15:30:00	:AWK	20.70	21.33	20.70	20.87	729017.00
2008-08-13 15:30:00	:AWK	20.88	21.39	20.86	21.09	515702.00
2008-08-14 15:30:00	:AWK	21.17	21.50	20.83	20.98	567812.00
2008-08-15 15:30:00	:AWK	21.20	21.20	20.52	20.75	370736.00
2008-08-18 15:30:00	:AWK	20.93	21.20	20.80	21.15	546448.00
2008-08-19 15:30:00	:AWK	21.25	22.25	21.15	21.92	782703.00
2008-08-20 15:30:00	:AWK	22.09	22.49	21.41	21.90	801240.00
2008-08-21 15:30:00	:AWK	21.94	22.05	21.34	21.90	719900.00
2008-08-22 15:30:00	:AWK	21.99	22.00	21.56	21.95	307016.00
2008-08-25 15:30:00	:AWK	21.77	22.55	21.45	21.77	245710.00
2008-08-26 15:30:00	:AWK	21.89	21.94	21.38	21.61	228092.00
2008-08-27 15:30:00	:AWK	21.76	21.77	21.40	21.72	215924.00
2008-08-28 15:30:00	:AWK	21.88	22.25	21.10	22.11	383621.00
2008-08-29 15:30:00	:AWK	21.84	23.12	21.54	22.95	1008904.00
2008-09-02 15:30:00	:AWK	23.00	23.00	22.05	22.80	652336.00
2008-09-03 15:30:00	:AWK	22.67	22.79	21.62	21.87	295354.00
2008-09-04 15:30:00	:AWK	21.77	22.12	21.47	21.47	409216.00
2008-09-05 15:30:00	:AWK	21.28	21.28	20.58	20.97	443454.00
2008-09-08 15:30:00	:AWK	21.50	21.50	20.73	20.91	381905.00
2008-09-09 15:30:00	:AWK	20.85	21.23	20.65	20.65	517451.00
2008-09-10 15:30:00	:AWK	20.50	21.12	20.50	21.08	591763.00
2008-09-11 15:30:00	:AWK	21.10	21.13	20.80	21.07	325785.00
2008-09-12 15:30:00	:AWK	20.97	21.34	20.96	21.03	231544.00
2008-09-15 15:30:00	:AWK	20.99	21.30	20.27	20.30	403363.00
2008-09-16 15:30:00	:AWK	20.16	20.58	19.66	20.36	422477.00
2008-09-17 15:30:00	:AWK	20.45	20.60	19.73	19.91	370811.00
2008-09-18 15:30:00	:AWK	20.01	20.32	19.59	20.25	565811.00
2008-09-19 15:30:00	:AWK	21.26	21.26	19.57	20.00	340076.00
2008-09-22 15:30:00	:AWK	20.00	20.35	19.65	19.66	314094.00
2008-09-23 15:30:00	:AWK	19.82	19.82	19.06	19.34	387964.00
2008-09-24 15:30:00	:AWK	19.62	19.76	19.23	19.60	522675.00
2008-09-25 15:30:00	:AWK	19.67	20.16	19.51	20.00	304372.00
2008-09-26 15:30:00	:AWK	19.90	20.12	19.09	19.15	540946.00
2008-09-29 15:30:00	:AWK	19.17	20.22	18.75	20.10	1045157.00
2008-09-30 15:30:00	:AWK	20.44	21.80	19.43	21.50	1171613.00
2008-10-01 15:30:00	:AWK	21.19	21.47	20.02	20.17	525186.00
2008-10-02 15:30:00	:AWK	20.19	20.38	19.41	20.12	435487.00
2008-10-03 15:30:00	:AWK	20.40	20.65	19.72	19.93	521097.00
2008-10-06 15:30:00	:AWK	19.57	19.98	18.80	19.52	771747.00
2008-10-07 15:30:00	:AWK	19.85	20.34	19.35	19.62	511740.00
2008-10-08 15:30:00	:AWK	18.97	19.73	18.40	19.07	775864.00
2008-10-09 15:30:00	:AWK	19.30	19.79	18.53	18.69	868183.00
