datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:AXON	23.39	25.07	23.16	24.51	93279680.00
2004-04-08 15:30:00	:AXON	25.65	25.69	24.52	24.95	29867640.00
2004-04-12 15:30:00	:AXON	24.97	25.12	24.01	24.38	21422172.00
2004-04-13 15:30:00	:AXON	24.54	25.07	23.14	23.82	20855048.00
2004-04-14 15:30:00	:AXON	23.48	24.38	23.43	24.15	16574204.00
2004-04-15 15:30:00	:AXON	24.42	25.00	23.90	25.00	15287924.00
2004-04-16 15:30:00	:AXON	25.20	28.78	25.20	28.53	75699648.00
2004-04-19 15:30:00	:AXON	29.42	32.08	27.77	29.68	106795008.00
2004-04-20 15:30:00	:AXON	26.55	27.86	21.02	21.10	129626112.00
2004-04-21 15:30:00	:AXON	19.24	22.98	17.66	20.94	134890560.00
2004-04-22 15:30:00	:AXON	21.66	22.45	18.72	19.29	63682608.00
2004-04-23 15:30:00	:AXON	19.25	20.78	18.88	20.29	58150780.00
2004-04-26 15:30:00	:AXON	20.12	21.17	19.87	20.41	19909092.00
2004-04-27 15:30:00	:AXON	20.69	20.71	19.12	19.51	20974484.00
2004-04-28 15:30:00	:AXON	19.02	19.44	16.85	17.12	45169484.00
2004-04-29 15:30:00	:AXON	17.62	19.18	16.52	18.92	55140064.00
2004-04-30 15:30:00	:AXON	18.60	18.75	16.12	16.18	32732812.00
2004-05-03 15:30:00	:AXON	14.78	16.80	14.16	15.64	43120352.00
2004-05-04 15:30:00	:AXON	16.25	16.50	15.48	15.90	21414406.00
2004-05-05 15:30:00	:AXON	16.93	17.02	15.72	15.89	13666328.00
2004-05-06 15:30:00	:AXON	15.65	16.00	15.18	15.27	9528438.00
2004-05-07 15:30:00	:AXON	15.06	15.68	14.38	14.40	11688820.00
2004-05-10 15:30:00	:AXON	13.82	14.05	12.60	12.88	27917164.00
2004-05-11 15:30:00	:AXON	13.25	13.85	12.81	13.14	16358672.00
2004-05-12 15:30:00	:AXON	12.84	14.18	12.82	14.10	29448562.00
2004-05-13 15:30:00	:AXON	14.12	15.62	14.10	14.55	34181952.00
