datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:A	21.69	21.88	21.22	21.47	3560196.00
2004-04-08 15:30:00	:A	21.53	22.02	21.27	21.45	2449257.00
2004-04-12 15:30:00	:A	21.45	21.74	21.39	21.47	1407336.00
2004-04-13 15:30:00	:A	21.49	21.50	20.66	20.89	3727614.00
2004-04-14 15:30:00	:A	20.72	20.96	20.52	20.72	3390549.00
2004-04-15 15:30:00	:A	20.82	20.83	19.81	20.15	4372804.00
2004-04-16 15:30:00	:A	20.75	20.82	19.92	20.30	4393139.00
2004-04-19 15:30:00	:A	20.25	20.54	20.08	20.48	2667883.00
2004-04-20 15:30:00	:A	20.58	20.60	19.36	19.36	4261638.00
2004-04-21 15:30:00	:A	19.57	19.84	19.54	19.57	6107114.00
2004-04-22 15:30:00	:A	19.54	20.01	19.23	19.79	3973550.00
2004-04-23 15:30:00	:A	19.72	20.04	19.58	19.88	3619119.00
2004-04-26 15:30:00	:A	19.88	20.08	19.44	19.60	3255633.00
2004-04-27 15:30:00	:A	19.61	19.93	19.34	19.41	2520945.00
2004-04-28 15:30:00	:A	19.27	19.34	18.95	19.07	3272554.00
2004-04-29 15:30:00	:A	18.97	19.12	18.40	18.73	3372739.00
2004-04-30 15:30:00	:A	18.76	18.92	18.13	18.20	3240197.00
2004-05-03 15:30:00	:A	18.23	18.66	18.06	18.37	4404419.00
2004-05-04 15:30:00	:A	18.49	18.53	17.52	18.01	7781018.00
2004-05-05 15:30:00	:A	18.00	18.35	17.92	18.06	5662295.00
2004-05-06 15:30:00	:A	17.92	18.00	17.65	17.75	2622317.00
2004-05-07 15:30:00	:A	17.65	18.04	17.59	17.73	4269504.00
2004-05-10 15:30:00	:A	17.42	17.54	16.88	17.12	7340652.00
2004-05-11 15:30:00	:A	17.32	17.69	17.18	17.65	5757581.00
2004-05-12 15:30:00	:A	17.66	17.79	17.03	17.63	6082329.00
2004-05-13 15:30:00	:A	17.35	17.66	17.13	17.53	4356924.00
2004-05-14 15:30:00	:A	17.53	17.74	17.11	17.24	3395150.00
2004-05-17 15:30:00	:A	17.15	17.24	16.84	17.19	4880111.00
2004-05-18 15:30:00	:A	17.65	17.83	16.51	17.11	13682121.00
2004-05-19 15:30:00	:A	17.32	17.59	16.95	16.99	8468362.00
2004-05-20 15:30:00	:A	16.91	16.91	16.37	16.37	5914611.00
2004-05-21 15:30:00	:A	16.45	16.59	16.26	16.43	3929024.00
2004-05-24 15:30:00	:A	16.52	16.68	16.34	16.41	4771763.00
2004-05-25 15:30:00	:A	16.44	16.68	16.04	16.66	7145029.00
2004-05-26 15:30:00	:A	16.74	16.95	16.68	16.82	5628010.00
2004-05-27 15:30:00	:A	16.90	17.24	16.84	17.12	5843518.00
2004-05-28 15:30:00	:A	17.12	17.39	16.97	17.32	5072911.00
2004-06-01 15:30:00	:A	17.15	17.44	17.11	17.38	6753045.00
2004-06-02 15:30:00	:A	17.39	17.43	16.98	17.11	4536811.00
2004-06-03 15:30:00	:A	17.05	17.16	16.88	16.88	4875213.00
