datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:BALL	8.79	8.80	8.69	8.72	1312800.00
2004-04-08 15:30:00	:BALL	8.75	8.80	8.70	8.74	1080800.00
2004-04-12 15:30:00	:BALL	8.74	8.87	8.74	8.84	1448800.00
2004-04-13 15:30:00	:BALL	8.86	8.86	8.71	8.77	2532000.00
2004-04-14 15:30:00	:BALL	8.69	8.82	8.66	8.69	1784000.00
2004-04-15 15:30:00	:BALL	8.72	8.80	8.71	8.72	1721600.00
2004-04-16 15:30:00	:BALL	8.74	8.74	8.67	8.71	1801600.00
2004-04-19 15:30:00	:BALL	8.72	8.72	8.64	8.71	1114400.00
2004-04-20 15:30:00	:BALL	8.81	8.90	8.70	8.71	2188000.00
2004-04-21 15:30:00	:BALL	8.71	8.71	8.58	8.64	2741600.00
2004-04-22 15:30:00	:BALL	8.67	8.91	8.67	8.84	2912800.00
2004-04-23 15:30:00	:BALL	8.83	8.84	8.69	8.76	1418400.00
2004-04-26 15:30:00	:BALL	8.71	8.76	8.70	8.72	1760800.00
2004-04-27 15:30:00	:BALL	8.75	8.79	8.68	8.71	1535200.00
2004-04-28 15:30:00	:BALL	8.71	8.72	8.53	8.53	1861600.00
2004-04-29 15:30:00	:BALL	8.44	8.53	8.19	8.21	5236000.00
2004-04-30 15:30:00	:BALL	8.21	8.41	8.09	8.25	4686400.00
2004-05-03 15:30:00	:BALL	8.27	8.41	8.21	8.36	2304000.00
2004-05-04 15:30:00	:BALL	8.36	8.36	8.28	8.30	2919200.00
2004-05-05 15:30:00	:BALL	8.30	8.33	8.21	8.22	2969600.00
2004-05-06 15:30:00	:BALL	8.17	8.19	7.97	8.05	5667200.00
2004-05-07 15:30:00	:BALL	7.97	8.02	7.63	7.67	7379200.00
2004-05-10 15:30:00	:BALL	7.59	7.99	7.55	7.83	7645600.00
2004-05-11 15:30:00	:BALL	7.83	7.94	7.83	7.90	3709600.00
2004-05-12 15:30:00	:BALL	7.91	8.10	7.89	8.09	5912800.00
2004-05-13 15:30:00	:BALL	8.09	8.23	8.08	8.19	4992000.00
2004-05-14 15:30:00	:BALL	8.22	8.23	8.15	8.17	2495200.00
2004-05-17 15:30:00	:BALL	8.08	8.08	7.96	7.97	3129600.00
2004-05-18 15:30:00	:BALL	8.00	8.14	7.97	8.13	3065600.00
2004-05-19 15:30:00	:BALL	8.21	8.29	8.05	8.07	2510400.00
2004-05-20 15:30:00	:BALL	8.09	8.17	8.06	8.13	1870400.00
2004-05-21 15:30:00	:BALL	8.19	8.25	8.11	8.13	3760800.00
2004-05-24 15:30:00	:BALL	8.17	8.22	8.13	8.20	2646400.00
2004-05-25 15:30:00	:BALL	8.20	8.25	8.17	8.24	3584800.00
2004-05-26 15:30:00	:BALL	8.27	8.31	8.25	8.29	1958400.00
2004-05-27 15:30:00	:BALL	8.28	8.39	8.28	8.39	2592000.00
2004-05-28 15:30:00	:BALL	8.41	8.58	8.41	8.54	7328000.00
2004-06-01 15:30:00	:BALL	8.54	8.54	8.39	8.45	3439200.00
2004-06-02 15:30:00	:BALL	8.46	8.52	8.41	8.51	2138400.00
2004-06-03 15:30:00	:BALL	8.52	8.53	8.45	8.46	2023200.00
2004-06-04 15:30:00	:BALL	8.47	8.59	8.47	8.56	2564000.00
2004-06-07 15:30:00	:BALL	8.56	8.78	8.56	8.78	2012000.00
2004-06-08 15:30:00	:BALL	8.75	8.76	8.66	8.75	4180000.00
2004-06-09 15:30:00	:BALL	8.74	8.74	8.68	8.69	2680000.00
2004-06-10 15:30:00	:BALL	8.72	8.74	8.68	8.72	1729600.00
2004-06-14 15:30:00	:BALL	8.72	8.72	8.63	8.66	2124000.00
2004-06-15 15:30:00	:BALL	8.67	8.72	8.65	8.67	2976800.00
