datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:BA	42.16	42.36	41.51	41.76	2845300.00
2004-04-08 15:30:00	:BA	41.95	42.23	41.20	41.35	2152000.00
2004-04-12 15:30:00	:BA	41.70	42.19	41.60	42.15	1606200.00
2004-04-13 15:30:00	:BA	42.17	42.60	41.68	41.78	2586000.00
2004-04-14 15:30:00	:BA	41.73	41.90	41.42	41.57	1666800.00
2004-04-15 15:30:00	:BA	41.85	42.03	41.11	41.53	1516200.00
2004-04-16 15:30:00	:BA	42.03	42.24	41.40	41.50	2625100.00
2004-04-19 15:30:00	:BA	41.63	41.71	41.39	41.49	1312800.00
2004-04-20 15:30:00	:BA	41.47	41.70	40.55	40.55	2292100.00
2004-04-21 15:30:00	:BA	40.49	41.22	40.31	40.85	2137500.00
2004-04-22 15:30:00	:BA	41.70	42.63	41.35	42.27	3583200.00
2004-04-23 15:30:00	:BA	42.16	42.75	41.87	42.45	2225600.00
2004-04-26 15:30:00	:BA	43.15	43.50	42.93	43.24	3311600.00
2004-04-27 15:30:00	:BA	43.24	44.00	43.24	43.55	2892200.00
2004-04-28 15:30:00	:BA	44.05	44.90	43.55	44.03	6048602.00
2004-04-29 15:30:00	:BA	44.03	44.15	43.07	43.25	2485400.00
2004-04-30 15:30:00	:BA	43.25	43.28	42.60	42.69	2675700.00
2004-05-03 15:30:00	:BA	43.25	44.00	43.20	43.58	2806900.00
2004-05-04 15:30:00	:BA	43.58	43.66	43.01	43.28	3223200.00
2004-05-05 15:30:00	:BA	43.13	44.09	43.00	43.76	2519100.00
2004-05-06 15:30:00	:BA	43.68	44.30	43.50	43.93	3401400.00
2004-05-07 15:30:00	:BA	43.60	44.05	43.31	43.40	2263900.00
2004-05-10 15:30:00	:BA	43.00	43.28	42.29	42.59	3666900.00
2004-05-11 15:30:00	:BA	42.50	43.36	42.41	43.18	3322000.00
2004-05-12 15:30:00	:BA	43.20	43.58	42.70	43.58	2763300.00
2004-05-13 15:30:00	:BA	43.63	43.84	43.18	43.62	2008300.00
2004-05-14 15:30:00	:BA	43.10	43.59	42.95	43.44	2710000.00
2004-05-17 15:30:00	:BA	42.70	43.61	42.49	42.73	2454500.00
2004-05-18 15:30:00	:BA	42.84	43.20	42.70	43.02	1477200.00
2004-05-19 15:30:00	:BA	43.10	44.11	43.04	43.38	3016800.00
2004-05-20 15:30:00	:BA	43.14	43.22	42.75	42.92	2281200.00
2004-05-21 15:30:00	:BA	43.15	43.46	43.00	43.40	2493000.00
