datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:BBWI	16.02	16.07	15.85	15.93	4309086.00
2004-04-08 15:30:00	:BBWI	16.07	16.07	15.52	15.59	4215798.00
2004-04-12 15:30:00	:BBWI	15.59	15.72	15.52	15.57	2617357.00
2004-04-13 15:30:00	:BBWI	15.61	15.72	15.12	15.20	4827913.00
2004-04-14 15:30:00	:BBWI	15.05	15.29	15.05	15.14	3218916.00
2004-04-15 15:30:00	:BBWI	15.16	15.20	15.08	15.16	4064716.00
2004-04-16 15:30:00	:BBWI	15.18	15.34	15.13	15.26	3313524.00
2004-04-19 15:30:00	:BBWI	15.29	15.43	15.11	15.41	2037173.00
2004-04-20 15:30:00	:BBWI	15.50	15.70	15.46	15.55	2595585.00
2004-04-21 15:30:00	:BBWI	15.51	15.64	15.14	15.51	2175193.00
2004-04-22 15:30:00	:BBWI	15.46	15.92	15.38	15.84	4172650.00
2004-04-23 15:30:00	:BBWI	15.80	15.98	15.67	15.97	2153157.00
2004-04-26 15:30:00	:BBWI	15.95	15.99	15.91	15.97	2698506.00
2004-04-27 15:30:00	:BBWI	15.93	16.41	15.93	16.26	5290398.00
2004-04-28 15:30:00	:BBWI	16.16	16.16	16.00	16.12	3861380.00
2004-04-29 15:30:00	:BBWI	16.12	16.15	15.69	15.76	3964828.00
2004-04-30 15:30:00	:BBWI	15.84	15.94	15.63	15.64	3703833.00
2004-05-03 15:30:00	:BBWI	15.68	15.92	15.62	15.88	2637018.00
2004-05-04 15:30:00	:BBWI	15.87	15.95	15.57	15.73	3682060.00
2004-05-05 15:30:00	:BBWI	15.71	15.83	15.61	15.77	4376249.00
2004-05-06 15:30:00	:BBWI	15.58	15.73	15.35	15.48	4637114.00
2004-05-07 15:30:00	:BBWI	15.46	15.61	15.15	15.16	4486955.00
2004-05-10 15:30:00	:BBWI	15.16	15.16	14.98	15.10	3682852.00
2004-05-11 15:30:00	:BBWI	15.13	15.23	15.06	15.16	2900785.00
2004-05-12 15:30:00	:BBWI	15.12	15.20	14.91	15.16	3673352.00
2004-05-13 15:30:00	:BBWI	15.16	15.16	14.94	15.04	2337095.00
2004-05-14 15:30:00	:BBWI	14.99	15.16	14.97	15.07	2158831.00
2004-05-17 15:30:00	:BBWI	14.89	14.89	14.54	14.62	5018449.00
2004-05-18 15:30:00	:BBWI	14.62	14.87	14.61	14.77	2740334.00
2004-05-19 15:30:00	:BBWI	14.82	14.94	14.74	14.77	2451364.00
2004-05-20 15:30:00	:BBWI	14.77	14.77	14.51	14.58	2338811.00
2004-05-21 15:30:00	:BBWI	14.59	14.79	14.56	14.63	2829928.00
2004-05-24 15:30:00	:BBWI	14.59	14.67	14.44	14.56	3897799.00
2004-05-25 15:30:00	:BBWI	14.51	14.79	14.45	14.73	3616349.00
2004-05-26 15:30:00	:BBWI	14.57	14.82	14.44	14.70	2906195.00
2004-05-27 15:30:00	:BBWI	14.83	15.04	14.70	14.70	2848137.00
2004-05-28 15:30:00	:BBWI	14.77	14.77	14.58	14.63	2996185.00
2004-06-01 15:30:00	:BBWI	14.64	14.66	14.51	14.60	2758147.00
2004-06-02 15:30:00	:BBWI	14.55	14.63	14.44	14.52	3456162.00
2004-06-03 15:30:00	:BBWI	14.54	14.69	14.46	14.57	5068062.00
2004-06-04 15:30:00	:BBWI	14.74	14.75	14.48	14.53	2247105.00
2004-06-07 15:30:00	:BBWI	14.61	14.72	14.51	14.70	1899813.00
2004-06-08 15:30:00	:BBWI	14.70	14.90	14.66	14.77	2364144.00
2004-06-09 15:30:00	:BBWI	14.78	14.86	14.59	14.60	2376416.00
2004-06-10 15:30:00	:BBWI	14.70	14.77	14.63	14.70	2106183.00
2004-06-14 15:30:00	:BBWI	14.70	14.71	14.40	14.47	2639260.00
2004-06-15 15:30:00	:BBWI	14.48	14.66	14.46	14.59	2269405.00
2004-06-16 15:30:00	:BBWI	14.62	14.63	14.46	14.52	1988484.00
