datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:BBY	35.62	35.62	34.88	35.03	6080219.00
2004-04-08 15:30:00	:BBY	35.57	35.57	34.74	34.97	4355378.00
2004-04-12 15:30:00	:BBY	35.03	35.17	34.80	34.95	2649136.00
2004-04-13 15:30:00	:BBY	34.95	35.10	34.01	34.06	5919120.00
2004-04-14 15:30:00	:BBY	33.97	34.50	33.52	34.40	4559677.00
2004-04-15 15:30:00	:BBY	34.28	34.66	34.26	34.43	3804580.00
2004-04-16 15:30:00	:BBY	34.85	35.45	34.06	35.33	6446217.00
2004-04-19 15:30:00	:BBY	35.01	35.53	34.82	35.33	4071429.00
2004-04-20 15:30:00	:BBY	35.60	36.07	35.20	35.20	4430377.00
2004-04-21 15:30:00	:BBY	35.20	35.81	35.07	35.63	4115229.00
2004-04-22 15:30:00	:BBY	35.51	36.63	35.50	36.63	6023669.00
2004-04-23 15:30:00	:BBY	36.55	37.17	36.49	37.00	5059024.00
2004-04-26 15:30:00	:BBY	36.93	37.07	36.40	36.53	3918730.00
2004-04-27 15:30:00	:BBY	36.65	37.50	36.53	37.16	6210565.00
2004-04-28 15:30:00	:BBY	37.00	37.07	36.13	36.43	5008774.00
2004-04-29 15:30:00	:BBY	36.57	36.90	35.81	36.12	5677771.00
2004-04-30 15:30:00	:BBY	36.12	36.53	35.37	36.17	6364919.00
2004-05-03 15:30:00	:BBY	36.17	36.66	35.74	35.95	4279328.00
2004-05-04 15:30:00	:BBY	35.92	36.00	35.23	35.73	6434217.00
2004-05-05 15:30:00	:BBY	35.73	36.33	35.68	36.21	4094079.00
2004-05-06 15:30:00	:BBY	35.90	36.13	35.43	35.60	5000524.00
2004-05-07 15:30:00	:BBY	35.42	35.91	34.71	34.73	4495927.00
2004-05-10 15:30:00	:BBY	34.23	34.32	33.61	33.90	6526918.00
2004-05-11 15:30:00	:BBY	34.77	34.80	34.58	34.75	5722771.00
2004-05-12 15:30:00	:BBY	34.60	34.67	33.73	34.66	7249165.00
2004-05-13 15:30:00	:BBY	34.59	35.10	33.88	34.49	4364228.00
2004-05-14 15:30:00	:BBY	34.31	34.70	34.01	34.13	5657221.00
2004-05-17 15:30:00	:BBY	33.67	33.80	32.69	33.27	7221866.00
2004-05-18 15:30:00	:BBY	33.60	34.62	33.59	34.33	6233218.00
2004-05-19 15:30:00	:BBY	34.60	35.12	34.14	34.14	3875980.00
2004-05-20 15:30:00	:BBY	34.21	34.60	34.03	34.09	3337633.00
2004-05-21 15:30:00	:BBY	34.10	34.39	33.69	34.13	3593082.00
