datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:BG	41.04	41.36	41.00	41.27	453300.00
2004-04-08 15:30:00	:BG	41.22	41.27	40.41	40.59	442100.00
2004-04-12 15:30:00	:BG	40.56	40.93	40.56	40.79	219300.00
2004-04-13 15:30:00	:BG	40.70	40.80	40.26	40.51	475400.00
2004-04-14 15:30:00	:BG	40.07	40.07	39.74	39.92	740900.00
2004-04-15 15:30:00	:BG	39.80	39.88	39.55	39.66	479000.00
2004-04-16 15:30:00	:BG	39.66	39.71	39.55	39.61	585800.00
2004-04-19 15:30:00	:BG	39.10	39.55	39.07	39.35	590900.00
2004-04-20 15:30:00	:BG	39.55	39.79	39.36	39.49	278500.00
2004-04-21 15:30:00	:BG	39.65	39.74	39.27	39.27	327000.00
2004-04-22 15:30:00	:BG	39.28	39.32	38.68	38.85	649400.00
2004-04-23 15:30:00	:BG	39.00	39.20	38.50	38.86	579900.00
2004-04-26 15:30:00	:BG	38.86	38.95	38.46	38.50	558400.00
2004-04-27 15:30:00	:BG	38.55	38.56	36.28	36.56	1683300.00
2004-04-28 15:30:00	:BG	37.00	37.47	36.47	36.62	1112100.00
2004-04-29 15:30:00	:BG	37.20	37.20	35.19	35.94	1838700.00
2004-04-30 15:30:00	:BG	36.40	37.17	35.99	37.05	884300.00
2004-05-03 15:30:00	:BG	37.25	37.30	36.30	36.34	805200.00
2004-05-04 15:30:00	:BG	36.59	36.78	36.29	36.40	466500.00
2004-05-05 15:30:00	:BG	36.50	36.52	36.07	36.38	269900.00
2004-05-06 15:30:00	:BG	36.25	36.25	35.79	35.95	474300.00
2004-05-07 15:30:00	:BG	35.96	36.27	35.06	35.27	641200.00
2004-05-10 15:30:00	:BG	35.03	35.03	34.14	34.14	637200.00
2004-05-11 15:30:00	:BG	34.15	35.60	34.04	35.27	805400.00
2004-05-12 15:30:00	:BG	35.43	35.43	34.76	35.21	533800.00
2004-05-13 15:30:00	:BG	35.21	35.26	35.05	35.20	826200.00
2004-05-14 15:30:00	:BG	35.20	35.30	34.55	34.92	804000.00
2004-05-17 15:30:00	:BG	34.67	34.80	34.32	34.32	535800.00
2004-05-18 15:30:00	:BG	34.55	34.55	34.03	34.09	627700.00
