datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:BKR	24.63	25.03	23.99	24.72	4402000.00
2004-04-08 15:30:00	:BKR	24.92	25.12	24.59	25.08	2963000.00
2004-04-12 15:30:00	:BKR	25.20	25.97	25.20	25.76	3214142.00
2004-04-13 15:30:00	:BKR	25.83	25.89	25.08	25.10	2274428.00
2004-04-14 15:30:00	:BKR	25.04	25.30	24.85	24.98	1982428.00
2004-04-15 15:30:00	:BKR	24.99	25.50	24.97	25.45	2237571.00
2004-04-16 15:30:00	:BKR	25.47	25.74	25.25	25.70	2541428.00
2004-04-19 15:30:00	:BKR	25.76	26.05	25.55	25.73	2750142.00
2004-04-20 15:30:00	:BKR	25.70	25.78	25.23	25.23	2836571.00
2004-04-21 15:30:00	:BKR	25.15	25.15	24.70	25.05	2755571.00
2004-04-22 15:30:00	:BKR	25.09	25.90	25.04	25.76	2725714.00
2004-04-23 15:30:00	:BKR	25.76	25.77	25.46	25.73	4058714.00
2004-04-26 15:30:00	:BKR	25.86	26.09	25.54	25.59	2002142.00
2004-04-27 15:30:00	:BKR	26.25	27.21	26.24	26.79	6431428.00
2004-04-28 15:30:00	:BKR	26.65	27.08	26.11	26.21	4333142.00
2004-04-29 15:30:00	:BKR	26.21	26.21	25.10	25.41	4445285.00
2004-04-30 15:30:00	:BKR	25.62	25.89	24.99	25.68	3809000.00
2004-05-03 15:30:00	:BKR	25.68	26.35	25.49	26.33	3060142.00
2004-05-04 15:30:00	:BKR	26.33	26.45	25.72	25.91	2910142.00
2004-05-05 15:30:00	:BKR	25.10	26.17	24.85	26.17	6496574.00
2004-05-06 15:30:00	:BKR	26.00	26.29	25.68	25.93	3182857.00
2004-05-07 15:30:00	:BKR	25.93	26.03	24.95	25.13	2446142.00
2004-05-10 15:30:00	:BKR	24.68	24.89	24.01	24.40	4107571.00
2004-05-11 15:30:00	:BKR	24.57	24.79	24.18	24.45	3673285.00
2004-05-12 15:30:00	:BKR	24.38	25.03	24.14	24.70	3959857.00
2004-05-13 15:30:00	:BKR	24.56	24.79	24.49	24.56	2734857.00
2004-05-14 15:30:00	:BKR	24.60	25.13	24.24	24.74	2098571.00
2004-05-17 15:30:00	:BKR	24.54	25.20	24.54	24.89	3094000.00
2004-05-18 15:30:00	:BKR	24.93	24.94	23.97	24.27	4081285.00
2004-05-19 15:30:00	:BKR	24.32	24.58	23.80	24.05	3815571.00
2004-05-20 15:30:00	:BKR	24.11	24.31	23.75	23.83	3065285.00
2004-05-21 15:30:00	:BKR	23.90	24.07	23.55	23.69	3107714.00
2004-05-24 15:30:00	:BKR	23.80	24.65	23.53	24.44	4241285.00
2004-05-25 15:30:00	:BKR	24.44	24.91	24.22	24.68	2775571.00
2004-05-26 15:30:00	:BKR	24.60	24.79	23.90	24.00	4097714.00
2004-05-27 15:30:00	:BKR	23.95	23.95	23.46	23.61	4249285.00
2004-05-28 15:30:00	:BKR	23.54	24.01	23.51	23.82	2526857.00
2004-06-01 15:30:00	:BKR	24.11	24.32	23.90	24.01	3539142.00
2004-06-02 15:30:00	:BKR	24.15	24.20	23.70	24.10	3150428.00
2004-06-03 15:30:00	:BKR	24.09	24.43	23.60	23.60	2406285.00
2004-06-04 15:30:00	:BKR	23.60	23.83	23.41	23.65	2958857.00
2004-06-07 15:30:00	:BKR	23.66	24.24	23.52	24.20	3059714.00
2004-06-08 15:30:00	:BKR	24.41	24.73	24.06	24.18	3887714.00
2004-06-09 15:30:00	:BKR	24.17	24.18	23.64	23.89	3887000.00
2004-06-10 15:30:00	:BKR	24.08	24.28	23.90	24.22	3267571.00
2004-06-14 15:30:00	:BKR	24.16	24.46	24.06	24.07	2186571.00
2004-06-15 15:30:00	:BKR	24.25	24.79	24.15	24.72	3871714.00
2004-06-16 15:30:00	:BKR	25.02	25.41	25.00	25.34	3338857.00
2004-06-17 15:30:00	:BKR	25.45	25.92	25.30	25.73	4656571.00
2004-06-18 15:30:00	:BKR	25.77	25.89	25.31	25.66	3417142.00
2004-06-21 15:30:00	:BKR	25.52	25.71	25.40	25.42	2577428.00
2004-06-22 15:30:00	:BKR	25.40	25.80	25.39	25.68	2962714.00
2004-06-23 15:30:00	:BKR	25.68	26.03	25.42	25.83	3547714.00
2004-06-24 15:30:00	:BKR	25.84	25.86	25.48	25.56	2931142.00
2004-06-25 15:30:00	:BKR	25.48	26.00	25.48	26.00	4861428.00
2004-06-28 15:30:00	:BKR	25.92	26.00	25.57	25.67	3844142.00
2004-06-29 15:30:00	:BKR	25.62	26.04	25.40	25.96	2922142.00
2004-06-30 15:30:00	:BKR	25.92	26.40	25.90	26.35	2928142.00
2004-07-01 15:30:00	:BKR	26.36	26.50	26.20	26.35	3293714.00
2004-07-02 15:30:00	:BKR	26.35	26.54	25.98	26.41	2718857.00
2004-07-06 15:30:00	:BKR	26.55	26.64	26.31	26.46	2195000.00
2004-07-07 15:30:00	:BKR	26.46	26.91	26.29	26.91	3560857.00
2004-07-08 15:30:00	:BKR	26.88	27.05	26.45	26.66	3260142.00
2004-07-09 15:30:00	:BKR	26.66	27.08	26.31	27.05	3165571.00
2004-07-12 15:30:00	:BKR	26.98	27.03	26.64	26.87	2145000.00
2004-07-13 15:30:00	:BKR	26.61	26.94	26.47	26.75	2181714.00
2004-07-14 15:30:00	:BKR	26.76	27.24	26.70	27.18	3217428.00
2004-07-15 15:30:00	:BKR	27.22	27.93	26.98	27.88	4739714.00
2004-07-16 15:30:00	:BKR	28.00	28.25	27.68	28.11	4260142.00
2004-07-19 15:30:00	:BKR	28.16	28.39	27.87	28.15	3042857.00
2004-07-20 15:30:00	:BKR	27.75	27.92	27.41	27.78	3332857.00
2004-07-21 15:30:00	:BKR	27.82	28.32	27.34	27.37	2917285.00
2004-07-22 15:30:00	:BKR	27.34	27.85	27.16	27.75	3772857.00
2004-07-23 15:30:00	:BKR	27.58	27.78	27.21	27.50	2933714.00
2004-07-26 15:30:00	:BKR	27.51	27.92	26.92	27.27	2653714.00
2004-07-27 15:30:00	:BKR	27.27	27.70	27.11	27.46	2773857.00
2004-07-28 15:30:00	:BKR	27.57	27.96	27.52	27.68	2750285.00
2004-07-29 15:30:00	:BKR	27.96	27.96	27.41	27.71	4291000.00
2004-07-30 15:30:00	:BKR	28.10	28.53	27.93	28.21	3911571.00
2004-08-02 15:30:00	:BKR	28.21	28.52	28.00	28.15	3982571.00
2004-08-03 15:30:00	:BKR	28.41	28.73	28.32	28.54	2927142.00
2004-08-04 15:30:00	:BKR	28.63	28.66	28.01	28.15	4247000.00
2004-08-05 15:30:00	:BKR	28.00	28.25	27.71	27.79	4375571.00
2004-08-06 15:30:00	:BKR	27.75	27.78	26.70	26.87	3738142.00
2004-08-09 15:30:00	:BKR	27.05	27.81	26.94	27.56	2583428.00
2004-08-10 15:30:00	:BKR	27.70	27.93	27.49	27.56	2879714.00
2004-08-11 15:30:00	:BKR	27.49	27.70	27.29	27.57	3942428.00
2004-08-12 15:30:00	:BKR	27.48	27.79	27.12	27.15	3480285.00
2004-08-13 15:30:00	:BKR	27.23	27.57	27.08	27.27	2806428.00
2004-08-16 15:30:00	:BKR	27.27	27.60	27.17	27.45	2869571.00
2004-08-17 15:30:00	:BKR	27.45	27.45	26.92	26.95	3379571.00
2004-08-18 15:30:00	:BKR	27.02	27.27	26.88	27.08	3681285.00
2004-08-19 15:30:00	:BKR	27.20	27.89	27.17	27.30	3700857.00
2004-08-20 15:30:00	:BKR	27.48	28.02	27.46	27.55	3762714.00
