datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:BK	34.62	34.78	34.09	34.34	1694310.00
2004-04-08 15:30:00	:BK	34.61	34.73	34.31	34.36	1933956.00
2004-04-12 15:30:00	:BK	34.63	35.21	34.41	34.99	1702707.00
2004-04-13 15:30:00	:BK	35.05	35.14	33.83	34.00	3229927.00
2004-04-14 15:30:00	:BK	33.33	33.91	32.91	33.17	2918671.00
2004-04-15 15:30:00	:BK	33.17	33.27	32.00	32.54	3427776.00
2004-04-16 15:30:00	:BK	32.80	33.36	32.78	32.99	2620718.00
2004-04-19 15:30:00	:BK	32.99	33.03	32.54	32.60	1807906.00
2004-04-20 15:30:00	:BK	32.83	32.90	32.19	32.20	1746202.00
2004-04-21 15:30:00	:BK	31.90	32.01	31.29	31.43	5136145.00
2004-04-22 15:30:00	:BK	31.43	32.23	31.33	32.11	6157844.00
2004-04-23 15:30:00	:BK	31.96	32.33	31.79	32.11	2742900.00
2004-04-26 15:30:00	:BK	32.26	32.42	31.90	32.07	1702896.00
2004-04-27 15:30:00	:BK	32.18	32.71	32.17	32.23	2145862.00
2004-04-28 15:30:00	:BK	31.90	31.92	31.27	31.28	2167091.00
2004-04-29 15:30:00	:BK	31.21	31.83	30.89	31.13	3039437.00
2004-04-30 15:30:00	:BK	31.32	31.32	30.74	30.89	3484102.00
2004-05-03 15:30:00	:BK	30.80	31.08	30.58	30.83	2847910.00
2004-05-04 15:30:00	:BK	31.03	31.53	30.94	31.26	2888857.00
2004-05-05 15:30:00	:BK	31.74	32.02	31.50	31.83	3082177.00
2004-05-06 15:30:00	:BK	31.81	32.06	31.64	31.95	3411642.00
2004-05-07 15:30:00	:BK	31.85	31.86	30.99	31.18	3206717.00
2004-05-10 15:30:00	:BK	31.02	31.03	30.13	30.68	2697235.00
2004-05-11 15:30:00	:BK	30.74	30.83	30.44	30.63	2964524.00
2004-05-12 15:30:00	:BK	30.44	30.63	30.13	30.46	5985658.00
2004-05-13 15:30:00	:BK	30.37	31.33	30.36	30.85	4402398.00
2004-05-14 15:30:00	:BK	30.86	31.15	30.56	31.00	3727710.00
2004-05-17 15:30:00	:BK	30.56	30.77	30.22	30.41	2822907.00
2004-05-18 15:30:00	:BK	30.58	31.28	30.57	31.11	4112748.00
2004-05-19 15:30:00	:BK	31.64	32.15	31.08	31.09	3085574.00
2004-05-20 15:30:00	:BK	30.92	31.00	30.65	30.80	2139352.00
2004-05-21 15:30:00	:BK	31.71	31.71	30.95	31.09	1599773.00
2004-05-24 15:30:00	:BK	31.35	31.37	31.01	31.14	2746768.00
2004-05-25 15:30:00	:BK	31.00	31.86	30.78	31.82	2067930.00
2004-05-26 15:30:00	:BK	31.77	32.20	31.64	31.85	1669685.00
2004-05-27 15:30:00	:BK	32.24	32.24	31.59	31.80	2342296.00
2004-05-28 15:30:00	:BK	31.85	31.92	31.69	31.87	1425040.00
2004-06-01 15:30:00	:BK	31.71	31.88	31.47	31.81	2037456.00
2004-06-02 15:30:00	:BK	31.83	32.27	31.75	32.08	1498914.00
2004-06-03 15:30:00	:BK	31.85	31.95	31.50	31.50	1164732.00
2004-06-04 15:30:00	:BK	31.57	31.90	31.53	31.81	1867723.00
2004-06-07 15:30:00	:BK	31.95	32.22	31.88	32.22	2198131.00
