datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:BMY	24.34	24.54	24.20	24.34	4297801.00
2004-04-08 15:30:00	:BMY	24.70	24.75	23.90	24.02	5856398.00
2004-04-12 15:30:00	:BMY	24.25	24.40	24.06	24.37	4210398.00
2004-04-13 15:30:00	:BMY	24.50	24.59	24.08	24.08	5700000.00
2004-04-14 15:30:00	:BMY	24.09	24.83	24.08	24.50	7315801.00
2004-04-15 15:30:00	:BMY	24.55	25.10	24.50	24.97	12909801.00
2004-04-16 15:30:00	:BMY	24.98	25.25	24.68	24.88	8515801.00
2004-04-19 15:30:00	:BMY	24.88	24.93	24.42	24.53	5882301.00
2004-04-20 15:30:00	:BMY	24.54	24.77	24.16	24.16	5377801.00
2004-04-21 15:30:00	:BMY	24.33	24.67	24.31	24.38	9069898.00
2004-04-22 15:30:00	:BMY	24.40	24.78	24.26	24.70	7172301.00
2004-04-23 15:30:00	:BMY	24.70	24.98	24.61	24.90	7369699.00
2004-04-26 15:30:00	:BMY	25.00	25.02	24.65	24.76	6456801.00
2004-04-27 15:30:00	:BMY	25.08	25.08	24.60	24.72	8363699.00
2004-04-28 15:30:00	:BMY	25.08	25.63	24.85	25.48	12302102.00
2004-04-29 15:30:00	:BMY	25.62	25.68	25.10	25.30	9295301.00
2004-04-30 15:30:00	:BMY	25.35	25.54	25.10	25.10	6975102.00
2004-05-03 15:30:00	:BMY	25.40	25.63	25.20	25.61	5800699.00
2004-05-04 15:30:00	:BMY	25.80	25.92	25.48	25.78	6505199.00
2004-05-05 15:30:00	:BMY	26.10	26.42	25.98	26.05	7685199.00
2004-05-06 15:30:00	:BMY	26.04	26.29	25.89	26.18	7010602.00
2004-05-07 15:30:00	:BMY	26.18	26.38	26.00	26.00	6634801.00
2004-05-10 15:30:00	:BMY	25.90	25.92	25.07	25.38	7177602.00
2004-05-11 15:30:00	:BMY	25.39	25.52	25.20	25.45	4806699.00
2004-05-12 15:30:00	:BMY	25.25	25.60	25.09	25.57	4231199.00
2004-05-13 15:30:00	:BMY	25.57	25.65	25.36	25.48	3941300.00
2004-05-14 15:30:00	:BMY	25.35	25.79	25.35	25.66	3991200.00
2004-05-17 15:30:00	:BMY	25.30	25.70	25.27	25.43	4063300.00
2004-05-18 15:30:00	:BMY	25.50	25.79	25.46	25.55	3910400.00
2004-05-19 15:30:00	:BMY	25.65	25.90	25.39	25.49	4211699.00
2004-05-20 15:30:00	:BMY	25.30	25.44	25.06	25.11	6242801.00
2004-05-21 15:30:00	:BMY	25.94	25.94	24.91	25.07	5729699.00
2004-05-24 15:30:00	:BMY	25.06	25.10	24.73	24.93	4576398.00
2004-05-25 15:30:00	:BMY	24.77	25.15	24.77	25.11	4684699.00
2004-05-26 15:30:00	:BMY	25.08	25.15	24.93	25.05	4092300.00
2004-05-27 15:30:00	:BMY	25.09	25.30	25.02	25.25	4993500.00
2004-05-28 15:30:00	:BMY	25.16	25.30	25.05	25.27	4937801.00
2004-06-01 15:30:00	:BMY	25.25	25.32	25.12	25.26	4263102.00
2004-06-02 15:30:00	:BMY	25.33	25.41	25.03	25.29	4071000.00
2004-06-03 15:30:00	:BMY	25.30	25.37	25.13	25.17	3371300.00
2004-06-04 15:30:00	:BMY	25.22	25.47	25.21	25.47	5373500.00
2004-06-07 15:30:00	:BMY	25.55	25.94	25.55	25.90	4988199.00
2004-06-08 15:30:00	:BMY	25.95	26.10	25.80	25.90	4954000.00
2004-06-09 15:30:00	:BMY	25.79	25.98	25.53	25.63	3451100.00
2004-06-10 15:30:00	:BMY	25.72	25.85	25.68	25.85	3456300.00
2004-06-14 15:30:00	:BMY	25.70	26.03	25.69	25.78	4268500.00
2004-06-15 15:30:00	:BMY	25.90	26.10	25.75	25.84	4560699.00
2004-06-16 15:30:00	:BMY	25.80	25.93	25.58	25.70	3885300.00
2004-06-17 15:30:00	:BMY	25.58	25.75	25.48	25.70	3147800.00
2004-06-18 15:30:00	:BMY	25.44	25.69	25.29	25.30	6195602.00
2004-06-21 15:30:00	:BMY	25.30	25.46	25.25	25.30	3931200.00
2004-06-22 15:30:00	:BMY	25.26	25.32	25.08	25.16	4667000.00
2004-06-23 15:30:00	:BMY	25.11	25.15	24.75	25.01	8225801.00
2004-06-24 15:30:00	:BMY	25.00	25.01	24.75	24.75	5313000.00
2004-06-25 15:30:00	:BMY	24.78	24.86	24.55	24.55	7221000.00
2004-06-28 15:30:00	:BMY	24.70	24.89	24.62	24.74	4971301.00
2004-06-29 15:30:00	:BMY	24.74	24.78	24.61	24.65	3972900.00
2004-06-30 15:30:00	:BMY	24.52	24.55	24.41	24.50	7008102.00
2004-07-01 15:30:00	:BMY	24.46	24.51	24.11	24.32	5602398.00
2004-07-02 15:30:00	:BMY	24.13	24.31	24.06	24.15	3537600.00
2004-07-06 15:30:00	:BMY	24.25	24.34	23.90	23.93	5328102.00
2004-07-07 15:30:00	:BMY	23.92	23.93	23.71	23.89	6076301.00
2004-07-08 15:30:00	:BMY	23.77	24.27	23.76	23.82	4661699.00
2004-07-09 15:30:00	:BMY	24.01	24.38	24.00	24.08	4256801.00
2004-07-12 15:30:00	:BMY	24.08	24.20	23.98	24.08	2848000.00
2004-07-13 15:30:00	:BMY	24.09	24.27	24.05	24.21	3030700.00
2004-07-14 15:30:00	:BMY	24.17	24.29	23.84	23.90	5752301.00
2004-07-15 15:30:00	:BMY	23.86	23.94	23.61	23.61	4493699.00
2004-07-16 15:30:00	:BMY	23.62	23.77	23.10	23.56	5277699.00
2004-07-19 15:30:00	:BMY	23.66	23.73	23.56	23.65	4110500.00
2004-07-20 15:30:00	:BMY	23.60	23.70	23.36	23.53	6578301.00
2004-07-21 15:30:00	:BMY	23.50	23.70	23.27	23.30	5083898.00
2004-07-22 15:30:00	:BMY	23.26	23.50	23.19	23.47	6184301.00
2004-07-23 15:30:00	:BMY	23.47	23.64	23.46	23.51	4796301.00
2004-07-26 15:30:00	:BMY	23.50	23.58	23.16	23.40	3831100.00
2004-07-27 15:30:00	:BMY	23.40	23.72	23.34	23.68	4698199.00
2004-07-28 15:30:00	:BMY	23.68	23.75	23.25	23.57	5042500.00
2004-07-29 15:30:00	:BMY	23.00	23.25	22.22	22.57	20548000.00
2004-07-30 15:30:00	:BMY	22.57	22.90	22.48	22.90	8037301.00
2004-08-02 15:30:00	:BMY	23.09	23.24	22.84	23.16	5938398.00
2004-08-03 15:30:00	:BMY	23.31	23.41	22.63	23.14	6666801.00
2004-08-04 15:30:00	:BMY	23.16	23.48	23.02	23.30	5243500.00
2004-08-05 15:30:00	:BMY	23.20	23.33	22.97	23.00	4009900.00
2004-08-06 15:30:00	:BMY	22.67	22.91	22.58	22.67	6037602.00
2004-08-09 15:30:00	:BMY	22.55	22.72	22.44	22.50	4127301.00
2004-08-10 15:30:00	:BMY	22.50	22.72	22.41	22.71	3565400.00
2004-08-11 15:30:00	:BMY	22.58	23.25	22.58	23.22	5403199.00
2004-08-12 15:30:00	:BMY	23.05	23.35	22.94	22.99	4140898.00
2004-08-13 15:30:00	:BMY	23.15	23.17	22.60	22.70	3840000.00
2004-08-16 15:30:00	:BMY	22.65	23.11	22.60	22.96	3310300.00
2004-08-17 15:30:00	:BMY	22.96	23.17	22.91	23.05	5592199.00
2004-08-18 15:30:00	:BMY	22.90	23.28	22.81	23.25	4169301.00
2004-08-19 15:30:00	:BMY	23.02	23.23	23.00	23.16	3029900.00
2004-08-20 15:30:00	:BMY	23.16	23.50	23.07	23.46	3392600.00
2004-08-23 15:30:00	:BMY	23.25	23.55	23.25	23.30	4333102.00
2004-08-24 15:30:00	:BMY	23.48	23.48	23.17	23.25	2747900.00
2004-08-25 15:30:00	:BMY	23.26	23.83	23.21	23.77	4323000.00
2004-08-26 15:30:00	:BMY	23.76	23.88	23.67	23.77	3013000.00
2004-08-27 15:30:00	:BMY	23.80	24.26	23.73	24.23	6354699.00
2004-08-30 15:30:00	:BMY	24.09	24.25	23.82	23.84	3358400.00
2004-08-31 15:30:00	:BMY	23.85	23.93	23.59	23.73	4543500.00
2004-09-01 15:30:00	:BMY	23.74	23.83	23.48	23.64	4235398.00
2004-09-02 15:30:00	:BMY	23.64	23.83	23.41	23.70	4194199.00
2004-09-03 15:30:00	:BMY	23.75	23.97	23.68	23.71	3231900.00
2004-09-07 15:30:00	:BMY	23.75	23.96	23.46	23.65	5059000.00
2004-09-08 15:30:00	:BMY	23.65	23.95	23.60	23.87	5028801.00
2004-09-09 15:30:00	:BMY	23.98	23.99	23.75	23.81	3031500.00
2004-09-10 15:30:00	:BMY	23.90	24.05	23.85	24.00	5032000.00
2004-09-13 15:30:00	:BMY	24.10	24.22	23.95	24.17	5423898.00
2004-09-14 15:30:00	:BMY	24.22	24.43	24.16	24.27	4454199.00
2004-09-15 15:30:00	:BMY	24.38	24.38	24.08	24.26	4450000.00
2004-09-16 15:30:00	:BMY	24.37	24.59	24.28	24.41	4493801.00
2004-09-17 15:30:00	:BMY	24.70	24.72	24.45	24.68	5963102.00
2004-09-20 15:30:00	:BMY	24.28	24.68	24.18	24.24	4933500.00
2004-09-21 15:30:00	:BMY	24.35	24.51	24.25	24.45	3791000.00
2004-09-22 15:30:00	:BMY	24.48	24.56	24.00	24.11	4913398.00
2004-09-23 15:30:00	:BMY	24.16	24.38	23.88	23.90	3628600.00
2004-09-24 15:30:00	:BMY	23.96	24.34	23.95	24.19	3412700.00
2004-09-27 15:30:00	:BMY	24.02	24.09	23.77	23.80	5765398.00
2004-09-28 15:30:00	:BMY	23.87	23.95	23.72	23.85	4630898.00
2004-09-29 15:30:00	:BMY	23.60	23.87	23.58	23.86	4283102.00
2004-09-30 15:30:00	:BMY	23.90	23.92	23.39	23.67	7286398.00
2004-10-01 15:30:00	:BMY	23.82	24.16	23.76	24.14	4837699.00
2004-10-04 15:30:00	:BMY	23.50	24.53	23.50	24.35	7224102.00
2004-10-05 15:30:00	:BMY	24.25	24.40	24.06	24.16	4217500.00
2004-10-06 15:30:00	:BMY	24.07	24.19	23.81	24.18	5022102.00
2004-10-07 15:30:00	:BMY	24.10	24.16	23.40	23.50	6644398.00
2004-10-08 15:30:00	:BMY	23.36	23.50	23.15	23.24	4201699.00
2004-10-11 15:30:00	:BMY	23.15	23.36	23.15	23.20	2484300.00
2004-10-12 15:30:00	:BMY	23.01	23.17	22.91	23.10	5984199.00
2004-10-13 15:30:00	:BMY	23.24	23.40	22.83	23.06	7363602.00
2004-10-14 15:30:00	:BMY	23.13	23.38	22.96	23.00	4268699.00
2004-10-15 15:30:00	:BMY	22.79	23.23	22.79	23.01	7288000.00
