datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:BRK.B	63.14	63.14	62.50	62.98	333000.00
2004-04-08 15:30:00	:BRK.B	63.08	63.58	62.81	62.81	451000.00
2004-04-12 15:30:00	:BRK.B	63.20	63.68	62.82	63.68	698500.00
2004-04-13 15:30:00	:BRK.B	63.74	63.78	62.26	62.36	725500.00
2004-04-14 15:30:00	:BRK.B	62.02	62.72	62.00	62.72	729000.00
2004-04-15 15:30:00	:BRK.B	63.14	63.24	61.68	61.68	687500.00
2004-04-16 15:30:00	:BRK.B	61.98	62.06	61.38	61.55	715000.00
2004-04-19 15:30:00	:BRK.B	61.64	62.00	61.26	62.00	361000.00
2004-04-20 15:30:00	:BRK.B	62.08	62.40	61.48	61.58	496000.00
2004-04-21 15:30:00	:BRK.B	61.86	61.86	61.31	61.31	421500.00
2004-04-22 15:30:00	:BRK.B	61.40	61.50	61.10	61.12	656500.00
2004-04-23 15:30:00	:BRK.B	62.06	62.32	61.64	62.18	486000.00
2004-04-26 15:30:00	:BRK.B	62.46	62.56	61.84	62.08	526000.00
2004-04-27 15:30:00	:BRK.B	62.02	62.56	61.66	62.04	491500.00
2004-04-28 15:30:00	:BRK.B	62.14	62.30	61.52	62.30	885500.00
2004-04-29 15:30:00	:BRK.B	62.26	62.34	61.94	62.20	444500.00
2004-04-30 15:30:00	:BRK.B	62.24	62.38	62.10	62.38	363500.00
2004-05-03 15:30:00	:BRK.B	62.50	62.58	61.72	62.00	888500.00
2004-05-04 15:30:00	:BRK.B	62.08	62.18	61.50	61.58	595500.00
2004-05-05 15:30:00	:BRK.B	61.66	62.20	61.28	62.10	1008000.00
2004-05-06 15:30:00	:BRK.B	62.10	62.10	60.74	60.86	1150500.00
2004-05-07 15:30:00	:BRK.B	61.34	61.44	60.86	60.86	1003000.00
2004-05-10 15:30:00	:BRK.B	60.20	60.20	57.50	57.80	1993000.00
2004-05-11 15:30:00	:BRK.B	58.26	59.46	58.20	58.64	937000.00
2004-05-12 15:30:00	:BRK.B	58.74	58.74	57.32	57.79	1084500.00
2004-05-13 15:30:00	:BRK.B	57.79	57.94	56.60	57.02	734500.00
2004-05-14 15:30:00	:BRK.B	57.10	57.80	56.70	57.80	628500.00
2004-05-17 15:30:00	:BRK.B	57.40	57.96	57.20	57.62	628500.00
2004-05-18 15:30:00	:BRK.B	57.88	58.78	57.66	58.75	805000.00
2004-05-19 15:30:00	:BRK.B	59.32	59.76	59.04	59.20	929500.00
2004-05-20 15:30:00	:BRK.B	59.48	60.00	59.34	59.74	631000.00
2004-05-21 15:30:00	:BRK.B	60.00	60.18	59.20	59.44	855000.00
2004-05-24 15:30:00	:BRK.B	59.80	59.80	58.20	58.68	493500.00
2004-05-25 15:30:00	:BRK.B	58.08	58.60	57.82	58.00	856500.00
2004-05-26 15:30:00	:BRK.B	57.90	58.44	57.90	58.38	383500.00
2004-05-27 15:30:00	:BRK.B	58.74	59.35	58.72	59.20	497000.00
2004-05-28 15:30:00	:BRK.B	59.32	59.50	59.20	59.44	225500.00
2004-06-01 15:30:00	:BRK.B	59.40	59.98	59.28	59.92	434000.00
2004-06-02 15:30:00	:BRK.B	60.00	60.30	59.76	59.86	1093500.00
2004-06-03 15:30:00	:BRK.B	59.86	59.86	59.00	59.06	565000.00
2004-06-04 15:30:00	:BRK.B	59.06	59.84	59.06	59.58	273500.00
2004-06-07 15:30:00	:BRK.B	59.74	59.96	59.64	59.88	478000.00
2004-06-08 15:30:00	:BRK.B	59.94	59.94	59.50	59.76	507500.00
2004-06-09 15:30:00	:BRK.B	59.96	59.96	59.04	59.80	614000.00
2004-06-10 15:30:00	:BRK.B	59.80	59.80	59.58	59.70	263500.00
2004-06-14 15:30:00	:BRK.B	59.70	59.70	59.10	59.23	319500.00
2004-06-15 15:30:00	:BRK.B	59.40	59.50	59.20	59.40	311000.00
2004-06-16 15:30:00	:BRK.B	59.40	59.70	58.81	58.90	463500.00
2004-06-17 15:30:00	:BRK.B	58.90	58.90	58.28	58.78	458000.00
2004-06-18 15:30:00	:BRK.B	58.60	58.72	58.02	58.20	458000.00
2004-06-21 15:30:00	:BRK.B	58.20	58.20	57.52	57.96	636500.00
2004-06-22 15:30:00	:BRK.B	57.84	58.20	57.48	57.48	656000.00
2004-06-23 15:30:00	:BRK.B	57.48	58.20	57.48	57.96	940000.00
2004-06-24 15:30:00	:BRK.B	57.96	58.24	57.84	58.20	780500.00
2004-06-25 15:30:00	:BRK.B	58.38	58.60	58.18	58.50	631500.00
2004-06-28 15:30:00	:BRK.B	58.52	58.68	58.02	58.25	308500.00
2004-06-29 15:30:00	:BRK.B	58.20	58.88	58.00	58.76	502000.00
2004-06-30 15:30:00	:BRK.B	59.06	59.18	58.80	59.10	431000.00
2004-07-01 15:30:00	:BRK.B	59.30	59.76	59.15	59.76	515000.00
2004-07-02 15:30:00	:BRK.B	59.84	60.00	59.80	60.00	278000.00
2004-07-06 15:30:00	:BRK.B	59.70	60.14	59.60	60.12	459500.00
2004-07-07 15:30:00	:BRK.B	60.00	60.20	59.82	59.96	1114500.00
2004-07-08 15:30:00	:BRK.B	60.04	60.40	59.98	60.00	356500.00
2004-07-09 15:30:00	:BRK.B	59.92	60.10	59.80	59.92	335000.00
2004-07-12 15:30:00	:BRK.B	59.98	60.16	59.84	60.12	350000.00
2004-07-13 15:30:00	:BRK.B	60.36	60.48	60.22	60.46	356000.00
2004-07-14 15:30:00	:BRK.B	60.48	60.52	59.90	60.06	538000.00
2004-07-15 15:30:00	:BRK.B	60.24	60.24	60.02	60.17	383500.00
2004-07-16 15:30:00	:BRK.B	60.32	60.50	60.24	60.42	484000.00
2004-07-19 15:30:00	:BRK.B	60.42	60.48	60.20	60.33	417500.00
2004-07-20 15:30:00	:BRK.B	60.12	60.14	59.92	59.92	599500.00
2004-07-21 15:30:00	:BRK.B	60.00	60.08	59.20	59.88	732500.00
2004-07-22 15:30:00	:BRK.B	59.82	59.82	58.22	59.09	1106000.00
2004-07-23 15:30:00	:BRK.B	59.32	59.32	58.54	58.82	1162000.00
2004-07-26 15:30:00	:BRK.B	58.78	58.78	58.08	58.08	423000.00
2004-07-27 15:30:00	:BRK.B	58.20	58.78	58.14	58.22	677000.00
2004-07-28 15:30:00	:BRK.B	58.02	58.25	57.62	57.98	530500.00
2004-07-29 15:30:00	:BRK.B	57.98	58.60	57.72	58.60	593500.00
2004-07-30 15:30:00	:BRK.B	58.10	58.13	57.88	57.88	384500.00
2004-08-02 15:30:00	:BRK.B	57.60	58.00	57.22	58.00	514000.00
2004-08-03 15:30:00	:BRK.B	57.82	57.84	57.14	57.46	482500.00
2004-08-04 15:30:00	:BRK.B	57.32	57.32	56.86	56.86	795500.00
2004-08-05 15:30:00	:BRK.B	57.00	57.16	56.70	57.02	494500.00
2004-08-06 15:30:00	:BRK.B	57.14	57.32	56.80	57.13	448000.00
2004-08-09 15:30:00	:BRK.B	56.52	56.80	55.76	55.80	1410000.00
2004-08-10 15:30:00	:BRK.B	55.74	57.54	55.64	57.40	773500.00
2004-08-11 15:30:00	:BRK.B	57.40	57.40	56.44	56.90	338500.00
2004-08-12 15:30:00	:BRK.B	57.00	57.14	56.50	56.62	531000.00
2004-08-13 15:30:00	:BRK.B	56.80	56.92	56.52	56.60	362500.00
2004-08-16 15:30:00	:BRK.B	56.86	56.99	56.58	56.64	351500.00
2004-08-17 15:30:00	:BRK.B	56.80	58.08	56.76	57.62	466000.00
2004-08-18 15:30:00	:BRK.B	57.62	57.80	57.42	57.66	378500.00
2004-08-19 15:30:00	:BRK.B	57.66	57.87	57.56	57.62	248000.00
2004-08-20 15:30:00	:BRK.B	57.80	57.96	57.70	57.88	155500.00
2004-08-23 15:30:00	:BRK.B	57.80	57.80	57.16	57.32	600000.00
2004-08-24 15:30:00	:BRK.B	57.72	57.76	56.50	56.60	629500.00
2004-08-25 15:30:00	:BRK.B	56.60	57.76	56.50	57.44	519000.00
2004-08-26 15:30:00	:BRK.B	57.36	57.44	57.14	57.40	481500.00
2004-08-27 15:30:00	:BRK.B	57.40	57.82	57.20	57.42	315000.00
2004-08-30 15:30:00	:BRK.B	57.42	57.42	57.18	57.35	260500.00
2004-08-31 15:30:00	:BRK.B	57.32	57.88	57.28	57.88	243000.00
2004-09-01 15:30:00	:BRK.B	57.90	57.90	57.44	57.44	219500.00
2004-09-02 15:30:00	:BRK.B	57.46	57.72	57.32	57.64	410500.00
2004-09-03 15:30:00	:BRK.B	57.64	57.64	57.34	57.38	391000.00
2004-09-07 15:30:00	:BRK.B	57.76	57.96	57.62	57.78	356000.00
2004-09-08 15:30:00	:BRK.B	57.72	58.28	57.72	57.98	480000.00
2004-09-09 15:30:00	:BRK.B	57.86	57.88	57.40	57.64	404500.00
2004-09-10 15:30:00	:BRK.B	57.68	57.68	57.36	57.44	489500.00
2004-09-13 15:30:00	:BRK.B	57.60	57.76	57.40	57.40	242000.00
2004-09-14 15:30:00	:BRK.B	57.50	57.62	57.40	57.62	227000.00
2004-09-15 15:30:00	:BRK.B	57.56	57.56	57.40	57.46	578500.00
2004-09-16 15:30:00	:BRK.B	57.56	57.56	57.42	57.43	172500.00
2004-09-17 15:30:00	:BRK.B	57.42	57.58	57.41	57.42	265000.00
2004-09-20 15:30:00	:BRK.B	57.42	57.46	57.40	57.44	530500.00
2004-09-21 15:30:00	:BRK.B	57.52	57.90	57.50	57.64	332000.00
2004-09-22 15:30:00	:BRK.B	57.72	58.12	57.52	58.00	781500.00
2004-09-23 15:30:00	:BRK.B	58.06	58.38	57.96	58.18	574000.00
2004-09-24 15:30:00	:BRK.B	58.20	58.34	57.60	57.62	404000.00
2004-09-27 15:30:00	:BRK.B	57.20	57.54	57.20	57.43	508000.00
2004-09-28 15:30:00	:BRK.B	57.44	57.68	57.41	57.56	776000.00
2004-09-29 15:30:00	:BRK.B	57.50	57.60	57.41	57.47	421000.00
2004-09-30 15:30:00	:BRK.B	57.42	57.48	57.40	57.42	564000.00
2004-10-01 15:30:00	:BRK.B	57.60	57.60	56.80	56.80	835500.00
2004-10-04 15:30:00	:BRK.B	56.80	57.34	56.52	56.76	565000.00
2004-10-05 15:30:00	:BRK.B	56.80	57.14	56.78	57.06	537500.00
