datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:CAG	21.51	21.71	21.46	21.58	1890069.00
2004-04-08 15:30:00	:CAG	21.65	21.79	21.54	21.78	2853129.00
2004-04-12 15:30:00	:CAG	21.82	21.87	21.75	21.80	3359534.00
2004-04-13 15:30:00	:CAG	21.82	21.98	21.82	21.85	2538871.00
2004-04-14 15:30:00	:CAG	21.82	22.08	21.68	22.08	2624155.00
2004-04-15 15:30:00	:CAG	22.03	22.25	22.01	22.18	3003410.00
2004-04-16 15:30:00	:CAG	22.29	22.40	22.19	22.30	2252396.00
2004-04-19 15:30:00	:CAG	22.29	22.44	22.23	22.43	1456155.00
2004-04-20 15:30:00	:CAG	22.43	22.51	22.36	22.39	3712169.00
2004-04-21 15:30:00	:CAG	22.26	22.61	22.16	22.50	2566653.00
2004-04-22 15:30:00	:CAG	22.49	22.72	22.43	22.68	2236760.00
2004-04-23 15:30:00	:CAG	22.64	22.74	22.49	22.67	1532135.00
2004-04-26 15:30:00	:CAG	22.67	22.74	22.62	22.68	1746637.00
2004-04-27 15:30:00	:CAG	22.69	22.85	22.62	22.68	2007915.00
2004-04-28 15:30:00	:CAG	22.68	22.68	22.39	22.43	2853000.00
2004-04-29 15:30:00	:CAG	22.27	22.51	22.26	22.45	1950930.00
2004-04-30 15:30:00	:CAG	22.43	22.59	22.36	22.36	2097980.00
2004-05-03 15:30:00	:CAG	22.36	22.70	22.28	22.64	2072137.00
2004-05-04 15:30:00	:CAG	22.64	22.69	22.49	22.61	2092295.00
2004-05-05 15:30:00	:CAG	22.58	22.68	22.52	22.63	1533169.00
2004-05-06 15:30:00	:CAG	22.53	22.76	22.47	22.71	1843809.00
2004-05-07 15:30:00	:CAG	22.71	22.74	22.57	22.62	1566120.00
2004-05-10 15:30:00	:CAG	22.78	22.78	22.21	22.30	2202001.00
2004-05-11 15:30:00	:CAG	22.29	22.30	22.04	22.27	1845618.00
2004-05-12 15:30:00	:CAG	22.18	22.18	21.69	22.10	1935295.00
2004-05-13 15:30:00	:CAG	22.11	22.13	21.79	21.95	1364152.00
2004-05-14 15:30:00	:CAG	21.85	22.17	21.80	22.08	1372681.00
2004-05-17 15:30:00	:CAG	21.71	21.90	21.64	21.70	2370888.00
2004-05-18 15:30:00	:CAG	21.82	21.86	21.69	21.79	1732811.00
2004-05-19 15:30:00	:CAG	21.82	21.90	21.57	21.61	1447627.00
2004-05-20 15:30:00	:CAG	21.59	21.66	21.44	21.50	1451762.00
2004-05-21 15:30:00	:CAG	21.51	21.55	21.36	21.41	1911519.00
2004-05-24 15:30:00	:CAG	21.52	21.72	21.38	21.67	2216215.00
2004-05-25 15:30:00	:CAG	21.66	21.89	21.41	21.87	1576199.00
2004-05-26 15:30:00	:CAG	21.88	21.96	21.69	21.96	1269694.00
2004-05-27 15:30:00	:CAG	22.09	22.13	21.82	21.85	1740434.00
2004-05-28 15:30:00	:CAG	21.90	21.90	21.66	21.76	2854163.00
2004-06-01 15:30:00	:CAG	21.82	21.83	21.52	21.62	2570271.00
2004-06-02 15:30:00	:CAG	21.62	21.63	21.31	21.55	2554248.00
2004-06-03 15:30:00	:CAG	21.57	21.60	21.39	21.43	1657864.00
2004-06-04 15:30:00	:CAG	21.48	21.59	21.41	21.58	1493628.00
2004-06-07 15:30:00	:CAG	21.65	21.74	21.58	21.63	1679831.00
2004-06-08 15:30:00	:CAG	21.63	21.76	21.48	21.75	1649077.00
2004-06-09 15:30:00	:CAG	21.72	21.79	21.61	21.64	1016039.00
2004-06-10 15:30:00	:CAG	21.72	21.72	21.48	21.56	1104941.00
2004-06-14 15:30:00	:CAG	21.13	21.55	21.04	21.36	1195781.00
2004-06-15 15:30:00	:CAG	21.51	21.51	21.27	21.27	1421396.00
2004-06-16 15:30:00	:CAG	21.27	21.48	21.20	21.38	1537692.00
2004-06-17 15:30:00	:CAG	21.40	21.41	21.21	21.30	1432767.00
2004-06-18 15:30:00	:CAG	21.28	21.37	21.18	21.31	2516258.00
2004-06-21 15:30:00	:CAG	21.36	21.46	21.28	21.33	1108042.00
2004-06-22 15:30:00	:CAG	21.33	21.47	21.23	21.44	1424238.00
2004-06-23 15:30:00	:CAG	21.47	21.47	21.26	21.44	1197720.00
2004-06-24 15:30:00	:CAG	21.44	21.44	21.13	21.23	1986724.00
2004-06-25 15:30:00	:CAG	21.23	21.27	20.98	20.98	2627644.00
2004-06-28 15:30:00	:CAG	21.17	21.30	21.10	21.13	1554878.00
2004-06-29 15:30:00	:CAG	21.14	21.14	20.83	20.93	2036343.00
2004-06-30 15:30:00	:CAG	20.99	21.05	20.88	20.96	2539259.00
2004-07-01 15:30:00	:CAG	20.96	21.05	20.51	20.66	5001505.00
2004-07-02 15:30:00	:CAG	20.59	20.89	20.56	20.79	4708956.00
2004-07-06 15:30:00	:CAG	20.72	20.78	20.50	20.78	3540051.00
2004-07-07 15:30:00	:CAG	20.68	20.97	20.66	20.88	1917075.00
2004-07-08 15:30:00	:CAG	20.91	21.28	20.89	21.08	2145532.00
2004-07-09 15:30:00	:CAG	21.08	21.36	21.01	21.30	2202905.00
2004-07-12 15:30:00	:CAG	21.27	21.51	21.23	21.39	2433688.00
2004-07-13 15:30:00	:CAG	21.36	21.39	21.15	21.17	2104441.00
2004-07-14 15:30:00	:CAG	21.09	21.28	21.02	21.07	1955195.00
