datetime	symbol	open	high	low	close	volume
2010-06-15 15:30:00	:CBOE	32.80	33.75	32.30	32.49	17033968.00
2010-06-16 15:30:00	:CBOE	32.37	32.79	31.97	32.07	2160895.00
2010-06-17 15:30:00	:CBOE	32.35	32.48	31.25	31.50	1467854.00
2010-06-18 15:30:00	:CBOE	31.45	31.65	30.76	31.01	1132140.00
2010-06-21 15:30:00	:CBOE	31.66	33.00	31.01	32.04	1068969.00
2010-06-22 15:30:00	:CBOE	32.38	33.15	31.81	32.69	1010727.00
2010-06-23 15:30:00	:CBOE	33.00	33.50	32.00	33.48	1029329.00
2010-06-24 15:30:00	:CBOE	33.49	34.18	32.76	33.29	1601433.00
2010-06-25 15:30:00	:CBOE	33.30	33.35	32.07	32.07	641504.00
2010-06-28 15:30:00	:CBOE	32.47	33.05	31.76	32.78	718131.00
2010-06-29 15:30:00	:CBOE	32.25	32.30	31.27	31.76	622457.00
2010-06-30 15:30:00	:CBOE	31.99	32.65	31.65	32.55	402499.00
2010-07-01 15:30:00	:CBOE	32.25	32.50	30.00	30.31	1023132.00
2010-07-02 15:30:00	:CBOE	30.25	31.00	30.02	30.86	483745.00
2010-07-06 15:30:00	:CBOE	31.40	31.40	29.70	29.80	805172.00
2010-07-07 15:30:00	:CBOE	29.80	30.43	29.17	29.23	583698.00
2010-07-08 15:30:00	:CBOE	29.05	30.32	28.45	29.01	2177717.00
2010-07-09 15:30:00	:CBOE	29.22	29.33	28.66	28.97	448593.00
2010-07-12 15:30:00	:CBOE	28.75	28.84	26.67	26.80	1195153.00
2010-07-13 15:30:00	:CBOE	27.38	27.97	26.92	27.85	878071.00
2010-07-14 15:30:00	:CBOE	27.87	27.87	27.13	27.34	370259.00
2010-07-15 15:30:00	:CBOE	27.20	27.25	26.10	26.50	646355.00
2010-07-16 15:30:00	:CBOE	26.26	27.15	26.21	26.45	708696.00
2010-07-19 15:30:00	:CBOE	26.93	26.93	26.06	26.49	305973.00
2010-07-20 15:30:00	:CBOE	26.24	26.70	26.00	26.08	490097.00
2010-07-21 15:30:00	:CBOE	26.11	27.08	26.11	26.61	854389.00
2010-07-22 15:30:00	:CBOE	26.90	27.60	26.75	27.03	322516.00
2010-07-23 15:30:00	:CBOE	26.89	27.19	26.63	27.15	233276.00
2010-07-26 15:30:00	:CBOE	27.00	27.14	26.11	26.50	631260.00
2010-07-27 15:30:00	:CBOE	26.41	27.65	26.25	27.19	537873.00
2010-07-28 15:30:00	:CBOE	27.05	27.22	26.57	27.15	131264.00
2010-07-29 15:30:00	:CBOE	27.00	27.21	26.30	26.67	296181.00
