datetime	symbol	open	high	low	close	volume
2004-06-10 15:30:00	:CBRE	6.33	6.34	6.03	6.12	35097947.00
2004-06-14 15:30:00	:CBRE	6.08	6.13	6.05	6.07	2313623.00
2004-06-15 15:30:00	:CBRE	6.07	6.25	6.07	6.25	2499624.00
2004-06-16 15:30:00	:CBRE	6.25	6.37	6.25	6.33	2810128.00
2004-06-17 15:30:00	:CBRE	6.35	6.37	6.27	6.35	1390213.00
2004-06-18 15:30:00	:CBRE	6.35	6.40	6.33	6.34	708307.00
2004-06-21 15:30:00	:CBRE	6.33	6.37	6.30	6.36	508505.00
2004-06-22 15:30:00	:CBRE	6.33	6.36	6.30	6.35	1125911.00
2004-06-23 15:30:00	:CBRE	6.28	6.30	6.16	6.30	1033510.00
2004-06-24 15:30:00	:CBRE	6.27	6.35	6.25	6.33	857708.00
2004-06-25 15:30:00	:CBRE	6.33	6.35	6.25	6.33	809108.00
2004-06-28 15:30:00	:CBRE	6.25	6.36	6.22	6.33	1184411.00
2004-06-29 15:30:00	:CBRE	6.33	6.37	6.33	6.37	608706.00
2004-06-30 15:30:00	:CBRE	6.35	6.40	6.35	6.37	552605.00
2004-07-01 15:30:00	:CBRE	6.35	6.38	6.33	6.37	380103.00
2004-07-02 15:30:00	:CBRE	6.35	6.38	6.27	6.38	246602.00
2004-07-06 15:30:00	:CBRE	6.35	6.37	6.33	6.36	137101.00
2004-07-07 15:30:00	:CBRE	6.34	6.35	6.33	6.35	181201.00
2004-07-08 15:30:00	:CBRE	6.36	6.36	6.34	6.35	190501.00
2004-07-09 15:30:00	:CBRE	6.35	6.36	6.33	6.33	226502.00
2004-07-12 15:30:00	:CBRE	6.33	6.35	6.30	6.30	176701.00
2004-07-13 15:30:00	:CBRE	6.28	6.35	6.26	6.35	578105.00
2004-07-14 15:30:00	:CBRE	6.34	6.37	6.32	6.37	303603.00
2004-07-15 15:30:00	:CBRE	6.34	6.35	6.30	6.35	312903.00
2004-07-16 15:30:00	:CBRE	6.34	6.36	6.30	6.30	268802.00
2004-07-19 15:30:00	:CBRE	6.30	6.33	6.29	6.33	212702.00
2004-07-20 15:30:00	:CBRE	6.33	6.35	6.29	6.33	505205.00
2004-07-21 15:30:00	:CBRE	6.33	6.35	6.32	6.34	165001.00
2004-07-22 15:30:00	:CBRE	6.33	6.41	6.32	6.41	231002.00
2004-07-23 15:30:00	:CBRE	6.25	6.30	6.16	6.30	1555815.00
2004-07-26 15:30:00	:CBRE	6.22	6.26	6.21	6.26	420904.00
2004-07-27 15:30:00	:CBRE	6.26	6.28	6.26	6.26	113701.00
2004-07-28 15:30:00	:CBRE	6.25	6.30	6.23	6.29	131101.00
2004-07-29 15:30:00	:CBRE	6.26	6.30	6.26	6.30	91800.00
2004-07-30 15:30:00	:CBRE	6.30	6.35	6.28	6.31	1072210.00
2004-08-02 15:30:00	:CBRE	6.30	6.35	6.28	6.34	203102.00
