datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:CCI	13.60	13.88	13.60	13.80	2011400.00
2004-04-08 15:30:00	:CCI	13.85	14.18	13.82	14.07	1317300.00
2004-04-12 15:30:00	:CCI	14.05	14.06	13.77	13.90	763100.00
2004-04-13 15:30:00	:CCI	14.25	14.25	13.52	13.78	1090600.00
2004-04-14 15:30:00	:CCI	13.58	13.68	13.44	13.65	884100.00
2004-04-15 15:30:00	:CCI	14.00	14.85	13.90	14.38	4506500.00
2004-04-16 15:30:00	:CCI	14.37	14.60	14.28	14.54	1025700.00
2004-04-19 15:30:00	:CCI	14.54	15.00	14.50	15.00	2054700.00
2004-04-20 15:30:00	:CCI	15.00	15.12	14.87	14.91	2177300.00
2004-04-21 15:30:00	:CCI	14.91	15.39	14.76	15.32	1220900.00
2004-04-22 15:30:00	:CCI	15.22	15.80	15.20	15.63	2408300.00
2004-04-23 15:30:00	:CCI	15.65	15.68	15.17	15.32	1369800.00
2004-04-26 15:30:00	:CCI	15.25	15.35	15.07	15.35	609300.00
2004-04-27 15:30:00	:CCI	15.25	15.33	14.91	14.92	1758200.00
2004-04-28 15:30:00	:CCI	14.80	14.84	14.47	14.51	924200.00
2004-04-29 15:30:00	:CCI	14.46	14.59	14.33	14.38	852800.00
2004-04-30 15:30:00	:CCI	14.43	14.43	13.81	13.95	678000.00
2004-05-03 15:30:00	:CCI	14.25	15.00	14.06	14.78	1624200.00
2004-05-04 15:30:00	:CCI	14.74	15.05	14.63	15.00	1067000.00
2004-05-05 15:30:00	:CCI	15.00	15.00	14.51	14.75	765800.00
2004-05-06 15:30:00	:CCI	14.76	14.85	14.30	14.55	1239200.00
2004-05-07 15:30:00	:CCI	14.56	14.60	14.35	14.44	501000.00
2004-05-10 15:30:00	:CCI	14.20	14.20	13.60	13.80	1425500.00
2004-05-11 15:30:00	:CCI	13.80	14.00	13.69	13.79	1844200.00
2004-05-12 15:30:00	:CCI	13.65	13.79	13.34	13.65	768900.00
2004-05-13 15:30:00	:CCI	13.50	13.74	13.46	13.59	1875000.00
2004-05-14 15:30:00	:CCI	13.61	13.71	13.30	13.51	647400.00
2004-05-17 15:30:00	:CCI	13.30	13.38	12.99	13.16	849300.00
2004-05-18 15:30:00	:CCI	13.26	13.66	13.19	13.40	2178500.00
2004-05-19 15:30:00	:CCI	13.45	13.75	13.45	13.57	1465000.00
2004-05-20 15:30:00	:CCI	13.57	13.81	13.51	13.81	895800.00
2004-05-21 15:30:00	:CCI	13.81	14.01	13.81	14.00	905400.00
2004-05-24 15:30:00	:CCI	14.00	14.22	13.84	14.03	570200.00
2004-05-25 15:30:00	:CCI	13.95	14.55	13.93	14.45	893400.00
2004-05-26 15:30:00	:CCI	14.47	14.55	14.20	14.50	866400.00
2004-05-27 15:30:00	:CCI	14.60	14.98	14.50	14.73	937800.00
2004-05-28 15:30:00	:CCI	14.80	14.89	14.60	14.73	1148800.00
2004-06-01 15:30:00	:CCI	14.60	14.73	14.45	14.57	627400.00
2004-06-02 15:30:00	:CCI	14.56	14.65	14.34	14.40	710800.00
2004-06-03 15:30:00	:CCI	14.30	14.37	13.99	14.04	1256500.00
2004-06-04 15:30:00	:CCI	14.13	14.80	14.07	14.60	2071700.00
2004-06-07 15:30:00	:CCI	14.70	15.26	14.58	14.95	1301900.00
2004-06-08 15:30:00	:CCI	14.80	15.18	14.78	15.03	1154900.00
2004-06-09 15:30:00	:CCI	14.95	15.15	14.71	14.81	847000.00
2004-06-10 15:30:00	:CCI	14.81	15.10	14.81	15.05	825300.00
2004-06-14 15:30:00	:CCI	15.05	15.10	14.81	14.95	1326600.00
2004-06-15 15:30:00	:CCI	15.01	15.30	14.84	15.02	1613700.00
2004-06-16 15:30:00	:CCI	14.95	15.03	14.82	15.00	1452300.00
2004-06-17 15:30:00	:CCI	14.90	15.22	14.81	15.22	946200.00
2004-06-18 15:30:00	:CCI	15.22	15.55	15.15	15.22	707500.00
2004-06-21 15:30:00	:CCI	15.25	15.35	14.90	14.95	468200.00
2004-06-22 15:30:00	:CCI	15.18	15.45	15.12	15.39	1115500.00
2004-06-23 15:30:00	:CCI	15.26	16.09	15.26	15.95	3108300.00
2004-06-24 15:30:00	:CCI	17.10	17.10	16.10	16.23	2718400.00
2004-06-25 15:30:00	:CCI	16.30	16.34	15.91	16.08	5324398.00
2004-06-28 15:30:00	:CCI	15.95	15.95	14.02	14.13	10336398.00
2004-06-29 15:30:00	:CCI	13.85	14.74	13.66	14.48	6320500.00
2004-06-30 15:30:00	:CCI	14.49	14.98	14.49	14.75	2721900.00
2004-07-01 15:30:00	:CCI	14.76	14.77	14.32	14.49	1250200.00
2004-07-02 15:30:00	:CCI	14.50	14.62	14.37	14.43	704700.00
2004-07-06 15:30:00	:CCI	14.37	14.42	14.21	14.37	868100.00
2004-07-07 15:30:00	:CCI	14.35	15.02	14.35	15.02	3083000.00
