datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:CCL	46.36	46.36	45.80	45.98	2333500.00
2004-04-08 15:30:00	:CCL	46.20	46.24	45.42	45.53	1337100.00
2004-04-12 15:30:00	:CCL	45.95	46.30	45.75	45.75	1127600.00
2004-04-13 15:30:00	:CCL	46.00	46.00	44.65	44.71	1668400.00
2004-04-14 15:30:00	:CCL	44.65	44.65	44.06	44.11	3387300.00
2004-04-15 15:30:00	:CCL	44.31	44.31	43.50	44.09	1743500.00
2004-04-16 15:30:00	:CCL	44.65	44.76	44.16	44.70	2390200.00
2004-04-19 15:30:00	:CCL	44.50	44.69	44.10	44.57	2017600.00
2004-04-20 15:30:00	:CCL	44.69	44.90	44.04	44.12	2270200.00
2004-04-21 15:30:00	:CCL	44.30	44.30	42.92	44.16	3509200.00
2004-04-22 15:30:00	:CCL	44.16	44.62	43.04	44.56	2664000.00
2004-04-23 15:30:00	:CCL	44.43	44.55	43.86	44.30	1044900.00
2004-04-26 15:30:00	:CCL	44.48	44.69	43.64	43.77	2457000.00
2004-04-27 15:30:00	:CCL	43.77	44.19	43.46	43.67	2153900.00
2004-04-28 15:30:00	:CCL	43.73	43.91	43.26	43.45	3217200.00
2004-04-29 15:30:00	:CCL	43.45	43.46	42.76	43.13	2374900.00
2004-04-30 15:30:00	:CCL	43.15	43.30	42.46	42.67	2038300.00
2004-05-03 15:30:00	:CCL	42.67	42.90	42.47	42.69	1910100.00
2004-05-04 15:30:00	:CCL	43.00	43.30	42.82	43.01	2447200.00
2004-05-05 15:30:00	:CCL	43.20	43.33	42.77	43.20	2317000.00
2004-05-06 15:30:00	:CCL	42.95	42.95	42.44	42.67	1617200.00
2004-05-07 15:30:00	:CCL	42.25	42.38	41.39	41.50	2526700.00
2004-05-10 15:30:00	:CCL	40.90	41.00	40.40	40.70	3053400.00
2004-05-11 15:30:00	:CCL	40.55	41.00	40.46	40.98	2202300.00
2004-05-12 15:30:00	:CCL	41.00	41.13	40.05	40.92	3161700.00
2004-05-13 15:30:00	:CCL	40.80	41.04	40.44	40.99	1823600.00
2004-05-14 15:30:00	:CCL	40.85	41.24	40.49	41.13	2172200.00
2004-05-17 15:30:00	:CCL	40.50	40.50	40.05	40.15	2687300.00
2004-05-18 15:30:00	:CCL	40.41	40.71	40.16	40.39	2511800.00
2004-05-19 15:30:00	:CCL	41.09	41.31	40.10	40.25	2732400.00
2004-05-20 15:30:00	:CCL	40.35	40.69	40.17	40.30	1790300.00
2004-05-21 15:30:00	:CCL	40.65	41.10	40.60	40.90	2110700.00
2004-05-24 15:30:00	:CCL	41.25	41.47	41.23	41.31	3267000.00
2004-05-25 15:30:00	:CCL	41.32	41.88	41.20	41.83	2467200.00
2004-05-26 15:30:00	:CCL	42.10	42.34	41.95	42.03	3380500.00
2004-05-27 15:30:00	:CCL	42.50	42.78	42.34	42.73	2124600.00
2004-05-28 15:30:00	:CCL	42.80	42.99	42.61	42.61	1326500.00
2004-06-01 15:30:00	:CCL	42.62	42.66	41.93	42.35	1566100.00
2004-06-02 15:30:00	:CCL	42.50	42.60	41.85	41.97	2561200.00
2004-06-03 15:30:00	:CCL	41.97	42.08	41.55	41.62	1845900.00
2004-06-04 15:30:00	:CCL	42.00	42.50	41.98	42.12	2300100.00
2004-06-07 15:30:00	:CCL	42.37	42.95	42.37	42.89	1803800.00
2004-06-08 15:30:00	:CCL	42.45	43.34	42.45	43.27	1956800.00
2004-06-09 15:30:00	:CCL	43.30	43.60	43.02	43.10	3053100.00
2004-06-10 15:30:00	:CCL	43.45	43.53	43.11	43.35	1771100.00
2004-06-14 15:30:00	:CCL	43.35	43.41	42.98	43.01	1451800.00
2004-06-15 15:30:00	:CCL	43.45	43.69	43.33	43.60	2681000.00
2004-06-16 15:30:00	:CCL	43.60	44.08	43.29	43.56	1984600.00
2004-06-17 15:30:00	:CCL	44.60	45.30	44.02	45.21	5710699.00
2004-06-18 15:30:00	:CCL	45.00	45.43	44.80	45.25	2423000.00
2004-06-21 15:30:00	:CCL	45.26	45.68	45.18	45.64	2075900.00
2004-06-22 15:30:00	:CCL	45.15	45.71	45.02	45.67	2170300.00
2004-06-23 15:30:00	:CCL	45.58	46.64	45.54	46.60	3450200.00
2004-06-24 15:30:00	:CCL	46.48	46.74	46.27	46.74	2978200.00
2004-06-25 15:30:00	:CCL	46.67	46.98	46.52	46.93	2925100.00
2004-06-28 15:30:00	:CCL	46.93	47.18	46.82	47.00	2634000.00
2004-06-29 15:30:00	:CCL	47.01	47.10	46.87	46.98	1596800.00
2004-06-30 15:30:00	:CCL	46.88	47.06	46.61	47.00	1987500.00
2004-07-01 15:30:00	:CCL	47.01	47.92	46.97	47.81	3674600.00
2004-07-02 15:30:00	:CCL	47.78	48.05	47.50	47.81	3724000.00
2004-07-06 15:30:00	:CCL	47.51	48.00	47.32	47.66	2629700.00
2004-07-07 15:30:00	:CCL	47.50	47.70	47.40	47.56	1818500.00
2004-07-08 15:30:00	:CCL	47.50	47.50	46.75	46.75	3414000.00
2004-07-09 15:30:00	:CCL	46.75	46.86	46.27	46.50	3351800.00
2004-07-12 15:30:00	:CCL	46.61	46.86	46.32	46.59	2100300.00
2004-07-13 15:30:00	:CCL	46.25	46.47	46.12	46.21	2148400.00
2004-07-14 15:30:00	:CCL	46.21	46.48	45.84	45.90	2522400.00
2004-07-15 15:30:00	:CCL	45.90	46.18	45.76	45.81	2106200.00
2004-07-16 15:30:00	:CCL	46.20	46.20	45.65	45.68	1467300.00
2004-07-19 15:30:00	:CCL	45.82	46.17	45.62	45.68	1188900.00
2004-07-20 15:30:00	:CCL	45.56	46.31	45.53	45.97	1894800.00
2004-07-21 15:30:00	:CCL	46.10	46.28	45.42	45.42	1244100.00
2004-07-22 15:30:00	:CCL	45.32	45.54	44.76	45.34	1947900.00
2004-07-23 15:30:00	:CCL	45.01	45.05	44.37	44.39	1599000.00
2004-07-26 15:30:00	:CCL	44.48	44.58	43.88	44.00	1853600.00
2004-07-27 15:30:00	:CCL	44.03	45.97	44.03	45.46	3302100.00
2004-07-28 15:30:00	:CCL	46.50	46.62	45.31	46.07	3860600.00
2004-07-29 15:30:00	:CCL	46.10	46.89	46.10	46.77	2774900.00
2004-07-30 15:30:00	:CCL	46.76	46.90	46.50	46.61	1867400.00
2004-08-02 15:30:00	:CCL	46.47	46.51	45.95	46.41	1024200.00
2004-08-03 15:30:00	:CCL	46.22	46.46	45.60	45.66	1310300.00
2004-08-04 15:30:00	:CCL	45.12	45.81	45.12	45.66	2536600.00
2004-08-05 15:30:00	:CCL	45.51	45.52	44.37	44.45	1730000.00
2004-08-06 15:30:00	:CCL	44.44	44.45	43.41	43.60	2681900.00
2004-08-09 15:30:00	:CCL	43.60	43.82	43.22	43.32	1396500.00
2004-08-10 15:30:00	:CCL	43.60	44.00	43.55	44.00	1218800.00
2004-08-11 15:30:00	:CCL	43.80	43.80	43.16	43.69	1665200.00
2004-08-12 15:30:00	:CCL	43.45	43.59	42.54	42.95	2410100.00
2004-08-13 15:30:00	:CCL	43.47	43.56	43.04	43.39	2043200.00
2004-08-16 15:30:00	:CCL	43.49	44.06	43.22	43.96	1409200.00
2004-08-17 15:30:00	:CCL	44.74	44.75	44.11	44.34	2599800.00
2004-08-18 15:30:00	:CCL	44.10	44.66	44.02	44.63	1472600.00
2004-08-19 15:30:00	:CCL	44.80	45.16	44.64	44.90	1840100.00
2004-08-20 15:30:00	:CCL	44.86	45.05	44.72	44.75	1641200.00
2004-08-23 15:30:00	:CCL	44.80	45.00	44.60	44.60	2272600.00
2004-08-24 15:30:00	:CCL	44.80	44.93	44.40	44.59	1387800.00
2004-08-25 15:30:00	:CCL	44.70	45.25	44.45	45.18	1450600.00
