datetime	symbol	open	high	low	close	volume
2013-06-27 15:30:00	:CDW	17.64	18.75	17.38	18.37	8286730.00
2013-06-28 15:30:00	:CDW	18.40	19.17	18.38	18.62	717371.00
2013-07-01 15:30:00	:CDW	18.65	18.90	18.34	18.34	394118.00
2013-07-02 15:30:00	:CDW	18.34	19.64	18.26	19.22	223736.00
2013-07-03 15:30:00	:CDW	18.99	19.20	18.67	19.08	103694.00
2013-07-05 15:30:00	:CDW	18.80	19.36	18.55	19.22	111798.00
2013-07-08 15:30:00	:CDW	19.05	19.48	18.86	19.23	110449.00
2013-07-09 15:30:00	:CDW	19.13	19.92	19.06	19.50	206401.00
2013-07-10 15:30:00	:CDW	19.47	19.95	19.05	19.10	334884.00
2013-07-11 15:30:00	:CDW	19.05	19.65	19.05	19.58	108794.00
2013-07-12 15:30:00	:CDW	19.23	19.54	19.21	19.51	114591.00
2013-07-15 15:30:00	:CDW	19.36	19.75	19.22	19.56	177287.00
2013-07-16 15:30:00	:CDW	19.04	20.65	19.04	20.10	239255.00
2013-07-17 15:30:00	:CDW	20.01	20.47	19.72	20.37	139116.00
2013-07-18 15:30:00	:CDW	20.50	21.00	20.06	20.83	161962.00
2013-07-19 15:30:00	:CDW	21.00	21.39	20.77	20.84	631375.00
2013-07-22 15:30:00	:CDW	20.60	20.70	20.22	20.34	492878.00
2013-07-23 15:30:00	:CDW	20.29	20.69	20.00	20.22	41433.00
2013-07-24 15:30:00	:CDW	20.23	20.69	20.05	20.57	43525.00
2013-07-25 15:30:00	:CDW	20.34	21.98	20.00	21.98	232319.00
2013-07-26 15:30:00	:CDW	22.12	22.14	21.05	21.59	141279.00
2013-07-29 15:30:00	:CDW	21.50	22.00	21.06	21.70	85116.00
2013-07-30 15:30:00	:CDW	21.71	21.80	20.80	21.60	94624.00
2013-07-31 15:30:00	:CDW	21.79	21.79	21.19	21.50	52504.00
2013-08-01 15:30:00	:CDW	21.45	21.80	21.16	21.66	181580.00
2013-08-02 15:30:00	:CDW	21.67	22.50	21.17	22.43	225597.00
2013-08-05 15:30:00	:CDW	22.43	23.00	22.26	22.79	104757.00
2013-08-06 15:30:00	:CDW	22.83	23.10	22.59	22.81	419637.00
2013-08-07 15:30:00	:CDW	22.80	22.99	22.64	22.95	82839.00
2013-08-08 15:30:00	:CDW	23.00	23.10	22.80	23.07	74099.00
2013-08-09 15:30:00	:CDW	22.85	23.12	22.85	23.05	67385.00
2013-08-12 15:30:00	:CDW	22.85	23.20	22.85	23.16	116194.00
2013-08-13 15:30:00	:CDW	23.14	23.55	22.85	23.40	102402.00
2013-08-14 15:30:00	:CDW	23.30	23.40	23.15	23.36	72051.00
2013-08-15 15:30:00	:CDW	23.40	23.40	22.80	23.00	280081.00
2013-08-16 15:30:00	:CDW	22.98	23.09	22.80	23.05	82196.00
2013-08-19 15:30:00	:CDW	23.00	23.14	22.70	23.09	196075.00
2013-08-20 15:30:00	:CDW	23.07	23.75	22.87	23.11	137969.00
2013-08-21 15:30:00	:CDW	23.07	23.30	22.80	23.03	89014.00
2013-08-22 15:30:00	:CDW	23.05	23.30	22.85	23.01	52627.00
2013-08-23 15:30:00	:CDW	22.96	23.31	22.87	23.27	38913.00
2013-08-26 15:30:00	:CDW	23.27	23.27	22.95	22.98	126470.00
2013-08-27 15:30:00	:CDW	22.87	22.91	22.00	22.22	280735.00
2013-08-28 15:30:00	:CDW	22.21	22.44	21.90	21.98	78298.00
2013-08-29 15:30:00	:CDW	21.86	22.14	21.27	22.08	171539.00
2013-08-30 15:30:00	:CDW	22.01	22.16	21.85	21.93	110897.00
2013-09-03 15:30:00	:CDW	22.16	23.17	21.78	22.53	94026.00
2013-09-04 15:30:00	:CDW	22.46	23.01	22.02	23.01	117880.00
2013-09-05 15:30:00	:CDW	22.91	23.75	22.80	23.32	84418.00
2013-09-06 15:30:00	:CDW	23.31	23.75	22.99	23.24	102950.00
2013-09-09 15:30:00	:CDW	23.27	23.52	22.66	22.96	123670.00
2013-09-10 15:30:00	:CDW	23.00	23.24	22.59	23.03	125620.00
2013-09-11 15:30:00	:CDW	22.90	23.52	22.51	23.42	124726.00
2013-09-12 15:30:00	:CDW	23.40	23.54	23.02	23.09	672190.00
2013-09-13 15:30:00	:CDW	23.02	23.52	22.90	23.50	213804.00
2013-09-16 15:30:00	:CDW	23.65	23.97	23.25	23.87	186973.00
2013-09-17 15:30:00	:CDW	23.82	23.98	23.09	23.23	315482.00
2013-09-18 15:30:00	:CDW	23.08	23.99	22.96	23.79	273644.00
2013-09-19 15:30:00	:CDW	23.60	23.90	23.16	23.46	336878.00
2013-09-20 15:30:00	:CDW	23.36	23.53	22.68	22.89	1170867.00
2013-09-23 15:30:00	:CDW	22.90	23.95	22.74	23.86	442359.00
2013-09-24 15:30:00	:CDW	23.87	24.39	23.85	24.30	393995.00
2013-09-25 15:30:00	:CDW	24.30	24.43	24.00	24.13	263198.00
2013-09-26 15:30:00	:CDW	24.26	24.51	23.83	23.99	473409.00
2013-09-27 15:30:00	:CDW	23.96	24.40	23.79	23.98	156884.00
2013-09-30 15:30:00	:CDW	23.82	24.09	22.78	22.83	1433124.00
2013-10-01 15:30:00	:CDW	22.70	23.20	22.63	23.20	118728.00
2013-10-02 15:30:00	:CDW	23.13	23.15	22.27	22.78	177421.00
2013-10-03 15:30:00	:CDW	22.72	23.32	22.64	23.32	91043.00
2013-10-04 15:30:00	:CDW	23.34	23.37	23.16	23.35	110308.00
2013-10-07 15:30:00	:CDW	23.19	23.32	22.97	23.05	56652.00
2013-10-08 15:30:00	:CDW	23.00	23.29	22.81	23.12	127023.00
2013-10-09 15:30:00	:CDW	23.18	23.33	22.51	22.68	64871.00
2013-10-10 15:30:00	:CDW	22.81	23.32	22.74	23.05	108680.00
2013-10-11 15:30:00	:CDW	23.06	23.27	22.87	22.99	71361.00
2013-10-14 15:30:00	:CDW	22.94	22.95	22.52	22.78	91149.00
2013-10-15 15:30:00	:CDW	22.79	22.91	22.51	22.65	77631.00
2013-10-16 15:30:00	:CDW	22.70	22.91	22.36	22.67	74350.00
2013-10-17 15:30:00	:CDW	22.56	23.07	22.14	22.78	100741.00
2013-10-18 15:30:00	:CDW	22.80	23.15	22.57	22.99	93987.00
2013-10-21 15:30:00	:CDW	22.99	23.13	22.50	22.56	40678.00
2013-10-22 15:30:00	:CDW	22.58	22.91	22.02	22.80	46778.00
2013-10-23 15:30:00	:CDW	22.72	23.10	21.71	22.72	126361.00
2013-10-24 15:30:00	:CDW	22.70	22.70	21.20	22.01	237184.00
2013-10-25 15:30:00	:CDW	22.00	22.65	21.49	22.15	163810.00
2013-10-28 14:30:00	:CDW	22.26	22.47	21.84	22.05	121850.00
2013-10-29 14:30:00	:CDW	22.17	22.36	21.76	21.95	68245.00
2013-10-30 14:30:00	:CDW	21.92	22.18	21.08	22.10	170238.00
