datetime	symbol	open	high	low	close	volume
2014-09-24 15:30:00	:CFG	21.50	23.22	21.35	23.08	60456032.00
2014-09-25 15:30:00	:CFG	22.56	23.41	22.45	23.05	8430850.00
2014-09-26 15:30:00	:CFG	23.18	23.37	22.91	23.25	2504353.00
2014-09-29 15:30:00	:CFG	23.14	23.45	22.91	23.23	4832916.00
2014-09-30 15:30:00	:CFG	23.11	23.57	23.05	23.42	4103103.00
2014-10-01 15:30:00	:CFG	23.22	23.61	23.11	23.44	3915508.00
2014-10-02 15:30:00	:CFG	23.34	23.59	23.30	23.34	3121384.00
2014-10-03 15:30:00	:CFG	23.38	23.47	23.01	23.23	1585901.00
2014-10-06 15:30:00	:CFG	23.28	23.37	22.61	22.64	1208403.00
2014-10-07 15:30:00	:CFG	22.56	22.74	22.26	22.52	1508726.00
2014-10-08 15:30:00	:CFG	22.11	23.15	22.11	22.75	1649208.00
2014-10-09 15:30:00	:CFG	23.00	23.00	22.24	22.48	1229058.00
2014-10-10 15:30:00	:CFG	22.39	22.56	22.14	22.28	924069.00
2014-10-13 15:30:00	:CFG	22.13	22.66	22.12	22.45	1382774.00
2014-10-14 15:30:00	:CFG	22.50	22.79	22.30	22.45	1605776.00
2014-10-15 15:30:00	:CFG	22.13	22.20	21.50	21.85	3405401.00
2014-10-16 15:30:00	:CFG	21.51	21.95	21.47	21.80	3105758.00
2014-10-17 15:30:00	:CFG	21.89	22.07	21.73	21.92	2750608.00
2014-10-20 15:30:00	:CFG	21.82	22.38	21.82	22.38	1870599.00
2014-10-21 15:30:00	:CFG	22.11	22.93	22.11	22.82	1165506.00
2014-10-22 15:30:00	:CFG	22.78	23.00	22.40	22.60	884653.00
2014-10-23 15:30:00	:CFG	22.97	23.08	22.59	23.03	1154177.00
2014-10-24 15:30:00	:CFG	23.32	23.49	22.77	23.18	1357806.00
2014-10-27 14:30:00	:CFG	23.15	23.19	22.73	22.85	2898819.00
2014-10-28 14:30:00	:CFG	23.16	23.59	22.93	23.28	1500595.00
2014-10-29 14:30:00	:CFG	23.35	23.53	23.20	23.48	1302330.00
2014-10-30 14:30:00	:CFG	23.46	23.69	23.30	23.44	1153587.00
2014-10-31 14:30:00	:CFG	23.59	23.92	23.37	23.62	1238628.00
2014-11-03 15:30:00	:CFG	23.49	24.00	23.16	24.00	1826936.00
2014-11-04 15:30:00	:CFG	23.74	23.91	23.43	23.60	1474474.00
2014-11-05 15:30:00	:CFG	23.80	23.95	23.55	23.90	1097594.00
2014-11-06 15:30:00	:CFG	23.79	24.46	23.75	24.30	1010740.00
2014-11-07 15:30:00	:CFG	24.48	24.48	23.96	23.97	600659.00
2014-11-10 15:30:00	:CFG	24.04	24.25	23.75	23.95	1531257.00
2014-11-11 15:30:00	:CFG	23.97	24.22	23.75	23.94	658274.00
2014-11-12 15:30:00	:CFG	23.75	23.98	23.51	23.86	940834.00
2014-11-13 15:30:00	:CFG	23.62	23.96	23.58	23.82	1149713.00
2014-11-14 15:30:00	:CFG	23.74	24.00	23.74	23.96	1111501.00
2014-11-17 15:30:00	:CFG	24.11	24.11	23.56	24.00	992390.00
2014-11-18 15:30:00	:CFG	24.04	24.04	23.71	23.73	586010.00
2014-11-19 15:30:00	:CFG	23.80	24.00	23.51	23.72	812772.00
2014-11-20 15:30:00	:CFG	23.57	23.87	23.50	23.71	745775.00
2014-11-21 15:30:00	:CFG	23.95	24.21	23.70	23.77	725247.00
2014-11-24 15:30:00	:CFG	23.80	24.36	23.68	24.25	836847.00
2014-11-25 15:30:00	:CFG	24.24	24.30	24.02	24.03	701615.00
2014-11-26 15:30:00	:CFG	24.11	24.27	23.92	24.23	703711.00
2014-11-28 15:30:00	:CFG	24.22	25.09	24.05	24.63	713406.00
2014-12-01 15:30:00	:CFG	24.62	24.89	23.49	23.98	2282591.00
2014-12-02 15:30:00	:CFG	24.02	24.43	23.80	24.20	1369272.00
2014-12-03 15:30:00	:CFG	24.33	24.59	24.19	24.23	1854537.00
2014-12-04 15:30:00	:CFG	24.32	24.56	24.09	24.40	1433907.00
2014-12-05 15:30:00	:CFG	24.45	25.22	24.45	25.15	1008380.00
2014-12-08 15:30:00	:CFG	25.08	25.14	24.68	25.04	2244927.00
2014-12-09 15:30:00	:CFG	24.71	25.33	24.50	25.16	1141758.00
2014-12-10 15:30:00	:CFG	25.15	25.41	24.62	24.65	630958.00
2014-12-11 15:30:00	:CFG	24.85	25.28	24.51	24.69	1709147.00
2014-12-12 15:30:00	:CFG	24.52	24.83	24.40	24.46	950809.00
2014-12-15 15:30:00	:CFG	24.68	24.80	24.27	24.49	1175223.00
2014-12-16 15:30:00	:CFG	24.53	24.88	24.22	24.25	1315552.00
2014-12-17 15:30:00	:CFG	24.22	24.80	24.22	24.56	2160460.00
2014-12-18 15:30:00	:CFG	24.75	25.14	24.68	25.08	1768470.00
2014-12-19 15:30:00	:CFG	25.04	25.60	24.84	25.00	7523121.00
2014-12-22 15:30:00	:CFG	25.16	25.28	24.66	25.10	1689581.00
2014-12-23 15:30:00	:CFG	25.31	25.50	25.12	25.44	1174551.00
2014-12-24 15:30:00	:CFG	25.45	25.59	25.18	25.51	547225.00
2014-12-26 15:30:00	:CFG	25.51	25.51	25.25	25.31	304036.00
2014-12-29 15:30:00	:CFG	25.20	25.51	25.18	25.37	1070954.00
2014-12-30 15:30:00	:CFG	25.46	25.50	25.16	25.19	511820.00
2014-12-31 15:30:00	:CFG	25.25	25.29	24.83	24.86	621617.00
2015-01-02 15:30:00	:CFG	24.97	25.00	24.29	24.76	643550.00
2015-01-05 15:30:00	:CFG	24.58	24.68	23.84	24.18	1330389.00
2015-01-06 15:30:00	:CFG	24.17	24.22	23.70	23.91	2075044.00
2015-01-07 15:30:00	:CFG	23.99	24.13	23.79	24.00	1160199.00
2015-01-08 15:30:00	:CFG	24.07	24.48	23.94	24.18	661452.00
2015-01-09 15:30:00	:CFG	24.15	24.18	23.78	23.89	724738.00
