datetime	symbol	open	high	low	close	volume
2005-08-11 15:30:00	:CF	3.25	3.31	3.20	3.24	76671505.00
2005-08-12 15:30:00	:CF	3.25	3.60	3.25	3.59	29138010.00
2005-08-15 15:30:00	:CF	3.55	3.57	3.45	3.46	10596500.00
2005-08-16 15:30:00	:CF	3.38	3.46	3.38	3.43	5141000.00
2005-08-17 15:30:00	:CF	3.43	3.44	3.36	3.37	6423500.00
2005-08-18 15:30:00	:CF	3.39	3.40	3.25	3.27	12727000.00
2005-08-19 15:30:00	:CF	3.30	3.34	3.25	3.32	3029500.00
2005-08-22 15:30:00	:CF	3.33	3.40	3.28	3.40	2909500.00
2005-08-23 15:30:00	:CF	3.50	3.59	3.46	3.51	13466000.00
2005-08-24 15:30:00	:CF	3.50	3.55	3.47	3.50	3083000.00
2005-08-25 15:30:00	:CF	3.54	3.55	3.48	3.49	4667000.00
2005-08-26 15:30:00	:CF	3.51	3.52	3.48	3.49	2704000.00
2005-08-29 15:30:00	:CF	3.38	3.44	3.37	3.40	5458000.00
2005-08-30 15:30:00	:CF	3.42	3.48	3.39	3.41	2581000.00
2005-08-31 15:30:00	:CF	3.41	3.41	3.32	3.36	3004500.00
2005-09-01 15:30:00	:CF	3.37	3.37	3.11	3.25	12477500.00
2005-09-02 15:30:00	:CF	3.28	3.32	3.20	3.21	5748500.00
2005-09-06 15:30:00	:CF	3.24	3.29	3.23	3.28	2726500.00
2005-09-07 15:30:00	:CF	3.28	3.29	3.20	3.24	3643500.00
2005-09-08 15:30:00	:CF	3.25	3.30	3.25	3.26	2558500.00
2005-09-09 15:30:00	:CF	3.31	3.32	3.28	3.31	2468500.00
2005-09-12 15:30:00	:CF	3.29	3.30	3.20	3.22	3300500.00
2005-09-13 15:30:00	:CF	3.22	3.22	3.14	3.18	3798500.00
2005-09-14 15:30:00	:CF	3.15	3.17	3.13	3.14	2055500.00
2005-09-15 15:30:00	:CF	3.15	3.16	3.01	3.02	6004000.00
2005-09-16 15:30:00	:CF	3.01	3.07	2.91	3.06	9555000.00
2005-09-19 15:30:00	:CF	3.05	3.19	3.04	3.10	5559000.00
2005-09-20 15:30:00	:CF	3.10	3.21	3.09	3.16	4178000.00
2005-09-21 15:30:00	:CF	3.14	3.14	2.94	3.00	8313500.00
2005-09-22 15:30:00	:CF	3.00	3.01	2.90	2.90	7184000.00
2005-09-23 15:30:00	:CF	2.90	3.14	2.90	3.12	4830500.00
2005-09-26 15:30:00	:CF	3.12	3.16	3.05	3.10	7826500.00
2005-09-27 15:30:00	:CF	3.09	3.11	3.07	3.09	4505000.00
2005-09-28 15:30:00	:CF	3.08	3.08	3.00	3.03	3055000.00
2005-09-29 15:30:00	:CF	3.04	3.10	2.96	3.00	6141000.00
2005-09-30 15:30:00	:CF	3.01	3.02	2.93	2.96	12109000.00
2005-10-03 15:30:00	:CF	2.97	2.97	2.87	2.90	4279000.00
2005-10-04 15:30:00	:CF	2.89	2.90	2.81	2.81	2002000.00
2005-10-05 15:30:00	:CF	2.80	2.80	2.56	2.63	10842500.00
2005-10-06 15:30:00	:CF	2.64	2.70	2.62	2.68	4121500.00
2005-10-07 15:30:00	:CF	2.76	2.76	2.69	2.70	2174500.00
2005-10-10 15:30:00	:CF	2.71	2.73	2.49	2.51	2443000.00
2005-10-11 15:30:00	:CF	2.53	2.53	2.40	2.43	3259500.00
2005-10-12 15:30:00	:CF	2.42	2.44	2.36	2.39	2550500.00
2005-10-13 15:30:00	:CF	2.39	2.39	2.24	2.26	3555000.00
2005-10-14 15:30:00	:CF	2.27	2.50	2.26	2.47	7229500.00
2005-10-17 15:30:00	:CF	2.47	2.48	2.42	2.44	3007000.00
2005-10-18 15:30:00	:CF	2.44	2.44	2.39	2.40	2577000.00
2005-10-19 15:30:00	:CF	2.42	2.45	2.39	2.43	5052500.00
2005-10-20 15:30:00	:CF	2.44	2.62	2.44	2.56	7568500.00
2005-10-21 15:30:00	:CF	2.57	2.61	2.55	2.59	4029500.00
2005-10-24 15:30:00	:CF	2.59	2.64	2.59	2.63	2162000.00
2005-10-25 15:30:00	:CF	2.65	2.68	2.62	2.64	2630500.00
2005-10-26 15:30:00	:CF	2.63	2.67	2.59	2.62	2844000.00
2005-10-27 15:30:00	:CF	2.61	2.64	2.59	2.60	813000.00
2005-10-28 15:30:00	:CF	2.64	2.69	2.64	2.67	1673500.00
2005-10-31 15:30:00	:CF	2.70	2.80	2.70	2.76	3915000.00
2005-11-01 15:30:00	:CF	2.83	2.85	2.71	2.72	2830000.00
2005-11-02 15:30:00	:CF	2.72	2.75	2.65	2.71	3455500.00
2005-11-03 15:30:00	:CF	2.68	2.70	2.64	2.66	1815000.00
2005-11-04 15:30:00	:CF	2.66	2.76	2.64	2.68	2600500.00
2005-11-07 15:30:00	:CF	2.68	2.76	2.67	2.71	1784500.00
2005-11-08 15:30:00	:CF	2.69	2.71	2.66	2.70	1599500.00
2005-11-09 15:30:00	:CF	2.71	2.76	2.69	2.71	2294000.00
2005-11-10 15:30:00	:CF	2.72	2.88	2.66	2.75	4019000.00
2005-11-11 15:30:00	:CF	2.76	2.83	2.76	2.81	1347500.00
2005-11-14 15:30:00	:CF	2.80	2.84	2.78	2.81	1282500.00
2005-11-15 15:30:00	:CF	2.83	3.01	2.81	2.95	7032000.00
2005-11-16 15:30:00	:CF	3.02	3.10	3.00	3.03	4794000.00
2005-11-17 15:30:00	:CF	3.05	3.18	3.02	3.16	8077500.00
2005-11-18 15:30:00	:CF	3.16	3.16	3.03	3.12	3764000.00
2005-11-21 15:30:00	:CF	3.18	3.19	3.13	3.16	4266000.00
2005-11-22 15:30:00	:CF	3.16	3.18	3.10	3.15	1920000.00
2005-11-23 15:30:00	:CF	3.15	3.15	3.09	3.10	1068000.00
2005-11-25 15:30:00	:CF	3.11	3.13	3.11	3.12	154000.00
2005-11-28 15:30:00	:CF	3.13	3.14	3.07	3.10	1477000.00
2005-11-29 15:30:00	:CF	3.12	3.12	3.09	3.10	792500.00
2005-11-30 15:30:00	:CF	3.10	3.12	3.08	3.09	1513500.00
2005-12-01 15:30:00	:CF	3.08	3.10	3.02	3.05	3586000.00
2005-12-02 15:30:00	:CF	3.05	3.11	3.03	3.11	3127500.00
2005-12-05 15:30:00	:CF	3.09	3.16	3.06	3.13	3232000.00
2005-12-06 15:30:00	:CF	3.15	3.17	3.13	3.16	1503000.00
2005-12-07 15:30:00	:CF	3.17	3.20	3.12	3.12	1762000.00
2005-12-08 15:30:00	:CF	3.12	3.12	3.02	3.02	5745000.00
2005-12-09 15:30:00	:CF	3.04	3.06	2.98	3.03	5531500.00
2005-12-12 15:30:00	:CF	3.04	3.07	3.01	3.02	2316500.00
2005-12-13 15:30:00	:CF	3.02	3.05	2.95	2.98	3260500.00
2005-12-14 15:30:00	:CF	2.97	2.99	2.94	2.96	1973500.00
2005-12-15 15:30:00	:CF	2.95	3.00	2.92	2.99	1495500.00
2005-12-16 15:30:00	:CF	3.02	3.04	3.00	3.02	3498000.00
2005-12-19 15:30:00	:CF	3.02	3.06	2.96	3.05	2893500.00
2005-12-20 15:30:00	:CF	2.96	3.01	2.93	2.99	3497000.00
2005-12-21 15:30:00	:CF	3.00	3.00	2.92	2.95	1900500.00
2005-12-22 15:30:00	:CF	2.95	3.07	2.95	3.07	2282000.00
2005-12-23 15:30:00	:CF	3.03	3.08	3.03	3.05	1622000.00
2005-12-27 15:30:00	:CF	3.06	3.10	3.05	3.06	2007500.00
2005-12-28 15:30:00	:CF	3.06	3.06	2.99	3.05	4846500.00
2005-12-29 15:30:00	:CF	3.06	3.09	3.05	3.07	1294000.00
2005-12-30 15:30:00	:CF	3.07	3.09	3.04	3.05	741000.00
2006-01-03 15:30:00	:CF	3.05	3.08	3.02	3.06	2273000.00
2006-01-04 15:30:00	:CF	3.06	3.14	3.06	3.11	2567500.00
2006-01-05 15:30:00	:CF	3.12	3.25	3.11	3.23	5253000.00
2006-01-06 15:30:00	:CF	3.22	3.22	3.16	3.20	5087000.00
2006-01-09 15:30:00	:CF	3.20	3.32	3.20	3.28	3454500.00
2006-01-10 15:30:00	:CF	3.25	3.30	3.22	3.29	2359500.00
2006-01-11 15:30:00	:CF	3.29	3.29	3.24	3.26	2560500.00
2006-01-12 15:30:00	:CF	3.25	3.32	3.23	3.26	2819000.00
2006-01-13 15:30:00	:CF	3.26	3.28	3.25	3.27	1849500.00
2006-01-17 15:30:00	:CF	3.24	3.27	3.17	3.26	2442500.00
2006-01-18 15:30:00	:CF	3.24	3.32	3.21	3.32	1538500.00
2006-01-19 15:30:00	:CF	3.32	3.32	3.27	3.31	1172500.00
2006-01-20 15:30:00	:CF	3.31	3.32	3.18	3.19	1944000.00
2006-01-23 15:30:00	:CF	3.19	3.28	3.19	3.25	1171000.00
2006-01-24 15:30:00	:CF	3.25	3.32	3.24	3.30	3657000.00
2006-01-25 15:30:00	:CF	3.30	3.31	3.22	3.26	11327500.00
2006-01-26 15:30:00	:CF	3.27	3.37	3.27	3.35	2149500.00
2006-01-27 15:30:00	:CF	3.35	3.42	3.34	3.40	1289500.00
2006-01-30 15:30:00	:CF	3.40	3.45	3.35	3.38	1613500.00
2006-01-31 15:30:00	:CF	3.38	3.42	3.37	3.40	2094500.00
2006-02-01 15:30:00	:CF	3.38	3.38	3.35	3.36	2454500.00
2006-02-02 15:30:00	:CF	3.34	3.36	3.27	3.30	7376500.00
2006-02-03 15:30:00	:CF	3.30	3.38	3.28	3.38	2558500.00
2006-02-06 15:30:00	:CF	3.38	3.42	3.37	3.42	2714000.00
2006-02-07 15:30:00	:CF	3.42	3.42	3.38	3.39	2797000.00
2006-02-08 15:30:00	:CF	3.39	3.46	3.37	3.45	2350000.00
2006-02-09 15:30:00	:CF	3.45	3.56	3.44	3.50	1597500.00
2006-02-10 15:30:00	:CF	3.50	3.52	3.47	3.47	2953000.00
2006-02-13 15:30:00	:CF	3.47	3.47	3.41	3.41	1087500.00
2006-02-14 15:30:00	:CF	3.40	3.48	3.36	3.48	1291000.00
